gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_486228_1	3	761	759	1	0.723	11	None	GENOMAD.089147.PP	1.499e-13	73	0	0	0	1	NA	NA	NA	NA	NA
k121_486228_2	758	1120	363	1	0.669	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_486228_3	1291	1443	153	1	0.621	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_486228_4	1424	2515	1092	-1	0.629	11	GGA/GAG/AGG	GENOMAD.153520.PC	4.34e-10	64	0	0	0	1	NA	NA	NA	NA	NA
k121_486228_5	2573	2707	135	1	0.622	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1215583_1	2	1579	1578	-1	0.654	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1215583_2	1576	2400	825	-1	0.651	11	GGA/GAG/AGG	GENOMAD.145498.CP	1.282e-06	52	0	0	0	1	NA	NA	NA	PF00528;COG4239;K15586;TIGR02790	ABC-type microcin C transport system, permease component YejE
k121_1215583_3	2397	3380	984	-1	0.652	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1215583_4	3380	4888	1509	-1	0.638	11	None	GENOMAD.148437.PC	4.926e-07	55	0	0	0	1	NA	NA	NA	PF00496;PF12793;K11925;COG4533;TIGR04028	DNA-binding transcriptional regulator SgrR  of sgrS sRNA, contains a MarR-type HTH domain and a periplasmic-type solute-binding domain
k121_182416_1	3	1349	1347	1	0.620	11	None	GENOMAD.116679.PC	4.407e-22	103	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_182416_2	1346	1780	435	1	0.600	11	None	GENOMAD.047090.PP	1.685e-50	176	0	0	0	1	NA	NA	NA	NA	NA
k121_182416_3	1791	2726	936	1	0.638	11	AGGAG	GENOMAD.084811.PC	5.93e-46	171	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_182416_4	2736	4193	1458	1	0.610	11	AGGAG	GENOMAD.092909.PC	1.721e-70	250	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_182416_5	4218	6992	2775	1	0.596	11	None	GENOMAD.089796.PC	0.0	1543	0	1	0	1	NA	F_traG	NA	TIGR03782	Bacteroides conjugative transposon TraJ protein
k121_182416_6	6993	7310	318	-1	0.560	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_182416_7	7543	7911	369	-1	0.688	11	None	GENOMAD.154271.CP	3.17e-17	79	0	0	0	1	NA	NA	NA	PF09086;K12263;COG4654;TIGR03874	Cytochrome c551/c552
k121_182416_8	7914	8093	180	-1	0.706	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_182465_1	2	172	171	-1	0.275	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_182465_2	467	1534	1068	-1	0.339	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_182465_3	1627	2550	924	1	0.339	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1519684_1	2	370	369	-1	0.710	11	None	GENOMAD.109571.PP	9.096e-47	164	0	0	0	1	NA	NA	NA	PF01261;TIGR04379;COG4130;K03079	myo-inosose-2 dehydratase
k121_1519684_2	374	1627	1254	-1	0.774	11	AGxAGG/AGGxGG	GENOMAD.133542.CP	8.178e-12	70	0	0	0	1	NA	NA	NA	PF01134;PF17806;K24954;COG1251;TIGR01372	NAD(P)H-nitrite reductase, large subunit
k121_1519684_3	1624	1938	315	-1	0.689	11	AGGAG	GENOMAD.143067.CP	5.988e-27	106	0	0	0	1	NA	NA	NA	PF13806;K14578;COG2146;TIGR02377	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
k121_1519684_4	1977	3002	1026	-1	0.717	11	GGA/GAG/AGG	GENOMAD.177009.CP	5.691e-63	222	0	0	0	1	NA	NA	NA	PF00487;COG3239;K10255	Fatty acid desaturase
k121_1519684_5	3224	4279	1056	1	0.750	11	GGAG/GAGG	GENOMAD.137637.CP	1.366e-66	233	0	0	0	1	NA	NA	NA	PF00532;TIGR01481;COG1609;K02529	catabolite control protein A
k121_1519684_6	4440	5228	789	1	0.697	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1519684_7	5240	5719	480	1	0.733	11	GGxGG	GENOMAD.148559.CP	4.558e-06	48	0	0	0	1	NA	NA	NA	K10040;TIGR01726;COG1173	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
k121_972735_1	2	1399	1398	-1	0.605	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_972735_2	1648	2040	393	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_972735_3	2367	3500	1134	1	0.627	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_972735_4	3497	3889	393	1	0.684	11	GGA/GAG/AGG	GENOMAD.195820.PC	1.193e-47	167	0	0	0	1	NA	NA	NA	PF00866;TIGR03231;COG5517;K16320	anthranilate 1,2-dioxygenase, small subunit
k121_972735_5	3886	4221	336	1	0.679	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_729701_1	16	843	828	-1	0.517	11	None	GENOMAD.224544.PV	2.998e-07	54	0	0	0	1	NA	NA	NA	PF00722;K20832;COG2273	Beta-glucanase, GH16 family
k121_729701_2	883	1944	1062	-1	0.461	11	GGAG/GAGG	GENOMAD.126777.CP	1.486e-08	59	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
k121_729701_3	1946	3250	1305	-1	0.494	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1337511_1	1	333	333	-1	0.694	11	GGA/GAG/AGG	GENOMAD.092544.PC	1.065e-15	74	0	1	0	1	NA	F_traW	NA	K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1337511_2	330	884	555	-1	0.661	11	GGAGG	GENOMAD.117317.PC	1.515e-12	68	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_1337511_3	868	1434	567	-1	0.723	11	AGGAG	GENOMAD.034319.PP	6.463e-17	81	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	Type-F conjugative transfer system protein (TrbI_Ftype)
k121_1337511_4	1427	1786	360	-1	0.686	11	GGAGG	GENOMAD.081364.PP	5.158e-19	84	0	0	0	1	NA	NA	NA	NA	NA
k121_1337511_5	1783	4101	2319	-1	0.652	11	None	GENOMAD.088850.PC	4.099e-78	282	0	0	0	1	NA	NA	NA	PF19357	NA
k121_1033670_1	1	639	639	1	0.412	11	None	GENOMAD.138275.PV	0.0001127	45	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_1033670_2	755	1093	339	-1	0.454	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_1	2	478	477	1	0.652	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_2	1029	1406	378	1	0.593	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_3	1576	1788	213	-1	0.498	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_4	1795	1992	198	-1	0.424	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_5	2213	2893	681	1	0.668	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_6	3044	3418	375	1	0.608	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_365167_7	3583	4149	567	1	0.601	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_729853_1	2	979	978	-1	0.637	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_729853_2	982	2532	1551	-1	0.642	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_304481_1	3	635	633	1	0.689	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_304481_2	646	1431	786	1	0.697	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_304481_3	1852	1995	144	1	0.660	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_304481_4	2053	4446	2394	1	0.705	11	GGA/GAG/AGG	GENOMAD.124439.CP	2.339e-07	57	0	0	0	1	NA	NA	NA	PF00933;K01207;COG1472	Periplasmic beta-glucosidase and related glycosidases
k121_304481_5	4971	7328	2358	1	0.717	11	AGGAG	GENOMAD.009563.PP	8.47e-10	65	0	0	0	1	NA	NA	NA	PF12482	Phage integrase protein
k121_912311_1	1	84	84	1	0.381	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_912311_2	126	923	798	1	0.366	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_912311_3	966	2453	1488	1	0.393	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_243856_1	2	775	774	-1	0.563	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_243856_2	808	1338	531	1	0.527	11	GGA/GAG/AGG	GENOMAD.209148.PC	2.885e-33	128	0	0	0	1	NA	NA	NA	NA	NA
k121_243856_3	1512	3077	1566	1	0.549	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_243856_4	3074	3985	912	1	0.555	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
