ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_999061	68209	NA	90	0.0	yes	0	0	0	0	0	0	0	0
k121_999052	63680	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_27927	44615	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_325102	41034	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_240974	40957	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_657416	40217	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_999048	38826	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_626454	38750	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_347800	36659	NA	40	0.0	yes	0	0	0	0	0	0	0	0
k121_786660	35335	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_999077	34734	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_8796	34665	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_999068	34214	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_874648	33873	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_549634	32442	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_899288	31686	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_282249	31623	NA	39	0.0	yes	0	0	0	0	0	0	0	0
k121_42332	16763	NA	12	-2.4	yes	0	0	0	0	0	0	0	0
k121_999071	16116	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_336785	15894	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_473908	15638	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_554898	15312	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_999062	15232	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_701666	14912	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_999141	14858	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_999047	14185	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_999145	12988	NA	31	0.0	yes	0	0	0	0	0	0	0	0
k121_649725	9625	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_999139	9049	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_999088	7145	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_999255	5691	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_999147	5690	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_724149	5561	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_415134	4898	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_926888	4499	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_999107	4444	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_999057	4385	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_999089	4380	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_999385	4371	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_575352	4367	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_611180	4346	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_530648	4337	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_572031	4327	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_999127	4249	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_999414	4230	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_669092	4185	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_322504	4185	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_999153	4162	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_59118	3917	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_999227	3890	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_611252	3864	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_606130	3642	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_463349	3634	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_999161	3601	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_448015	3532	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_974276	3501	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_475873	3372	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_583128	3356	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_548714	3256	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_179336	3225	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_431797	3002	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_999776	2920	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_824358	2914	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_263072	2903	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_586630	2874	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_999251	2871	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_196981	2810	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_999199	2778	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_307751	2746	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_400848	2711	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_276698	2676	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_303218	2671	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_106128	2645	NA	1	0.0	yes	0	0	0	0	0	0	0	0
