seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1119067	3951	No terminal repeats	6	11	0.9989	0.0011	2	8.4026	MOBQ	NA
k121_1090116	1481	No terminal repeats	3	11	0.9989	0.0011	2	3.3698	MOBP1	NA
k121_963554	4310	No terminal repeats	7	11	0.9989	0.0011	1	4.7923	NA	NA
k121_726989	1170	No terminal repeats	2	11	0.9989	0.0011	1	3.4366	NA	NA
k121_1306124	1700	No terminal repeats	3	11	0.9989	0.0011	2	3.3668	MOBP1	NA
k121_1090793	1882	No terminal repeats	3	11	0.9989	0.0011	2	3.0347	MOBQ	NA
k121_1800184	1440	No terminal repeats	3	11	0.9989	0.0011	2	3.2373	MOBQ	NA
k121_449542	3235	No terminal repeats	5	11	0.9988	0.0011	2	3.2077	MOBQ	NA
k121_639691	1449	No terminal repeats	3	11	0.9988	0.0011	1	5.1548	NA	NA
k121_1162850	2168	No terminal repeats	5	11	0.9988	0.0011	1	1.7827	NA	NA
k121_1643940	2379	No terminal repeats	5	11	0.9988	0.0011	1	5.1548	T_virB2	NA
k121_2318552	2483	DTR	4	11	0.9988	0.0011	1	1.5556	NA	NA
k121_510452	1928	No terminal repeats	5	11	0.9988	0.0011	1	1.7827	NA	NA
k121_1556073	1281	No terminal repeats	2	11	0.9988	0.0011	1	1.7183	T_virB3	NA
k121_894255	1916	No terminal repeats	3	11	0.9987	0.0012	2	2.9755	T_virB10;T_virB9	NA
k121_187360	1694	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	NA	NA
k121_1764213	1672	No terminal repeats	3	11	0.9987	0.0012	2	3.0871	MOBP1	NA
k121_1569861	1203	No terminal repeats	2	11	0.9986	0.0012	2	2.8922	MOBP1	NA
k121_2317836	3772	DTR	7	11	0.9986	0.0012	1	3.3712	MOBC	NA
k121_2099788	4462	No terminal repeats	5	11	0.9985	0.0012	1	1.8793	NA	NA
k121_1071560	1589	No terminal repeats	2	11	0.9985	0.0012	1	1.6645	MOBP1	NA
k121_999048	1244	No terminal repeats	1	11	0.9985	0.0012	1	1.7183	NA	NA
k121_1751532	2764	No terminal repeats	5	11	0.9984	0.0013	3	6.1076	virb4;T_virB3;T_virB2	NA
k121_1664260	1391	No terminal repeats	3	11	0.9983	0.0013	1	1.7023	NA	NA
k121_2000721	1132	No terminal repeats	4	11	0.9981	0.0013	1	3.4300	NA	NA
k121_2238373	1583	No terminal repeats	3	11	0.9979	0.0013	2	2.5200	virb4;T_virB5	NA
k121_275432	1486	No terminal repeats	3	11	0.9978	0.0014	2	2.9699	MOBP1	NA
k121_1444730	2265	No terminal repeats	4	11	0.9978	0.0014	4	5.0879	T_virB9;T_virB8;T_virB5;T_virB6	NA
k121_511142	1417	No terminal repeats	4	11	0.9978	0.0014	3	5.1548	NA	NA
k121_1865071	1196	No terminal repeats	2	11	0.9974	0.0015	2	2.7797	T_virB5;T_virB6	NA
k121_58060	2253	No terminal repeats	3	11	0.9974	0.0015	2	2.2801	T_virB2;T_virB3	NA
k121_55875	1733	No terminal repeats	3	11	0.9970	0.0015	2	2.6906	virb4;T_virB3	NA
k121_777225	1306	No terminal repeats	2	11	0.9969	0.0016	2	2.5026	T_virB5;T_virB10	NA
k121_1940056	2433	No terminal repeats	3	11	0.9967	0.0016	1	2.8615	F_trbC	NA
k121_1215045	11747	No terminal repeats	11	11	0.9966	0.0017	2	8.3469	T_virB10	NA
k121_476334	1363	No terminal repeats	4	11	0.9965	0.0017	1	2.2250	NA	NA
k121_2294836	1117	No terminal repeats	3	11	0.9962	0.0018	2	2.8371	T_virB3	NA
k121_1601357	1211	No terminal repeats	2	11	0.9954	0.0019	2	2.7021	T_virB5;T_virB8	NA
k121_341973	1820	No terminal repeats	2	11	0.9952	0.0019	2	2.1659	T_virB8;T_virB6	NA
k121_1048006	5520	No terminal repeats	6	11	0.9939	0.0020	1	2.8392	NA	NA
k121_138721	1072	No terminal repeats	3	11	0.9935	0.0022	2	3.4366	T_virB3;T_virB2	NA
k121_1928997	1502	No terminal repeats	2	11	0.9929	0.0023	2	3.1366	F_traK	NA
k121_61365	1236	No terminal repeats	4	11	0.9922	0.0024	2	3.4366	T_virB3;T_virB2	NA
k121_359999	1745	No terminal repeats	2	11	0.9914	0.0025	1	1.7137	NA	NA
k121_278140	1002	No terminal repeats	2	11	0.9889	0.0027	2	2.5463	F_trbC;F_traU	NA
k121_1122717	1033	No terminal repeats	2	11	0.9884	0.0029	1	1.7120	NA	NA
k121_639113	1502	No terminal repeats	2	11	0.9871	0.0031	2	2.7853	t4cp1	NA
k121_769707	2106	No terminal repeats	2	11	0.9832	0.0034	2	2.4245	F_traV;virb4	NA
k121_63361	1577	No terminal repeats	3	11	0.9824	0.0037	2	2.7021	T_virB5;T_virB8	NA
k121_86612	1184	No terminal repeats	2	11	0.9798	0.0040	1	1.7137	NA	NA
k121_1905731	1040	No terminal repeats	2	11	0.9790	0.0044	1	1.5477	T_virB5	NA
k121_1733165	1508	No terminal repeats	3	11	0.9760	0.0048	1	2.1806	NA	NA
k121_1665188	2525	No terminal repeats	4	11	0.9724	0.0052	1	1.7183	T_virB2	NA
k121_2285066	3671	No terminal repeats	6	11	0.9721	0.0056	3	3.3749	virb4;T_virB3;T_virB2	NA
k121_424690	1516	No terminal repeats	2	11	0.9708	0.0060	1	1.6894	NA	NA
k121_71448	1616	No terminal repeats	2	11	0.9705	0.0065	2	2.4862	F_traK;F_traB	NA
k121_1085246	4056	No terminal repeats	4	11	0.9688	0.0069	3	4.4959	t4cp1;MOBH	NA
k121_2179830	1275	No terminal repeats	2	11	0.9684	0.0073	2	2.0341	G_tfc7;t4cp1	NA
k121_1116734	1278	No terminal repeats	1	11	0.9650	0.0078	1	1.5023	NA	NA
k121_1195379	1032	No terminal repeats	2	11	0.9612	0.0083	2	2.5240	F_traK;F_traE	NA
k121_414683	1047	No terminal repeats	2	11	0.9597	0.0088	1	1.5023	NA	NA
k121_585127	4838	No terminal repeats	5	11	0.9544	0.0094	1	3.6976	NA	NA
k121_1383638	1027	No terminal repeats	3	11	0.9531	0.0100	1	2.2753	NA	NA
k121_511044	1206	No terminal repeats	3	11	0.9521	0.0106	1	1.7183	NA	NA
k121_179719	1203	No terminal repeats	3	11	0.9468	0.0113	1	2.2753	NA	NA
k121_1065027	1385	No terminal repeats	3	11	0.9440	0.0119	1	1.7131	NA	NA
k121_340936	1028	No terminal repeats	2	11	0.9368	0.0127	1	1.7183	T_virB3	NA
k121_1789310	1108	No terminal repeats	2	11	0.9330	0.0135	2	2.5240	F_traE;F_traK	NA
k121_1354628	1959	No terminal repeats	2	11	0.9328	0.0143	2	2.0341	G_tfc7;t4cp1	NA
k121_836974	1001	No terminal repeats	2	11	0.9317	0.0151	1	1.7137	NA	NA
