,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
5,k121_1436904,7187,,9,0.0,yes,0,1,1,0,0,0,0,0
24,k121_75321,5076,,7,0.0,no,0,1,0,0,0,0,0,0
26,k121_1384537,4726,,7,0.0,no,0,1,0,0,0,0,0,0
32,k121_1437066,4156,,7,0.0,yes,0,0,1,0,0,0,0,0
35,k121_1437319,4006,,5,0.0,yes,0,0,1,0,0,0,0,0
56,k121_1397417,2363,,2,0.1,no,0,0,0,0,0,0,0,1
65,k121_1096693,2060,,1,0.0,no,0,0,1,0,0,0,0,0
71,k121_556351,1938,,2,0.0,no,0,0,1,0,0,0,0,0
73,k121_541962,1900,,2,0.2,no,0,0,0,0,0,0,0,1
95,k121_839833,1587,,1,0.0,no,0,0,1,0,0,0,0,0
107,k121_1062283,1517,,3,0.0,no,0,0,1,0,0,0,0,0
109,k121_802290,1501,,2,0.0,no,0,1,0,0,0,0,0,0
112,k121_848875,1488,,1,0.0,no,0,0,1,0,0,0,0,0
114,k121_150548,1445,,1,0.9,no,0,0,0,0,0,0,0,1
116,k121_262881,1422,,1,0.4,no,0,0,0,0,0,0,0,1
131,k121_550329,1314,,1,0.1,no,0,0,0,0,0,0,0,1
218,k121_1374582,1062,,1,0.1,no,0,0,0,0,0,0,0,1
221,k121_925740,1049,,1,0.1,no,0,0,0,0,0,0,0,1
237,k121_1346812,1016,,3,0.2,no,0,0,0,0,0,0,0,1
