ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_226896	33673	NA	42	0.0	yes	0	0	0	0	0	0	0	0
k121_809363	26586	NA	21	0.0	no	0	1	0	0	0	0	0	0
k121_948794	8905	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1346125	8880	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1301205	8845	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1572615	8445	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1559227	7920	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1608538	7875	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_859746	7534	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_717224	7524	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_655754	7246	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1128609	6790	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_809595	6601	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_861185	6556	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_865591	6337	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_238797	6129	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1137683	6086	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1608781	6084	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1202048	5918	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_444653	5905	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_376003	5896	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_298368	5886	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_61781	5874	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1608622	5835	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1477841	5825	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1223826	5690	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1468651	5641	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_925757	5565	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1019807	5461	NA	2	0.0	yes	0	0	0	0	0	0	0	0
