,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
12,k121_1630661,7446,,6,0.3,no,0,0,0,0,0,0,0,1
14,k121_1101820,7334,,7,0.0,no,0,0,1,0,0,0,0,0
19,k121_896945,6458,,5,0.4,no,0,2,0,0,0,0,0,1
24,k121_1756115,5770,,8,0.0,no,0,0,1,0,0,0,0,0
47,k121_70890,3875,,5,0.1,no,0,0,0,0,0,0,0,1
58,k121_424305,3008,,3,0.2,no,0,0,0,0,0,0,0,1
61,k121_422515,2870,,2,0.0,yes,0,0,0,0,0,0,0,1
71,k121_2139300,2418,,2,0.2,no,0,0,0,0,0,0,0,1
77,k121_387464,2317,,3,0.1,no,0,0,0,0,0,0,0,1
89,k121_711307,2192,,4,0.0,no,0,0,1,0,0,0,0,0
100,k121_1208384,2003,,1,0.4,no,0,0,0,0,0,0,0,1
102,k121_2392630,1986,,3,0.2,no,0,0,0,0,0,0,0,1
103,k121_1029554,1968,,4,0.2,no,0,0,0,0,0,0,0,1
112,k121_1147968,1874,,2,0.2,no,0,0,0,0,0,0,0,1
119,k121_1080491,1798,,1,0.1,no,0,0,0,0,0,0,0,1
134,k121_1355478,1689,,2,0.2,no,0,0,0,0,0,0,0,1
135,k121_598354,1664,,3,0.1,no,0,0,0,0,0,0,0,1
144,k121_1626718,1616,,1,0.4,no,0,0,0,0,0,0,0,1
145,k121_2241764,1614,,2,0.2,no,0,0,0,0,0,0,0,1
158,k121_1324718,1547,,1,0.4,no,0,0,0,0,0,0,0,1
161,k121_2471053,1520,,2,0.2,no,0,0,0,0,0,0,0,1
163,k121_2133900,1500,,1,0.4,no,0,0,0,0,0,0,0,1
167,k121_2443512,1486,,1,0.4,no,0,0,0,0,0,0,0,1
170,k121_969696,1457,,1,0.0,no,0,1,0,0,0,0,0,0
172,k121_987039,1448,,2,0.2,no,0,0,0,0,0,0,0,1
184,k121_2112061,1378,,2,0.2,no,0,0,0,0,0,0,0,1
192,k121_2338999,1322,,2,0.0,no,0,0,1,0,0,0,0,0
202,k121_2264402,1279,,2,1.6,no,0,0,0,0,0,0,0,1
205,k121_1728984,1267,,1,0.4,no,0,0,0,0,0,0,0,1
206,k121_591116,1266,,2,0.4,no,0,0,0,0,0,0,0,1
207,k121_649310,1258,,2,2.0,no,0,0,0,0,0,0,0,0
208,k121_1545315,1258,,1,3.5,no,0,0,0,0,0,0,0,1
219,k121_43596,1195,,2,0.2,no,0,0,0,0,0,0,0,1
236,k121_1419454,1135,,1,8.2,no,0,0,0,0,0,0,0,0
257,k121_1823710,1077,,1,3.5,no,0,0,0,0,0,0,0,1
263,k121_1012128,1061,,1,0.8,no,0,0,0,0,0,0,0,1
267,k121_1388985,1053,,2,0.2,no,0,0,0,0,0,0,0,1
287,k121_2121007,1010,,1,0.1,no,0,0,0,0,0,0,0,1
