gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_445228_1	916	2406	1491	1	0.738	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_445228_2	2393	3151	759	1	0.696	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_445228_3	3148	3360	213	1	0.690	11	GGAG/GAGG	GENOMAD.057290.PP	3.877e-31	116	0	0	0	1	NA	NA	NA	NA	NA
k121_445228_4	3547	3651	105	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_222812_1	354	1484	1131	1	0.408	11	None	GENOMAD.070148.PP	0.0003691	45	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_222812_2	1563	1703	141	-1	0.546	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_101665_1	2	454	453	1	0.653	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_101665_2	423	764	342	1	0.611	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_101665_3	810	1244	435	-1	0.451	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_101665_4	1259	1663	405	-1	0.501	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_101665_5	1729	2160	432	-1	0.519	11	None	GENOMAD.118806.PV	4.716e-12	65	0	0	0	1	NA	NA	NA	PF04645;COG4220;TIGR03339	Phage DNA packaging protein, Nu1 subunit of terminase
k121_162387_1	3	146	144	-1	0.549	11	None	GENOMAD.147990.PC	2.021e-12	61	0	0	0	1	NA	NA	NA	PF11431;K19058	Membrane transport protein MerF
k121_162387_2	149	424	276	-1	0.562	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_162387_3	441	791	351	-1	0.601	11	AGGA	GENOMAD.121279.PC	2.587e-08	53	0	0	0	1	NA	NA	NA	PF02411;K08363	MerT mercuric transport protein
k121_162387_4	863	1318	456	1	0.605	11	GGAG/GAGG	GENOMAD.208268.PC	8.373e-05	44	0	0	0	1	NA	NA	NA	PF08876;K08365;TIGR02044;COG0789	Cu(I)-responsive transcriptional regulator
k121_162387_5	1315	2319	1005	-1	0.567	11	AGGA	GENOMAD.033691.CC	0.0006181	44	0	0	0	1	NA	NA	NA	PF14583;K08676;COG0823;TIGR03866	Oligogalacturonate lyase
k121_162387_6	2316	2843	528	-1	0.428	11	None	GENOMAD.118770.PP	1.068e-14	74	0	0	0	1	NA	NA	NA	NA	NA
k121_567191_1	2	112	111	-1	0.622	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_567191_2	116	403	288	-1	0.705	11	GGAGG	GENOMAD.196370.PC	1.21e-23	96	0	1	0	1	NA	NA	NA	PF20084;TIGR04360	Conjugative transfer region protein TrbK
k121_567191_3	421	1038	618	-1	0.652	11	None	GENOMAD.103335.PC	2.127e-59	205	0	1	0	1	NA	T_virB5	NA	PF07996;K20266;COG5314;TIGR02780	Conjugal transfer/entry exclusion protein
k121_162884_1	127	729	603	1	0.665	11	4Base/6BMM	GENOMAD.017053.PP	2.474e-26	109	0	1	0	1	NA	NA	NA	PF07328;PF13011;COG2826;K01994;TIGR03879	T-DNA border endonuclease VirD1; leucine-zipper of insertion element IS481
k121_162884_2	716	1210	495	1	0.642	11	AGxAGG/AGGxGG	GENOMAD.007339.PP	1.091e-64	218	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Relaxase/Mobilisation nuclease domain
k121_345157_1	1	255	255	1	0.365	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_2	252	545	294	1	0.395	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_3	502	732	231	1	0.385	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_4	729	929	201	1	0.353	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_5	988	1830	843	-1	0.343	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_6	2071	2262	192	1	0.443	11	AAAA	GENOMAD.091384.PP	2.132e-05	42	0	0	0	1	NA	NA	NA	PF18367	Rv2175c C-terminal domain of unknown function
k121_345157_7	2327	2551	225	1	0.373	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_8	2502	2873	372	-1	0.425	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345157_9	2876	3112	237	-1	0.380	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_244008_1	423	998	576	1	0.321	11	TAA	GENOMAD.179882.VP	3.056e-18	85	0	0	0	1	NA	NA	NA	PF05732	Firmicute plasmid replication protein (RepL)
k121_244008_2	1031	1321	291	1	0.337	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
