gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_668066_1	2	448	447	-1	0.615	11	GGAG/GAGG	GENOMAD.092909.PC	1.951e-42	153	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_668066_2	445	1275	831	-1	0.656	11	None	GENOMAD.084811.PC	2.598e-18	88	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_559185_1	2	142	141	1	0.709	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_559185_2	160	963	804	1	0.659	11	AGGAG	GENOMAD.171948.PC	3.779e-11	66	0	0	0	1	NA	NA	NA	PF13462;COG3917;TIGR00385	2-hydroxychromene-2-carboxylate isomerase
k121_559185_3	960	1343	384	1	0.664	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_559185_4	1333	2079	747	1	0.695	11	GGAG/GAGG	GENOMAD.146032.PC	2.658e-23	102	0	1	0	1	NA	T_virB1	NA	PF06871;K03194;COG4764	TraH_2
k121_559185_5	2076	2777	702	1	0.711	11	GGAG/GAGG	GENOMAD.141807.CP	1.827e-07	54	0	0	0	1	NA	NA	NA	COG5461	Type IV pilus biogenesis protein CpaD/CtpE
k121_559185_6	2821	3099	279	1	0.599	11	AGGAG	GENOMAD.102905.PC	1.229e-14	70	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	TraL protein
k121_559185_7	3108	3713	606	1	0.624	11	AGGAG	GENOMAD.075278.PP	1.243e-25	107	0	1	0	1	NA	F_traE	NA	PF11444;K12067	TraE protein
k121_358400_1	138	1037	900	1	0.720	11	GGAG/GAGG	GENOMAD.101048.PP	1.413e-12	71	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_358400_2	1000	1296	297	-1	0.643	11	AGGAG	GENOMAD.048732.PP	2.264e-26	104	0	1	0	1	NA	NA	NA	PF12958	NA
k121_473164_1	2	841	840	1	0.529	11	None	GENOMAD.093442.PC	5.57e-54	193	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_473164_2	860	1048	189	1	0.503	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473164_3	1026	1694	669	1	0.562	11	GGAG/GAGG	GENOMAD.080907.PC	3.665e-10	62	0	1	0	1	NA	F_trbC	NA	PF09673;K12059;TIGR02742	Type-F conjugative transfer system pilin assembly protein
k121_473164_4	1783	2592	810	1	0.599	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_273799_1	1113	2009	897	-1	0.637	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_273799_2	1996	2193	198	-1	0.616	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_273799_3	2190	2396	207	-1	0.614	11	GGAG/GAGG	GENOMAD.051736.PP	2.413e-27	105	0	0	0	1	NA	NA	NA	NA	NA
k121_273799_4	2458	4089	1632	-1	0.675	11	GGAG/GAGG	GENOMAD.030790.PP	1.067e-59	220	0	0	0	1	NA	NA	NA	NA	NA
k121_273799_5	4275	4619	345	1	0.591	11	GGAG/GAGG	GENOMAD.048732.PP	2.548e-24	99	0	1	0	1	NA	NA	NA	PF12958	NA
k121_273799_6	4616	4693	78	1	0.692	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1084022_1	2	694	693	1	0.662	11	None	GENOMAD.103335.PC	2.714e-59	206	0	1	0	1	NA	T_virB5	NA	PF07996;K20266;COG5314;TIGR02780	Conjugal transfer/entry exclusion protein
k121_1084022_2	947	1222	276	1	0.576	11	GGA/GAG/AGG	GENOMAD.116928.PC	7.704e-42	148	0	1	0	1	NA	T_virB6	NA	COG3846;K07344	Type IV secretory pathway, TrbL components
k121_159112_1	2	535	534	-1	0.614	11	AGGAG	GENOMAD.061805.PP	1.835e-90	293	0	1	0	1	NA	NA	NA	PF14348;TIGR03747	integrating conjugative element membrane protein, PFL_4697 family
