,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_989877,91924,,88,-0.0,no,0,0,1,0,7,0,0,0
14,k121_1079929,26096,,31,0.0,no,0,0,1,0,1,0,0,0
23,k121_1279745,5155,,5,0.8,no,0,0,0,0,0,0,0,0
24,k121_1029487,4589,,1,0.4,no,0,0,0,0,0,0,0,1
25,k121_1551077,4555,,7,2.9,no,0,0,0,0,0,0,0,0
27,k121_1654270,4386,,4,0.0,no,0,0,1,0,0,0,0,0
29,k121_982518,4304,,5,0.0,no,0,0,1,0,0,0,0,0
33,k121_1505481,3535,,7,1.1,no,0,0,0,0,0,0,0,1
38,k121_27666,2978,,2,0.1,no,0,0,1,0,0,0,0,1
46,k121_1985750,2478,,4,0.5,no,0,0,0,0,0,0,0,1
59,k121_510634,2123,,3,0.1,no,0,0,0,0,0,0,0,1
62,k121_829365,2045,,1,1.1,no,0,0,0,0,0,0,0,0
75,k121_1087308,1723,,1,0.9,no,0,0,0,0,0,0,0,0
86,k121_1632319,1581,,1,1.2,no,0,0,0,0,0,0,0,1
96,k121_1368952,1473,,3,1.3,no,0,0,0,0,0,0,0,0
97,k121_197554,1467,,1,1.4,no,0,1,0,0,0,0,0,1
132,k121_665418,1041,,1,0.4,no,0,0,0,0,0,0,0,1
