seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_679487	1859	No terminal repeats	3	11	0.9990	0.0010	1	3.7568	NA	NA
k121_37510	5218	No terminal repeats	8	11	0.9990	0.0010	1	2.5332	NA	NA
k121_1302173	3158	No terminal repeats	6	11	0.9989	0.0010	2	3.5180	NA	NA
k121_335833	8435	No terminal repeats	15	11	0.9989	0.0010	3	5.3794	MOBQ	NA
k121_802688	3032	No terminal repeats	4	11	0.9989	0.0011	1	1.7174	NA	NA
k121_771692	41147	No terminal repeats	37	11	0.9989	0.0011	10	26.9142	T_virB11;T_virB2;virb4;T_virB8;T_virB9;T_virB10;T_virB5;MOBP1	NA
k121_691726	1233	No terminal repeats	2	11	0.9989	0.0011	1	1.7183	NA	NA
k121_101353	1763	No terminal repeats	1	11	0.9989	0.0011	1	1.5314	NA	NA
k121_1160462	1548	No terminal repeats	2	11	0.9988	0.0011	2	3.0557	MOBP1	NA
k121_1452528	1163	No terminal repeats	4	11	0.9988	0.0011	2	3.4366	T_virB3;T_virB2	NA
k121_1171949	1080	No terminal repeats	2	11	0.9988	0.0011	1	2.9354	F_traF	NA
k121_818497	17012	No terminal repeats	22	11	0.9987	0.0011	16	24.8444	F_traH;F_traF;F_trbC;F_trbC;F_traU;F_traW;virb4;F_traV;F_traB;F_traK;F_traE;F_traL	NA
k121_1025470	2001	No terminal repeats	3	11	0.9987	0.0011	2	3.4491	F_traV	NA
k121_963347	1121	No terminal repeats	3	11	0.9986	0.0012	3	5.1548	T_virB3;T_virB3;T_virB2	NA
k121_49044	1562	No terminal repeats	1	11	0.9986	0.0012	1	1.7134	NA	NA
k121_1586213	3077	No terminal repeats	2	11	0.9985	0.0012	2	2.4668	F_traG;F_traH	NA
k121_754580	1406	No terminal repeats	4	11	0.9985	0.0012	3	4.2284	F_traL;F_traE;F_traK	NA
k121_152495	1213	No terminal repeats	2	11	0.9984	0.0012	1	2.4520	NA	NA
k121_1232423	2231	No terminal repeats	4	11	0.9984	0.0013	1	1.7048	NA	NA
k121_30947	1133	No terminal repeats	2	11	0.9982	0.0013	1	1.7183	I_traW	NA
k121_860855	1453	No terminal repeats	2	11	0.9980	0.0013	1	2.3688	NA	NA
k121_63081	1600	No terminal repeats	3	11	0.9979	0.0014	2	2.1659	T_virB8;T_virB6	NA
k121_323876	1039	No terminal repeats	2	11	0.9979	0.0014	1	1.7183	NA	NA
k121_554865	1291	No terminal repeats	4	11	0.9978	0.0014	1	3.5084	NA	NA
k121_14010	1075	No terminal repeats	2	11	0.9977	0.0015	2	2.5463	F_traU;F_trbC	NA
k121_1131948	1064	No terminal repeats	2	11	0.9973	0.0015	2	3.1992	F_traE;F_traK	NA
k121_349558	1355	No terminal repeats	2	11	0.9970	0.0016	2	2.7853	t4cp1	NA
k121_72587	3792	No terminal repeats	9	11	0.9969	0.0016	1	3.1144	NA	NA
k121_1140506	1312	No terminal repeats	4	11	0.9954	0.0017	1	3.2867	NA	NA
k121_347268	3579	No terminal repeats	5	11	0.9928	0.0019	1	2.6966	NA	NA
k121_843598	1824	No terminal repeats	3	11	0.9917	0.0021	1	1.5561	F_traV	NA
k121_906898	1663	No terminal repeats	4	11	0.9906	0.0023	2	3.3178	T_virB3;T_virB2	NA
k121_370859	1120	No terminal repeats	3	11	0.9866	0.0027	1	3.2865	NA	NA
k121_942284	1146	No terminal repeats	2	11	0.9866	0.0030	1	2.2459	NA	NA
k121_981367	2738	No terminal repeats	3	11	0.9786	0.0035	2	2.9941	virb4;F_traV	NA
k121_772828	1689	No terminal repeats	2	11	0.9748	0.0041	1	1.5314	NA	NA
k121_629471	1286	No terminal repeats	3	11	0.9739	0.0047	1	1.7137	NA	NA
k121_1328436	1047	No terminal repeats	2	11	0.9723	0.0053	2	2.4284	F_traH;F_traF	NA
k121_212028	2598	No terminal repeats	2	11	0.9699	0.0059	1	2.8615	F_trbC	NA
k121_168702	1130	No terminal repeats	2	11	0.9642	0.0067	2	2.5240	F_traE;F_traK	NA
k121_347808	9597	No terminal repeats	7	11	0.9603	0.0075	1	1.5606	NA	NA
k121_789485	4280	No terminal repeats	8	11	0.9583	0.0083	1	2.7594	NA	NA
k121_243121	2161	No terminal repeats	4	11	0.9542	0.0092	2	2.3303	F_traU;F_traW	NA
k121_1596692	1542	No terminal repeats	2	11	0.9409	0.0103	2	2.4931	F_traF	NA
k121_1154412	1148	No terminal repeats	3	11	0.9383	0.0115	1	1.7137	NA	NA
k121_1403103	2399	No terminal repeats	2	11	0.9304	0.0127	2	2.3779	t4cp1;MOBH	NA
k121_1452385	1021	No terminal repeats	2	11	0.9249	0.0141	2	2.5240	F_traE;F_traK	NA
k121_929895	2881	No terminal repeats	2	11	0.9147	0.0155	2	2.4245	F_traV;virb4	NA
k121_90767	3802	No terminal repeats	6	11	0.9101	0.0171	2	3.9535	t4cp1	NA
k121_1287154	1738	No terminal repeats	5	11	0.8784	0.0191	1	1.7044	F_traL	NA
k121_393971	1463	No terminal repeats	3	11	0.8692	0.0213	1	1.7894	NA	NA
k121_768910	6667	No terminal repeats	8	11	0.8426	0.0240	1	2.6052	NA	NA
