gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_349694_1	2	133	132	1	0.333	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_2	199	1365	1167	-1	0.386	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_3	1452	1604	153	1	0.392	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_4	1934	2908	975	1	0.321	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_5	3168	3356	189	-1	0.360	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_6	3402	4526	1125	-1	0.418	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_7	4789	6276	1488	-1	0.399	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_699343_1	3	209	207	1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_699343_2	225	1199	975	-1	0.587	11	GGAG/GAGG	GENOMAD.129311.CP	4.754e-14	76	0	0	0	1	NA	NA	NA	PF03401;K07795;COG3181;TIGR02122	Tripartite tricarboxylate transporter family receptor
k121_699343_3	1230	2048	819	-1	0.569	11	GGAG/GAGG	GENOMAD.101065.PP	0.0002047	45	0	0	0	1	NA	NA	NA	PF04909;K10221;COG3618	Predicted metal-dependent hydrolase, TIM-barrel fold
k121_699343_4	2077	2607	531	1	0.567	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_134969_1	1	438	438	1	0.413	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_134969_2	453	1319	867	1	0.407	11	AATAA	GENOMAD.205327.PC	5.43e-05	47	0	0	0	1	NA	NA	NA	PF02089;K05714;TIGR03611;COG2267	pyrimidine utilization protein D
k121_134969_3	1393	1896	504	1	0.359	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_134969_4	1974	2513	540	-1	0.335	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_834264_1	3	374	372	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_834264_2	404	1579	1176	1	0.656	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_834264_3	1579	3486	1908	1	0.620	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_969343_1	315	1130	816	-1	0.582	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_969343_2	1123	2643	1521	-1	0.609	11	AGGAG	GENOMAD.183711.PC	1.035e-10	67	0	0	0	1	NA	NA	NA	NA	NA
k121_969343_3	3125	3226	102	1	0.529	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_781839_1	1	135	135	-1	0.222	11	TATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_781839_2	166	906	741	-1	0.310	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_781839_3	893	1453	561	-1	0.330	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_781839_4	1617	2519	903	-1	0.373	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_755441_1	132	1058	927	1	0.540	11	None	GENOMAD.002761.PP	8.699e-15	78	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;K18434	MobA/MobL family
k121_675015_1	2	871	870	-1	0.391	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_675015_2	891	1373	483	-1	0.441	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
