ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1955643	31244	NA	39	0.0	no	0	0	1	0	1	0	0	0
k121_95809	16767	NA	16	0.0	no	0	0	1	0	0	0	0	0
k121_262628	9445	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_3370467	8191	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_3371225	7346	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_3371388	6338	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1725969	6180	NA	7	0.0	no	0	0	2	0	0	0	0	0
k121_984164	6083	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1884640	5735	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2736688	5638	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_438613	5573	NA	4	1.1	no	0	0	0	0	0	0	0	0
k121_3370817	5497	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1161561	5493	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_252970	5468	NA	6	0.0	no	0	0	1	0	1	0	0	0
k121_3370698	5467	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_3160205	5441	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_3065383	5407	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_697503	5387	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_574234	5349	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1381716	5225	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_40517	5172	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_502944	5017	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_3372210	4950	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_3373431	4824	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_3188620	4805	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_3371753	4793	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_3370528	4725	NA	1	0.0	yes	0	0	0	0	0	0	0	0
