,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
19,k121_771692,41147,,36,0.4,no,0,0,1,0,10,0,0,0
31,k121_976190,32963,,34,0.0,no,0,1,0,0,0,0,0,0
32,k121_1350701,20845,,21,0.0,no,0,0,1,0,0,0,0,0
33,k121_254001,20316,,19,1.0,no,0,0,0,0,0,0,0,0
38,k121_335833,8435,,13,0.0,no,0,0,1,0,0,0,0,0
40,k121_1259024,8097,,6,0.0,no,0,0,1,0,1,0,0,0
42,k121_75416,7214,,7,0.0,no,0,0,1,0,0,0,0,0
48,k121_37510,5218,,8,0.0,no,0,0,1,0,0,0,0,0
49,k121_868048,5000,,3,0.0,no,0,0,1,0,0,0,0,0
51,k121_1054396,4688,,7,0.4,no,0,0,1,0,0,0,0,1
56,k121_1628259,4011,,5,0.0,yes,0,0,1,0,0,0,0,0
63,k121_1589098,3180,,4,0.0,no,0,0,1,0,0,0,0,0
64,k121_1302173,3158,,6,0.8,no,0,0,0,0,0,0,0,0
65,k121_617078,3097,,3,0.0,yes,0,0,1,0,0,0,0,0
67,k121_1347294,2984,,3,0.1,no,0,0,0,0,0,0,0,1
68,k121_158693,2893,,2,0.7,no,0,0,0,0,0,0,0,1
69,k121_947330,2731,,2,3.6,no,0,0,0,0,0,0,0,0
71,k121_1280046,2703,,4,0.0,no,0,1,0,0,0,0,0,0
77,k121_1106539,2498,,3,0.0,no,0,0,1,0,0,0,0,0
78,k121_626861,2368,,1,0.0,no,0,1,0,0,0,0,0,0
83,k121_28171,2248,,2,0.0,yes,0,0,1,0,0,0,0,0
86,k121_1566666,2165,,2,0.2,no,0,0,0,0,0,0,0,1
100,k121_682010,1846,,2,0.0,no,0,1,0,0,0,0,0,0
107,k121_374653,1738,,2,0.1,no,0,0,0,0,0,0,0,1
119,k121_946645,1508,,1,0.6,no,0,0,0,0,0,0,0,1
123,k121_1561385,1468,,1,2.0,no,0,0,0,0,0,0,0,1
124,k121_1264177,1463,,1,0.4,no,0,0,0,0,0,0,0,1
134,k121_1351007,1345,,1,0.1,no,0,0,0,0,0,0,0,1
137,k121_667797,1319,,3,0.4,no,0,0,0,0,0,0,0,1
139,k121_552725,1304,,2,6.8,no,0,0,0,0,0,1,0,0
141,k121_1210670,1298,,1,0.1,no,0,0,0,0,0,0,0,1
177,k121_1338401,1071,,2,1.1,no,0,0,0,0,0,0,0,1
180,k121_1450586,1056,,1,0.1,no,0,0,0,0,0,0,0,1
182,k121_847171,1050,,1,0.1,no,0,0,0,0,0,0,0,1
195,k121_648732,1003,,1,0.1,no,1,0,0,0,0,0,0,1
