ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1621082	52577	NA	82	0.0	yes	0	0	0	0	0	0	0	0
k121_1621093	34399	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_220020	23596	NA	23	-0.0	no	0	0	1	0	0	0	0	0
k121_1621357	8191	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_427068	7765	NA	6	0.2	no	0	0	1	0	0	0	0	0
k121_839206	7170	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1433133	7144	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_318346	6141	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_826522	6001	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1401380	5976	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_341157	5773	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1373506	5718	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_567627	5686	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_4935	5591	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_962898	5457	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1304990	5387	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_55594	5288	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1479385	5129	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1621490	4990	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_301226	4987	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1320146	4908	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_167106	4610	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_769617	4601	NA	3	2.0	no	0	0	0	0	0	0	0	1
k121_1621584	4432	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1621243	4426	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1622415	4285	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_558602	4239	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1143761	3923	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_1621284	3884	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_236082	3789	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1427750	3785	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1297802	3765	NA	3	0.0	yes	0	0	1	0	0	0	0	0
k121_1622855	3716	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_774896	3709	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1622210	3681	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_776668	3679	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_618815	3495	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1093547	3302	NA	5	0.0	yes	0	0	1	0	0	0	0	0
k121_1621601	3252	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_389385	3195	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1621915	3136	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621812	3014	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621153	3001	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1339817	2981	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621179	2944	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_132594	2908	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1370975	2882	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1105883	2824	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_171815	2809	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1377233	2648	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_165226	2560	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1257039	2558	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_421086	2509	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_840235	2462	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_155032	2414	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1028140	2406	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621628	2283	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1493753	2278	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_89426	2253	NA	2	0.0	no	0	1	0	0	0	0	0	0
k121_1621138	2210	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1623649	2114	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_532351	2050	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1624182	2035	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_486818	2029	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622309	2020	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1564690	2013	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1621875	1951	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_120499	1935	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_577955	1923	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622609	1921	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_599474	1913	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1257944	1899	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1155739	1891	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1065030	1879	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1284686	1870	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_858606	1854	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_599762	1852	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1354784	1850	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1622510	1846	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1623178	1844	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_419692	1824	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621753	1823	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1601035	1803	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621461	1794	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622761	1785	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_784360	1738	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_568416	1737	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_1621175	1711	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1465842	1708	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1424307	1678	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_282222	1666	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1628567	1663	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1258432	1659	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1171256	1651	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1241952	1651	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1622165	1632	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_864403	1631	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1291202	1613	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1621485	1567	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_545771	1557	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1429478	1543	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621999	1529	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_139729	1503	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1296734	1498	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1519964	1485	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_120207	1480	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_354038	1480	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1113540	1467	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1622883	1445	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1371289	1439	NA	1	1.4	no	0	0	0	0	0	0	0	1
k121_1513577	1438	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621089	1423	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621701	1422	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1623798	1418	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1128441	1399	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1621781	1391	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_640552	1366	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_478754	1366	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621794	1358	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621756	1341	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_652717	1333	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622893	1330	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622157	1329	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1623891	1321	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_111548	1314	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1054860	1301	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_797739	1300	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_480364	1297	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_936898	1294	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1605797	1284	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1621356	1274	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1204051	1266	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1623887	1259	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_677733	1253	NA	2	0.4	no	0	0	0	0	0	0	0	1
k121_836583	1252	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1097465	1239	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622000	1234	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621428	1231	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1621157	1229	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_934345	1218	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1220564	1218	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1624264	1208	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1520614	1191	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_842476	1187	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1624369	1186	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_13443	1182	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621102	1180	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621417	1180	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1621380	1177	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1594244	1176	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_175430	1175	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1206254	1166	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1621469	1162	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1621312	1155	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_656975	1153	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1625420	1153	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_111349	1147	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1586057	1147	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622811	1144	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_180262	1143	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1089806	1140	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_263133	1134	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_618181	1130	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622531	1129	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_248620	1123	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1442050	1117	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_834018	1114	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622056	1114	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1621103	1111	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1624340	1111	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621263	1110	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_629256	1102	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_1622722	1096	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_245569	1090	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_642229	1089	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1621353	1086	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_976251	1086	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_397946	1080	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1113333	1080	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_154803	1079	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_517065	1078	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_574043	1071	NA	2	7.8	no	0	0	0	0	0	0	0	0
k121_744971	1071	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1621632	1069	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621843	1069	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622850	1067	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_43484	1066	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1625124	1066	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_288824	1059	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1421523	1057	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1623441	1051	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1625306	1051	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1127407	1048	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1468368	1047	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_585190	1046	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_818061	1045	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1621144	1038	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621864	1033	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1077910	1032	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622259	1030	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_19427	1029	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_69050	1027	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1621550	1027	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_431681	1024	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621241	1021	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_982620	1018	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1623267	1016	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1621854	1012	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1622062	1011	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1185415	1009	NA	0	0.0	yes	0	0	0	0	0	0	0	0
