ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1307358	48248	NA	77	0.0	yes	0	0	0	0	0	0	0	0
k121_2228259	46107	NA	65	0.0	yes	0	0	0	0	0	0	0	0
k121_1638384	42652	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_2651402	41847	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_591636	39126	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_2782875	38011	NA	39	0.0	yes	0	0	0	0	0	0	0	0
k121_2323095	35541	NA	43	0.0	yes	0	0	0	0	0	0	0	0
k121_2471	34951	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_2782856	34122	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_2336971	33171	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_674432	31886	NA	33	0.0	no	0	0	1	0	1	0	0	0
k121_2126796	29601	NA	33	0.0	no	0	0	1	0	0	0	0	0
k121_1832162	29439	NA	37	0.0	yes	0	0	0	0	0	0	0	0
k121_628511	28039	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_2783031	17880	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_2782973	15106	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_2783451	12682	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_1473213	10461	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1543916	10015	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1830683	9761	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2782855	9720	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_994065	9414	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1541818	9266	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2782936	9227	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2783495	9122	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_1094275	9107	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_37661	9099	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1429501	9068	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1645219	9044	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_140327	8869	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_991877	8520	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1462684	8442	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1903743	8416	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_677901	7847	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_2783093	7809	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1332319	7735	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2466397	7717	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2783051	7714	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1256719	7696	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_706996	7600	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_2783579	7545	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1151818	7497	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1679192	7401	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2722513	7253	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2783896	7110	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2782872	7095	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2782993	7034	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2172238	6988	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2782949	6896	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1430631	6845	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1270660	6732	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2782887	6716	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_816062	6597	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_712202	6586	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1291388	6578	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2136030	6519	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2782959	6519	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_2782849	6517	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_873118	6505	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1322798	6462	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2342869	6280	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1952900	6227	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_945410	6212	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_377383	6164	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_856598	6104	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1188505	6096	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1049473	6053	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_418371	6051	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2783354	6050	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1683179	6049	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_64211	6043	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1166185	6022	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_956653	5998	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2531422	5996	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2630161	5969	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_455391	5940	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1221900	5937	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1293637	5922	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1553975	5859	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2479779	5804	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2381459	5801	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_141800	5740	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1346585	5709	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1524489	5653	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1695374	5641	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2783381	5641	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1234770	5620	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_606553	5613	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_550816	5611	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2587749	5610	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2783306	5603	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2783076	5578	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1335052	5548	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2099260	5537	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_583739	5528	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1299153	5519	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2782862	5455	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1362487	5442	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1221855	5441	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2022025	5291	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2783329	5211	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_2784838	5201	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2783100	5168	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2783852	5164	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2376481	5154	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2783500	5144	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2783742	5137	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_745786	5127	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2783072	5107	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_257031	5093	NA	8	0.0	yes	0	0	0	0	0	0	0	0
