gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_421802_1	1	909	909	1	0.672	11	None	GENOMAD.126782.PC	4.608e-25	109	0	1	0	1	NA	NA	NA	PF14319;COG5655	Transposase zinc-binding domain
k121_421802_2	913	1296	384	1	0.677	11	None	GENOMAD.096843.PC	2.281e-14	71	0	0	0	1	NA	NA	NA	NA	NA
k121_421802_3	1598	1762	165	-1	0.630	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1472087_1	1	375	375	-1	0.533	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1472087_2	706	942	237	-1	0.409	11	GGAG/GAGG	GENOMAD.048732.PP	1.309e-15	72	0	1	0	1	NA	NA	NA	PF12958	NA
k121_4623_1	3	305	303	-1	0.673	11	GGA/GAG/AGG	GENOMAD.102021.PC	5.833e-10	57	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_4623_2	487	1509	1023	-1	0.652	11	None	GENOMAD.099181.PC	9.818e-36	142	0	1	0	1	NA	T_virB6	NA	COG3704;K03201	Type IV secretory pathway, VirB6 components
k121_478873_1	1	162	162	-1	0.747	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_478873_2	201	923	723	-1	0.715	11	GGxGG	GENOMAD.113435.PC	5.9e-64	220	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_478873_3	920	1840	921	-1	0.712	11	GGAGG	GENOMAD.142039.PC	4.576e-126	403	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00411	Protein-disulfide isomerase
k121_478873_4	1827	2210	384	-1	0.706	11	None	GENOMAD.094143.PC	1.086e-22	95	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_1425171_1	1	663	663	1	0.665	11	None	GENOMAD.108687.PC	3.487e-31	124	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
k121_1425171_2	713	1003	291	1	0.660	11	AGGAG	GENOMAD.093647.PC	1.187e-47	165	0	1	0	1	NA	T_virB6	NA	PF04610;K03201;COG3704;TIGR02783	Type IV secretory pathway, VirB6 components
k121_374796_1	3	224	222	-1	0.667	11	AGGAGG	GENOMAD.070134.PP	9.218e-10	55	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
k121_374796_2	744	1118	375	-1	0.664	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_374796_3	1115	1309	195	-1	0.636	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_430162_1	1	228	228	1	0.746	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_430162_2	233	1090	858	-1	0.739	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_430162_3	1200	2294	1095	1	0.655	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
