seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_2171679	3965	No terminal repeats	5	11	0.9990	0.0010	1	4.9044	NA	NA
k121_157111	1071	No terminal repeats	2	11	0.9990	0.0010	1	3.2077	MOBQ	NA
k121_874487	1423	No terminal repeats	2	11	0.9990	0.0010	2	3.0347	MOBQ	NA
k121_820928	2642	No terminal repeats	3	11	0.9990	0.0010	2	3.2077	MOBQ	NA
k121_1519432	3808	No terminal repeats	3	11	0.9990	0.0010	3	3.8781	virb4;F_traV;F_traB	NA
k121_1532073	1055	No terminal repeats	1	11	0.9990	0.0010	1	1.7183	NA	NA
k121_1078240	4438	No terminal repeats	8	11	0.9990	0.0010	2	5.0840	NA	NA
k121_2896978	10673	DTR	12	11	0.9990	0.0010	2	5.1166	NA	NA
k121_1366016	1492	No terminal repeats	2	11	0.9989	0.0010	2	2.1114	NA	NA
k121_77548	7660	No terminal repeats	8	11	0.9989	0.0010	2	2.8710	NA	NA
k121_571061	1637	No terminal repeats	3	11	0.9989	0.0010	1	3.4366	NA	NA
k121_2354162	4888	No terminal repeats	6	11	0.9989	0.0010	2	3.8386	MOBP1	NA
k121_1578150	4550	DTR	6	11	0.9989	0.0010	1	1.9857	MOBP1	NA
k121_1581869	1071	No terminal repeats	1	11	0.9989	0.0010	1	1.7183	MOBF	NA
k121_2818605	2892	No terminal repeats	6	11	0.9989	0.0010	1	5.1247	NA	NA
k121_2897122	9044	DTR	16	11	0.9989	0.0011	1	6.6905	T_virB6	NA
k121_2207575	2236	No terminal repeats	3	11	0.9989	0.0011	2	2.5461	NA	NA
k121_2457579	1943	No terminal repeats	5	11	0.9989	0.0011	3	4.9288	F_traE;F_traL	NA
k121_366678	1220	No terminal repeats	2	11	0.9988	0.0011	1	3.4266	NA	NA
k121_348954	6797	No terminal repeats	7	11	0.9988	0.0011	1	2.6832	NA	NA
k121_1094702	1584	No terminal repeats	3	11	0.9988	0.0011	3	4.7049	F_traL;F_traE;F_traK	NA
k121_1264344	1023	No terminal repeats	2	11	0.9988	0.0011	1	3.4366	NA	NA
k121_705424	1148	No terminal repeats	1	11	0.9988	0.0011	1	1.6920	MOBQ	NA
k121_1751521	8861	No terminal repeats	12	11	0.9988	0.0011	7	10.7760	F_traV;F_traK;F_traE;F_traL	NA
k121_764459	1127	No terminal repeats	3	11	0.9988	0.0011	2	3.4366	T_virB2;T_virB3	NA
k121_1593081	7482	No terminal repeats	10	11	0.9988	0.0011	5	9.5073	F_trbC;F_traU;F_traW	NA
k121_1198634	1016	No terminal repeats	3	11	0.9988	0.0011	1	3.4027	I_traW	NA
k121_1302112	1058	No terminal repeats	2	11	0.9988	0.0011	2	2.4965	T_virB10;T_virB5	NA
k121_2637564	3436	No terminal repeats	5	11	0.9987	0.0011	3	3.8599	F_traF;F_traN;F_trbC	NA
k121_1583632	1174	No terminal repeats	2	11	0.9987	0.0011	1	3.2009	NA	NA
