,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
29,k121_114407,35172,,38,0.0,no,0,0,1,0,0,0,0,0
36,k121_841411,24970,,29,0.0,no,0,0,1,0,0,0,0,0
38,k121_983321,18766,,17,0.0,no,0,0,1,0,0,0,0,0
39,k121_1180413,17262,,18,-0.6,no,0,1,0,0,0,0,0,0
40,k121_856374,17172,,16,0.0,no,0,1,0,0,0,0,0,0
41,k121_502890,15595,,17,0.0,no,0,0,1,0,0,0,0,0
43,k121_854690,12873,,14,0.0,no,0,1,0,0,0,0,0,0
45,k121_1297803,12159,,14,0.0,no,0,0,1,0,0,0,0,0
46,k121_433320,12088,,17,-0.0,no,0,1,0,0,2,0,0,0
48,k121_487764,8778,,7,0.0,no,0,1,0,0,0,0,0,0
49,k121_194154,8112,,10,0.0,no,0,1,0,0,0,0,0,0
50,k121_227554,7976,,7,0.0,no,0,0,1,0,0,0,0,0
51,k121_1626065,7637,,9,0.0,no,0,0,1,0,0,0,0,0
52,k121_1348939,7574,,5,0.0,no,0,1,0,0,0,0,0,0
53,k121_725722,7389,,6,0.0,no,0,1,0,0,0,0,0,0
54,k121_102337,7338,,8,0.0,no,0,0,1,0,0,0,0,0
55,k121_420530,7174,,7,0.0,no,0,1,0,0,0,0,0,0
56,k121_342891,6645,,5,0.0,no,0,0,1,0,0,0,0,0
57,k121_518506,6480,,7,-0.1,no,0,1,0,0,0,0,0,0
58,k121_1466502,6457,,7,0.0,no,0,0,1,0,0,0,0,0
60,k121_268093,6104,,6,0.0,no,0,0,1,0,0,0,0,0
61,k121_122176,5913,,8,0.0,no,0,0,1,0,0,0,0,0
63,k121_886577,5301,,7,0.0,no,0,0,1,0,0,0,0,0
66,k121_1666095,5108,,6,0.0,yes,0,0,1,0,0,0,0,0
67,k121_1318803,4979,,8,0.0,no,0,0,1,0,0,0,0,0
68,k121_567292,4879,,5,-0.1,no,0,1,0,0,0,0,0,0
73,k121_628132,4286,,5,0.0,no,0,1,0,0,0,0,0,0
75,k121_459552,4061,,6,0.0,no,0,0,1,0,0,0,0,0
81,k121_647878,3331,,3,0.0,no,0,0,1,0,0,0,0,1
91,k121_224807,2683,,3,0.0,no,0,0,1,0,0,0,0,0
93,k121_1504103,2605,,5,0.1,no,0,1,0,0,0,0,0,0
98,k121_130579,2396,,2,0.0,no,0,1,0,0,0,0,0,0
100,k121_638844,2362,,4,0.0,no,0,0,1,0,0,0,0,0
108,k121_552538,2038,,4,0.0,no,0,0,1,0,0,0,0,0
114,k121_924730,1819,,2,0.0,no,0,0,1,0,0,0,0,0
134,k121_1596062,1472,,1,0.0,no,0,0,1,0,0,0,0,0
136,k121_403716,1431,,1,0.0,no,0,1,0,0,0,0,0,0
150,k121_1642170,1304,,1,0.0,no,0,0,1,0,0,0,0,0
188,k121_1438576,1068,,1,0.0,no,0,0,1,0,0,0,0,0
192,k121_1085298,1057,,1,0.4,no,0,0,0,0,0,0,0,1
