ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2568662	24314	NA	12	0.0	yes	0	0	0	0	0	0	2	0
k121_2103028	7845	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1829893	7409	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2680113	7346	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2282556	6205	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_2330666	6082	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2680599	4990	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_953655	4847	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2680546	4480	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2466585	4388	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2680467	4185	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2327775	4027	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1475193	3975	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2380703	3841	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_827233	3598	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_631691	3502	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_317833	3379	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_836016	3289	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2680018	3206	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2307127	3199	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_447352	3191	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1940220	3145	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2597220	3102	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2682934	3035	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2680761	2968	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2458565	2939	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_642487	2890	NA	2	0.9	no	0	0	0	0	0	0	0	1
