,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
26,k121_270125,6614,,4,0.0,no,0,0,1,0,0,0,0,0
30,k121_1924397,6040,,8,0.7,no,0,0,0,0,0,0,0,1
36,k121_107040,5503,,7,0.3,no,0,0,0,0,0,0,0,1
39,k121_2221082,5343,,11,0.2,no,0,0,0,0,0,0,0,1
40,k121_2082607,5338,,10,0.9,no,0,0,1,0,0,0,0,0
44,k121_101388,4885,,6,0.0,no,0,0,1,0,0,0,0,0
45,k121_1989693,4856,,3,0.2,no,0,0,0,0,0,0,0,1
54,k121_383511,4551,,5,6.9,no,0,0,0,0,0,0,0,1
57,k121_95673,4529,,3,25.6,no,0,0,0,0,0,0,0,1
59,k121_79944,4513,,3,0.0,no,0,0,1,0,0,0,0,0
60,k121_1620463,4476,,8,4.1,no,0,0,0,0,0,6,0,1
71,k121_1805619,4343,,3,3.3,no,0,0,0,0,0,0,0,1
79,k121_2224685,4091,,3,12.6,no,0,0,0,0,0,2,0,1
87,k121_979101,3827,,4,0.0,no,0,0,1,0,0,0,0,0
88,k121_810422,3810,,5,0.0,no,0,0,1,0,0,0,0,0
97,k121_2139169,3457,,4,0.0,yes,0,0,1,0,0,0,0,0
103,k121_1687072,3271,,5,0.0,no,0,0,1,0,0,0,0,0
104,k121_173290,3227,,4,0.0,no,0,0,1,0,0,0,0,0
106,k121_570918,3075,,5,0.0,no,0,0,1,0,0,0,0,0
114,k121_2369141,2879,,4,0.0,yes,0,0,1,0,0,0,0,0
116,k121_2369232,2871,,4,0.0,yes,0,0,1,0,0,0,0,0
128,k121_1891894,2698,,2,0.0,no,0,0,1,0,0,0,0,0
129,k121_820545,2641,,4,0.0,no,0,1,0,0,0,0,0,0
139,k121_2270883,2530,,3,14.4,no,0,0,0,0,0,2,0,0
142,k121_1912610,2480,,5,10.1,no,0,0,0,0,0,0,0,1
143,k121_1042584,2479,,3,0.0,no,0,0,1,0,0,0,0,0
144,k121_2337362,2460,,1,0.0,no,0,1,0,0,0,0,0,0
150,k121_2361774,2312,,4,2.5,no,0,0,1,0,0,0,0,1
151,k121_254915,2290,,3,0.0,no,0,1,0,0,0,0,0,0
155,k121_1243519,2263,,2,0.2,no,0,0,1,0,0,0,0,0
159,k121_1907406,2205,,3,6.4,no,0,0,0,0,0,0,0,0
160,k121_1018087,2205,,3,0.0,no,0,1,0,0,0,0,0,0
172,k121_564315,2149,,3,0.0,no,0,0,1,0,0,0,0,0
176,k121_1683924,2140,,3,0.0,no,0,0,1,0,0,0,0,0
178,k121_1378630,2128,,2,0.0,no,0,0,1,0,0,0,0,0
180,k121_1938182,2109,,1,2.2,no,0,0,0,0,0,0,0,1
181,k121_1584781,2095,,2,0.0,no,0,0,1,0,0,0,0,0
182,k121_1055111,2079,,2,5.1,no,0,0,0,0,0,1,0,1
187,k121_1144648,2024,,3,0.0,no,0,1,0,0,0,0,0,0
189,k121_2164861,1999,,1,0.0,no,0,1,0,0,0,0,0,0
191,k121_111610,1993,,1,0.0,no,0,0,1,0,0,0,0,0
196,k121_1189750,1938,,2,0.0,no,0,1,0,0,0,0,0,0
205,k121_627718,1870,,1,3.0,no,0,0,0,0,0,0,0,1
217,k121_1533449,1734,,2,9.6,no,0,0,0,0,0,0,0,0
218,k121_2325202,1733,,1,1.6,no,0,0,0,0,0,0,0,1
230,k121_1922402,1637,,1,0.0,no,0,0,1,0,0,0,0,0
