ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_710220	63980	NA	87	0.0	yes	0	0	0	0	0	0	0	0
k121_133656	39446	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_580489	35297	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_472750	35106	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_283940	33525	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_710207	33079	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_440075	32598	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_710211	32190	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_710210	31095	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_390423	29911	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_65882	29652	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_217100	24644	NA	23	-0.0	no	0	1	0	0	0	0	0	0
k121_513006	21477	NA	21	0.0	no	0	0	1	0	1	0	0	0
k121_111113	20134	NA	27	0.0	no	0	0	1	0	0	0	0	0
k121_710235	16662	NA	28	0.0	yes	0	0	0	0	0	0	0	0
k121_14691	16551	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_710319	15980	NA	30	0.0	yes	0	0	0	0	0	0	0	0
k121_248203	14390	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_333877	13685	NA	20	0.3	no	0	0	0	0	0	0	0	1
k121_250800	11637	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_582201	11289	NA	14	0.0	no	0	0	1	0	0	0	0	0
k121_710206	10571	NA	23	0.0	yes	0	0	0	0	0	0	0	0
k121_513876	10422	NA	13	-0.1	no	0	1	0	0	0	0	0	0
k121_581794	8772	NA	8	0.0	no	0	1	1	0	0	0	0	0
k121_116897	8708	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_710204	8191	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_652638	7671	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_262368	7486	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_528774	7252	NA	8	0.9	no	0	1	0	0	0	0	0	0
k121_454141	7153	NA	8	-0.1	no	0	1	0	0	0	0	0	0
k121_268284	6933	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_652421	6763	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_432717	6652	NA	7	-0.1	no	0	0	1	0	0	0	0	0
k121_287541	6649	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_125616	6105	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_255458	6080	NA	7	0.1	no	0	0	1	0	0	0	0	1
k121_143418	6041	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_306154	5975	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_710494	5537	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_710216	5535	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_576876	5506	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_710595	5498	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_710221	5471	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_509319	5430	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_124791	5254	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_20494	5197	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_710215	5135	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_286627	5122	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_710250	4945	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_75913	4837	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_399127	4808	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_49052	4801	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_710245	4654	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_105024	4503	NA	5	-0.0	no	0	1	0	0	0	0	0	0
k121_568681	4447	NA	7	0.1	no	0	0	0	0	0	0	0	1
k121_710305	4437	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_710454	4215	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_162849	4141	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_570378	4128	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_582848	4099	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_114235	4072	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_710583	4060	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_367292	4013	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_711056	3838	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_710520	3752	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_264183	3704	NA	3	0.1	no	0	0	0	0	0	0	0	1
k121_430372	3692	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_233598	3619	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_106023	3613	NA	3	1.0	no	0	0	0	0	0	0	0	1
k121_293584	3604	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_710236	3521	NA	5	0.0	yes	0	0	1	0	0	0	0	0
k121_369417	3511	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_710246	3423	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_390631	3256	NA	2	4.3	no	0	0	0	0	0	0	0	1
k121_515895	3237	NA	4	0.3	no	0	0	0	0	0	0	0	1
k121_710320	3232	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_572175	3206	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_108944	3204	NA	1	1.7	no	0	0	0	0	0	0	0	1
k121_710548	3058	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_103918	3043	NA	4	0.4	no	0	0	0	0	0	0	0	1
k121_98410	2989	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_488478	2971	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_710886	2929	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_134917	2882	NA	3	0.2	no	0	0	0	0	0	0	0	1
k121_222222	2839	NA	4	0.0	yes	0	0	1	0	0	0	0	0
k121_273592	2657	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_565120	2562	NA	2	1.2	no	0	2	0	0	0	0	0	1
k121_710293	2515	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_710590	2477	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_630786	2461	NA	3	0.1	no	0	1	0	0	0	0	0	1
k121_710408	2401	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_500533	2395	NA	5	0.8	no	0	0	0	0	0	0	0	1
k121_209197	2367	NA	2	0.2	no	0	0	0	0	0	0	0	1
k121_710724	2352	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_696006	2328	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_182603	2311	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_546490	2284	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_438729	2283	NA	3	-0.1	no	0	1	0	0	0	0	0	0
k121_49076	2245	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_209997	2237	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_373357	2166	NA	4	0.3	no	0	0	0	0	0	0	0	1
k121_596551	2157	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_218845	2068	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_640946	2063	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_130597	2062	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_572991	2030	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_710426	2020	NA	2	0.0	yes	0	0	0	0	0	0	0	0
