gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1030372_1	2	556	555	1	0.688	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1030372_2	507	881	375	-1	0.685	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1030372_3	1015	1644	630	1	0.640	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1030372_4	1635	2177	543	1	0.635	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1030372_5	2342	2743	402	1	0.562	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_998200_1	163	462	300	1	0.633	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_998200_2	811	1137	327	-1	0.609	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_998200_3	1118	1573	456	-1	0.592	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_998200_4	1744	1992	249	-1	0.578	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_998200_5	2119	2379	261	1	0.667	11	AGGAG	GENOMAD.209160.PC	1.02e-06	47	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609	putative addiction module antidote protein, CC2985 family
k121_998200_6	2386	2694	309	1	0.647	11	None	GENOMAD.179020.PC	9.371e-14	68	0	0	0	1	NA	NA	NA	PF05016;COG3668;K19093	Plasmid stabilization system protein ParE
k121_140_1	3	926	924	-1	0.463	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_140_2	923	1408	486	-1	0.479	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_140_3	1457	2575	1119	-1	0.458	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_140_4	2572	3246	675	-1	0.476	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_140_5	3345	4610	1266	1	0.457	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_611898_1	3	545	543	-1	0.516	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_611898_2	774	1298	525	1	0.526	11	None	GENOMAD.172067.CP	6.238e-05	45	0	0	0	1	NA	NA	NA	PF13302;K03817;TIGR03585;COG1670	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
k121_611898_3	1367	2266	900	-1	0.513	11	None	GENOMAD.179226.PC	0.0001205	46	0	0	0	1	NA	NA	NA	PF06821;K07002;COG3545;TIGR02240	Serine hydrolase
k121_611898_4	2317	2886	570	-1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_869472_1	1	666	666	1	0.599	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_869472_2	708	1694	987	1	0.606	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_869472_3	1699	2952	1254	1	0.607	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_869472_4	3048	3140	93	1	0.548	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_257840_1	1	165	165	1	0.552	11	None	GENOMAD.143067.CP	1.863e-09	53	0	0	0	1	NA	NA	NA	PF13806;K14578;COG2146;TIGR02377	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
k121_257840_2	167	940	774	1	0.616	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_257840_3	943	1752	810	1	0.616	11	None	GENOMAD.179550.CP	5.257e-38	146	0	0	0	1	NA	NA	NA	PF02548;K00606;TIGR00222;COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
k121_257840_4	1768	2763	996	1	0.601	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_257840_5	2827	4008	1182	1	0.578	11	AGxAGG/AGGxGG	GENOMAD.123132.CP	1.871e-08	59	0	0	0	1	NA	NA	NA	PF13738;K17870;TIGR04018;COG1251	putative bacillithiol system oxidoreductase, YpdA family
k121_1674488_1	133	576	444	-1	0.331	4	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1674488_2	2733	2840	108	-1	0.370	4	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1674488_3	2938	3060	123	-1	0.366	4	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_129106_1	1	3867	3867	-1	0.670	11	GGA/GAG/AGG	GENOMAD.066486.PP	1.984e-10	68	0	0	0	1	NA	NA	NA	NA	NA
k121_129106_2	4260	4451	192	-1	0.589	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1159394_1	75	1805	1731	1	0.678	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1159394_2	1805	3097	1293	1	0.675	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1159394_3	3138	3479	342	1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1159394_4	3588	3905	318	1	0.660	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1159394_5	3902	4495	594	-1	0.665	11	None	GENOMAD.177274.CP	9.153e-15	75	0	0	0	1	NA	NA	NA	PF13022;PF17928;TIGR03384;COG1309;K16138	transcriptional repressor BetI
k121_1159394_6	4586	5053	468	1	0.673	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1159394_7	5055	5294	240	1	0.683	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_579894_1	3	104	102	-1	0.725	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_579894_2	101	868	768	-1	0.680	11	None	GENOMAD.124478.CP	3.974e-35	137	0	0	0	1	NA	NA	NA	PF07840;K22293;TIGR03338;COG1802	phosphonate utilization associated transcriptional regulator
k121_579894_3	865	1290	426	-1	0.678	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_579894_4	1402	2454	1053	1	0.691	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_579894_5	2773	2931	159	-1	0.711	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_579894_6	3198	4259	1062	-1	0.696	11	None	GENOMAD.096843.PC	1.416e-33	136	0	0	0	1	NA	NA	NA	NA	NA
k121_2093221_1	201	1547	1347	1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2093221_2	1563	2858	1296	-1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2093221_3	2872	3801	930	-1	0.611	11	GGAG/GAGG	GENOMAD.161113.PV	4.023e-07	54	0	0	0	1	NA	NA	NA	PF00589;PF12834;K03733;COG4973;TIGR02224	Site-specific recombinase XerC
k121_2093221_4	3805	4293	489	-1	0.646	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1835646_1	139	981	843	-1	0.665	11	GGAGG	GENOMAD.136522.CP	6.147e-21	96	0	0	0	1	NA	NA	NA	PF08282;K11725;TIGR01458;COG0647	HAD-superfamily subfamily IIA hydrolase, TIGR01458
k121_1835646_2	971	2449	1479	-1	0.632	11	AGGA	GENOMAD.130657.CP	2.085e-19	95	0	0	0	1	NA	NA	NA	PF02436	Conserved carboxylase domain
k121_1835646_3	2442	3779	1338	-1	0.646	11	None	GENOMAD.179703.PC	0.0001164	47	0	0	0	1	NA	NA	NA	PF02786;K01961;COG2232;TIGR00514	Predicted ATP-dependent carboligase, ATP-grasp superfamily
k121_1835646_4	3783	4259	477	-1	0.673	11	AGGA/GGAG/GAGG	GENOMAD.129936.CP	3.108e-33	127	0	0	0	1	NA	NA	NA	PF00364;K02160;TIGR00531;COG0511	acetyl-CoA carboxylase, biotin carboxyl carrier protein
