ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_170572	364241	NA	518	0.0	yes	0	0	0	0	0	0	0	0
k121_535467	319326	NA	427	0.0	yes	0	0	0	0	0	0	0	0
k121_282943	105053	NA	125	0.0	no	0	1	1	0	1	0	0	0
k121_244431	91915	NA	73	0.1	no	0	1	1	0	1	0	0	0
k121_218830	89227	NA	96	-0.0	no	0	0	1	0	1	0	0	0
k121_522605	80057	NA	79	0.0	no	0	0	1	0	1	0	0	0
k121_663017	70830	NA	83	0.2	no	0	1	0	0	0	0	0	0
k121_493872	62839	NA	100	0.0	yes	0	0	0	0	0	0	0	0
k121_9537	58413	NA	48	0.0	no	0	0	1	0	0	0	0	0
k121_266290	55463	NA	53	-0.0	no	0	0	1	0	0	0	0	0
k121_743670	54141	NA	82	0.0	yes	0	0	0	0	0	0	0	0
k121_124240	50920	NA	78	0.0	yes	0	0	0	0	0	0	0	0
k121_227581	49323	NA	48	0.0	no	0	0	1	0	6	0	0	0
k121_743686	44101	NA	65	0.0	yes	0	0	0	0	0	0	0	0
k121_743806	41767	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_223144	41640	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_743654	41466	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_136174	39307	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_342072	38870	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_617860	38239	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_676961	38004	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_743735	37300	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_743697	35335	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_83240	35120	NA	39	-0.0	no	0	1	0	0	0	0	0	0
k121_743726	33045	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_743658	32633	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_53338	32543	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_743753	32117	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_6637	31854	NA	25	0.0	yes	0	0	0	0	0	0	2	0
k121_349852	30314	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_72535	28274	NA	25	0.0	no	0	0	1	0	0	0	0	0
k121_666304	27871	NA	26	0.0	no	0	0	1	0	1	0	0	0
k121_614243	21283	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_312394	21080	NA	18	-0.0	no	0	1	0	0	0	0	0	0
k121_728936	16524	NA	12	-1.2	yes	0	0	0	0	0	0	0	0
k121_536082	12707	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_618940	12405	NA	8	0.0	yes	0	0	0	0	0	0	2	0
