ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_104929	84136	NA	141	0.0	yes	0	0	0	0	0	0	0	0
k121_2369129	68798	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_2369113	60454	NA	82	0.0	yes	0	0	0	0	0	0	0	0
k121_1325593	60182	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_2369112	50337	NA	74	0.0	yes	0	0	0	0	0	0	0	0
k121_2369133	40156	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_2369121	37139	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2369115	36783	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2369108	35108	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_1176319	34842	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_2369154	34816	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_1601228	33664	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2369120	33441	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1210617	32637	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1244682	29896	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_496551	17807	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_2369222	12957	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_2369206	11604	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_1244519	10025	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_2369137	8851	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_61000	8715	NA	6	0.0	yes	0	0	0	0	0	0	2	0
k121_2137287	8262	NA	7	0.0	yes	0	0	0	0	0	0	2	0
k121_2369279	7695	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_1556388	7561	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_1153249	7090	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1843294	6815	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_270125	6614	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2369568	6608	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2075802	6448	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2025626	6221	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1924397	6040	NA	8	0.7	no	0	0	0	0	0	0	0	1
k121_1076349	6008	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2369469	5879	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_320414	5683	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1405230	5662	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_709522	5602	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_107040	5503	NA	7	0.3	no	0	0	0	0	0	0	0	1
k121_2369203	5350	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2369196	5348	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2221082	5343	NA	11	0.2	no	0	0	0	0	0	0	0	1
k121_2082607	5338	NA	10	0.9	no	0	0	1	0	0	0	0	0
k121_813592	5301	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1201256	5086	NA	6	-0.0	yes	0	0	0	0	0	0	0	0
k121_2369523	4983	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_101388	4885	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_1989693	4856	NA	3	0.2	no	0	0	0	0	0	0	0	1
k121_1306760	4843	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_204807	4812	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2369606	4638	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1682367	4636	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2369173	4630	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1501329	4628	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2369453	4586	NA	7	0.0	yes	0	0	0	0	0	0	0	0
