gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_691649_1	1	300	300	-1	0.597	11	None	GENOMAD.179840.PC	3.042e-55	187	0	0	0	1	NA	NA	NA	PF02641;COG1993;K09137	Uncharacterized ACR, COG1993
k121_691649_2	326	1684	1359	-1	0.664	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_691649_3	1752	1880	129	1	0.566	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_691649_4	1948	2313	366	1	0.648	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_691649_5	2315	3547	1233	1	0.637	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1752117_1	233	1444	1212	1	0.636	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1752117_2	1514	2308	795	-1	0.635	11	GGAGG	GENOMAD.148431.CP	1.614e-10	64	0	0	0	1	NA	NA	NA	PF02633;COG1402;TIGR04448;K01470	Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis
k121_1752117_3	2404	3297	894	1	0.640	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1752117_4	3421	4551	1131	1	0.630	11	AGGA	GENOMAD.166801.CP	7.151e-13	73	0	0	0	1	NA	NA	NA	PF05016;PF02030;COG3668;K11073;TIGR02385	Plasmid stabilization system protein ParE
k121_1752117_5	4620	5474	855	1	0.621	11	GGA/GAG/AGG	GENOMAD.116612.CP	3.641e-08	57	0	0	0	1	NA	NA	NA	PF00528;K02063;TIGR01253;COG1178	thiamine ABC transporter, permease protein
