gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1481338_1	3	473	471	1	0.650	11	None	GENOMAD.093442.PC	2.083e-45	162	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1481338_2	470	1039	570	1	0.663	11	3Base/5BMM	GENOMAD.080907.PC	1.432e-47	170	0	1	0	1	NA	F_trbC	NA	PF09673;K12059;TIGR02742	Type-F conjugative transfer system pilin assembly protein
k121_1346786_1	3	944	942	-1	0.489	11	AGGA	GENOMAD.116928.PC	3.827e-13	73	0	1	0	1	NA	T_virB6	NA	COG3846;K07344	Type IV secretory pathway, TrbL components
k121_1346786_2	952	1671	720	-1	0.490	11	GGAG/GAGG	GENOMAD.109739.PC	1.138e-17	85	0	1	0	1	NA	T_virB5	NA	COG5314;K20266	Conjugal transfer/entry exclusion protein
k121_1346786_3	1688	2458	771	-1	0.488	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_204060_1	1	759	759	1	0.462	11	None	GENOMAD.034566.PP	5.699e-09	59	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_204060_2	829	1281	453	1	0.534	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1687130_1	1	1092	1092	-1	0.559	11	AGxAGG/AGGxGG	GENOMAD.070148.PP	2.018e-05	49	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_2496745_1	1	231	231	-1	0.463	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2496745_2	224	1576	1353	-1	0.511	11	GGA/GAG/AGG	GENOMAD.107942.PC	7.138e-27	118	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_2496745_3	1585	2562	978	-1	0.481	11	GGA/GAG/AGG	GENOMAD.104710.PC	3.223e-10	64	0	1	0	1	NA	T_virB9	NA	PF03524;TIGR02781;K03204;COG3504	P-type conjugative transfer protein VirB9
k121_2496745_4	2575	2754	180	-1	0.461	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1891691_1	207	464	258	1	0.570	11	AGGA	GENOMAD.040687.PP	3.135e-10	57	0	0	0	1	NA	NA	NA	PF20090	NA
k121_1891691_2	461	790	330	1	0.606	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1891691_3	798	1100	303	1	0.604	11	None	GENOMAD.118410.PC	9.294e-21	88	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_1891691_4	1112	1621	510	1	0.608	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_748386_1	3	842	840	-1	0.438	11	TAA	GENOMAD.108687.PC	2.793e-20	94	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
k121_748386_2	949	1248	300	-1	0.347	11	TAA	GENOMAD.048140.PP	3.34e-15	72	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_748386_3	1333	1647	315	-1	0.394	11	TAAA	GENOMAD.020425.PP	3.725e-16	75	0	1	0	1	NA	T_virB2	NA	PF04956;K03197;COG3838	TrbC/VIRB2 pilin
k121_748386_4	1729	2307	579	-1	0.409	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_950753_1	2	334	333	-1	0.480	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_950753_2	315	713	399	-1	0.479	11	None	GENOMAD.020539.PP	1.332e-22	95	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_2366794_1	2	1138	1137	-1	0.622	11	GGA/GAG/AGG	GENOMAD.074304.PP	9.82e-10	63	0	1	0	1	NA	MOBP1	NA	PF03432;PF18821	Relaxase/Mobilisation nuclease domain; Large polyvalent protein-associated domain 7
k121_2366794_2	1128	1286	159	-1	0.597	11	None	GENOMAD.093413.PP	6.646e-25	97	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_2366794_3	1780	1965	186	-1	0.527	11	AGGAG	GENOMAD.085096.PV	1.152e-16	74	0	0	0	1	NA	NA	NA	PF01815	Rop protein
k121_2366794_4	2208	2912	705	1	0.464	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2366794_5	2909	3358	450	1	0.389	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2036726_1	439	1305	867	1	0.528	11	None	GENOMAD.034566.PP	4.612e-10	63	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_218929_1	1	651	651	1	0.399	11	None	GENOMAD.100222.PC	2.569e-53	188	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_218929_2	710	1498	789	1	0.387	11	GGA/GAG/AGG	GENOMAD.113335.PC	3.925e-70	239	0	1	0	1	NA	T_virB9	NA	K03204;COG3504	Type IV secretory pathway, VirB9 components
k121_218929_3	1585	2775	1191	1	0.421	11	None	GENOMAD.111231.PC	3.92e-19	93	0	1	0	1	NA	NA	NA	PF03743;PF06667	Bacterial conjugation TrbI-like protein; Phage shock protein B
k121_2104136_1	2	676	675	-1	0.622	11	3Base/5BMM	GENOMAD.168394.PV	6.226e-05	46	0	1	0	2561	Caudoviricetes	MOBQ	NA	PF03389;TIGR02768	Ti-type conjugative transfer relaxase TraA
k121_2104136_2	850	1020	171	1	0.608	11	GGAG/GAGG	GENOMAD.078663.PP	3.569e-18	78	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_622976_1	3	557	555	1	0.622	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_622976_2	544	1035	492	1	0.608	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_622976_3	1190	2386	1197	1	0.571	11	None	GENOMAD.107250.PP	3.154e-49	184	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
