,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
11,k121_217100,24644,,23,-0.0,no,0,1,0,0,0,0,0,0
12,k121_513006,21477,,21,0.0,no,0,0,1,0,1,0,0,0
13,k121_111113,20134,,27,0.0,no,0,0,1,0,0,0,0,0
15,k121_14691,16551,,18,0.0,no,0,0,1,0,0,0,0,0
18,k121_333877,13685,,20,0.3,no,0,0,0,0,0,0,0,1
20,k121_582201,11289,,14,0.0,no,0,0,1,0,0,0,0,0
22,k121_513876,10422,,13,-0.1,no,0,1,0,0,0,0,0,0
23,k121_581794,8772,,8,0.0,no,0,1,1,0,0,0,0,0
28,k121_528774,7252,,8,0.9,no,0,1,0,0,0,0,0,0
29,k121_454141,7153,,8,-0.1,no,0,1,0,0,0,0,0,0
30,k121_268284,6933,,9,0.0,no,0,0,1,0,0,0,0,0
32,k121_432717,6652,,7,-0.1,no,0,0,1,0,0,0,0,0
35,k121_255458,6080,,7,0.1,no,0,0,1,0,0,0,0,1
37,k121_306154,5975,,7,0.0,no,0,0,1,0,0,0,0,0
44,k121_124791,5254,,6,0.0,no,0,0,1,0,0,0,0,0
53,k121_105024,4503,,5,-0.0,no,0,1,0,0,0,0,0,0
54,k121_568681,4447,,7,0.1,no,0,0,0,0,0,0,0,1
58,k121_570378,4128,,5,0.0,no,0,0,1,0,0,0,0,0
65,k121_264183,3704,,3,0.1,no,0,0,0,0,0,0,0,1
68,k121_106023,3613,,3,1.0,no,0,0,0,0,0,0,0,1
70,k121_710236,3521,,5,0.0,yes,0,0,1,0,0,0,0,0
73,k121_390631,3256,,2,4.3,no,0,0,0,0,0,0,0,1
74,k121_515895,3237,,4,0.3,no,0,0,0,0,0,0,0,1
76,k121_572175,3206,,3,0.0,no,0,0,1,0,0,0,0,0
77,k121_108944,3204,,1,1.7,no,0,0,0,0,0,0,0,1
79,k121_103918,3043,,4,0.4,no,0,0,0,0,0,0,0,1
80,k121_98410,2989,,1,0.0,no,0,0,1,0,0,0,0,0
83,k121_134917,2882,,3,0.2,no,0,0,0,0,0,0,0,1
84,k121_222222,2839,,4,0.0,yes,0,0,1,0,0,0,0,0
86,k121_565120,2562,,2,1.2,no,0,2,0,0,0,0,0,1
89,k121_630786,2461,,3,0.1,no,0,1,0,0,0,0,0,1
91,k121_500533,2395,,5,0.8,no,0,0,0,0,0,0,0,1
92,k121_209197,2367,,2,0.2,no,0,0,0,0,0,0,0,1
94,k121_696006,2328,,1,0.0,no,0,1,0,0,0,0,0,0
96,k121_546490,2284,,3,0.0,no,0,0,1,0,0,0,0,0
97,k121_438729,2283,,3,-0.1,no,0,1,0,0,0,0,0,0
100,k121_373357,2166,,4,0.3,no,0,0,0,0,0,0,0,1
108,k121_333306,1968,,1,1.2,no,0,0,0,0,0,0,0,0
114,k121_18990,1844,,3,1.2,no,0,0,0,0,0,0,0,1
115,k121_380353,1842,,2,0.2,no,0,0,0,0,0,0,0,1
116,k121_324068,1773,,3,0.1,no,0,0,0,0,0,0,0,1
117,k121_688664,1769,,2,0.3,no,0,0,0,0,0,0,0,1
120,k121_295338,1759,,2,0.1,no,0,0,0,0,0,0,0,1
123,k121_591378,1738,,2,0.0,no,0,1,0,0,0,0,0,1
126,k121_446194,1677,,1,1.1,no,0,0,0,0,0,0,0,0
129,k121_548187,1666,,2,0.0,no,0,0,1,0,0,0,0,0
130,k121_251904,1662,,1,0.0,no,0,1,0,0,0,0,0,0
131,k121_2104,1659,,2,0.0,no,0,1,0,0,0,0,0,0
136,k121_327018,1617,,2,0.1,no,0,0,0,0,0,0,0,1
137,k121_692320,1608,,3,1.3,no,0,0,0,0,0,0,0,1
138,k121_97603,1605,,1,0.1,no,0,0,0,0,0,0,0,1
142,k121_114516,1538,,2,0.3,no,0,0,0,0,0,0,0,1
144,k121_286975,1537,,1,0.4,no,0,0,0,0,0,0,0,1
145,k121_497604,1537,,2,0.1,no,0,0,0,0,0,0,0,1
146,k121_706587,1510,,3,0.4,no,0,0,0,0,0,0,0,1
152,k121_53888,1443,,1,0.0,no,0,1,0,0,0,0,0,0
153,k121_432292,1436,,1,0.1,no,0,0,0,0,0,0,0,1
154,k121_396065,1420,,2,0.9,no,0,0,0,0,0,0,0,1
159,k121_68952,1393,,1,0.1,no,0,0,0,0,0,0,0,1
161,k121_319296,1342,,1,0.1,no,0,0,0,0,0,0,0,1
164,k121_536961,1327,,1,0.1,no,0,0,0,0,0,0,0,1
165,k121_44623,1313,,2,15.0,no,0,0,0,0,0,1,0,1
167,k121_488001,1300,,1,0.4,no,0,0,0,0,0,0,0,1
172,k121_672895,1263,,1,53.2,no,0,0,0,0,0,0,0,1
179,k121_531253,1206,,2,0.2,no,0,0,0,0,0,0,0,1
180,k121_541790,1203,,1,0.1,no,0,0,0,0,0,0,0,1
182,k121_566712,1199,,1,2.1,no,0,0,0,0,0,0,0,1
183,k121_45837,1187,,1,0.1,no,0,0,0,0,0,0,0,1
185,k121_345096,1175,,1,0.0,no,0,1,0,0,0,0,0,0
186,k121_368804,1170,,2,0.0,no,0,0,1,0,0,0,0,0
188,k121_126883,1167,,1,3.7,no,0,0,0,0,0,0,0,1
190,k121_317201,1162,,1,0.1,no,0,0,0,0,0,0,0,1
