seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_367651	2147	No terminal repeats	2	11	0.9991	0.0009	1	3.4366	NA	NA
k121_1113874	1910	No terminal repeats	3	11	0.9991	0.0009	1	4.9260	MOBQ	NA
k121_989302	2386	No terminal repeats	3	11	0.9991	0.0009	2	4.2333	NA	NA
k121_1282701	2074	No terminal repeats	3	11	0.9991	0.0009	2	4.2490	MOBQ	NA
k121_1209722	2440	No terminal repeats	2	11	0.9991	0.0009	1	3.4366	NA	NA
k121_86343	1568	No terminal repeats	2	11	0.9991	0.0009	1	2.7718	MOBV	NA
k121_1137546	2058	No terminal repeats	2	11	0.9991	0.0009	2	2.4187	MOBQ	NA
k121_2461608	1598	No terminal repeats	2	11	0.9991	0.0009	1	3.4366	NA	NA
k121_1243592	2191	No terminal repeats	2	11	0.9991	0.0009	1	2.7761	NA	NA
k121_1852256	1082	No terminal repeats	2	11	0.9991	0.0009	2	3.2261	MOBQ	NA
k121_636620	2442	No terminal repeats	5	11	0.9991	0.0009	1	4.7040	MOBP1	NA
k121_1575981	1409	No terminal repeats	2	11	0.9991	0.0009	2	3.2077	MOBQ	NA
k121_2387074	2400	No terminal repeats	2	11	0.9991	0.0009	2	3.2077	MOBQ	NA
k121_525923	5240	DTR	7	11	0.9991	0.0009	2	4.5103	MOBP1	NA
k121_2477176	1812	No terminal repeats	2	11	0.9991	0.0009	1	2.1688	NA	NA
k121_426611	1254	No terminal repeats	2	11	0.9991	0.0009	2	3.3991	MOBQ	NA
k121_400960	6037	DTR	7	11	0.9991	0.0009	2	6.1671	MOBV;MOBV	NA
k121_1578853	4806	No terminal repeats	5	11	0.9991	0.0009	1	6.6443	MOBQ	NA
k121_358797	2823	No terminal repeats	4	11	0.9991	0.0009	2	4.5921	MOBP1	NA
k121_2442549	2673	No terminal repeats	3	11	0.9991	0.0009	3	4.4682	MOBQ	NA
k121_140071	1901	No terminal repeats	4	11	0.9991	0.0009	1	4.9260	MOBQ	NA
k121_100566	9795	No terminal repeats	16	11	0.9991	0.0009	1	14.3762	NA	NA
