gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2467740_1	353	1384	1032	1	0.433	11	AGGA	GENOMAD.098755.PP	7.911e-59	210	0	0	0	1	NA	I_traE	NA	COG5606;TIGR02612	NA
k121_2467740_2	1387	1632	246	-1	0.472	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_3	1625	2977	1353	-1	0.511	11	GGA/GAG/AGG	GENOMAD.107942.PC	7.138e-27	118	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_2467740_4	2986	3963	978	-1	0.479	11	GGA/GAG/AGG	GENOMAD.104710.PC	3.223e-10	64	0	1	0	1	NA	T_virB9	NA	PF03524;TIGR02781;K03204;COG3504	P-type conjugative transfer protein VirB9
k121_2467740_5	3976	4638	663	-1	0.498	11	AGGAG	GENOMAD.123484.PC	1.809e-29	119	0	1	0	2561	Caudoviricetes	T_virB8	NA	PF04335;K20531;COG3701;TIGR03781	Type IV secretory pathway, TrbF components
k121_2467740_6	4631	4888	258	-1	0.469	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_7	4891	6270	1380	-1	0.512	11	AGGA	GENOMAD.116928.PC	5.871e-13	74	0	1	0	1	NA	T_virB6	NA	COG3846;K07344	Type IV secretory pathway, TrbL components
k121_2467740_8	6278	6997	720	-1	0.490	11	GGAG/GAGG	GENOMAD.109739.PC	1.138e-17	85	0	1	0	1	NA	T_virB5	NA	COG5314;K20266	Conjugal transfer/entry exclusion protein
k121_2467740_9	7014	9482	2469	-1	0.509	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_10	9479	9781	303	-1	0.472	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_11	9962	10279	318	-1	0.516	11	None	GENOMAD.117152.PC	5.818e-12	63	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_2467740_12	10410	10565	156	1	0.519	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_13	10562	10954	393	1	0.517	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_14	10958	11557	600	1	0.432	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_15	11957	12175	219	1	0.461	11	None	GENOMAD.041926.PP	4.422e-09	53	0	0	0	1	NA	NA	NA	PF07308	NA
k121_2467740_16	12307	12771	465	1	0.467	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_17	12781	13503	723	1	0.488	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_18	13507	14811	1305	-1	0.449	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_19	14812	15828	1017	-1	0.502	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_20	15861	17201	1341	-1	0.524	11	AGGAG	GENOMAD.036539.PP	1.1e-23	108	0	0	0	1	NA	NA	NA	PF04917;COG4537;TIGR01708	Bacterial shufflon protein, N-terminal constant region
k121_2467740_21	17235	17816	582	-1	0.498	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_22	17827	19038	1212	-1	0.501	11	GGAG/GAGG	GENOMAD.110992.PC	2.837e-23	106	0	0	0	1	NA	NA	NA	PF00482;TIGR02120;COG1459;K10934	type II secretion system protein F
k121_2467740_23	19035	21008	1974	-1	0.494	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_24	21029	21751	723	-1	0.521	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_25	21729	23057	1329	-1	0.505	11	None	GENOMAD.100081.PC	9.705e-17	86	0	0	0	1	NA	NA	NA	PF06864	Pilin accessory protein (PilO)
k121_2467740_26	23059	24666	1608	-1	0.496	11	AGGA	GENOMAD.137956.PC	1.779e-86	299	0	0	0	1	NA	NA	NA	PF00263;PF07655;TIGR02520;K12282;COG1450	type IVB pilus formation outer membrane protein, R64 PilN family
k121_2467740_27	24685	25335	651	-1	0.524	11	None	GENOMAD.119005.PC	3.23e-14	74	0	0	0	1	NA	NA	NA	PF10671	Toxin co-regulated pilus biosynthesis protein Q
k121_2467740_28	25536	25751	216	1	0.546	11	GGAGG	GENOMAD.128941.PC	2.407e-21	88	0	0	0	1	NA	NA	NA	PF11455	Antitoxin MazE-like
k121_2467740_29	25748	26074	327	1	0.489	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_30	26089	26259	171	1	0.520	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_31	26284	26787	504	-1	0.512	11	GGA/GAG/AGG	GENOMAD.130054.PC	9.876e-12	65	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_2467740_32	26845	28791	1947	-1	0.497	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_33	28793	32182	3390	-1	0.505	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_34	32204	32329	126	-1	0.516	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2467740_35	32373	35492	3120	-1	0.490	11	None	GENOMAD.151529.VP	1.198e-19	98	0	0	0	2561	Caudoviricetes	NA	NA	PF18857;PF18798	Large polyvalent protein associated domain 38; Large polyvalent protein-associated domain 3
k121_2341419_1	225	1196	972	1	0.634	11	GGAG/GAGG	GENOMAD.005978.CC	6.642e-20	94	0	0	0	1	NA	T_virB11	NA	PF00437;PF05810;K07332;TIGR03819;COG4962	helicase/secretion neighborhood ATPase
k121_2341419_2	1217	1549	333	1	0.589	11	GGAG/GAGG	GENOMAD.116477.PC	9.442e-49	169	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_2341419_3	1549	1809	261	1	0.636	11	None	GENOMAD.127310.PC	1.246e-34	127	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_505_1	90	644	555	-1	0.582	11	GGAG/GAGG	GENOMAD.222592.PV	8.596e-94	303	0	0	0	1	NA	NA	NA	NA	NA
k121_505_2	661	3249	2589	-1	0.632	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_1	3	77	75	1	0.347	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_2	66	731	666	-1	0.502	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_3	774	1226	453	1	0.494	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_4	1233	2552	1320	1	0.535	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_5	2805	3140	336	1	0.533	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_6	3245	3439	195	1	0.487	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1202596_7	3450	3731	282	1	0.472	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1961987_1	1	675	675	1	0.667	11	None	GENOMAD.142566.PC	6.293e-117	372	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
k121_1961987_2	672	2060	1389	1	0.676	11	GGA/GAG/AGG	GENOMAD.094143.PC	2.979e-58	213	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_1961987_3	2044	2838	795	1	0.663	11	GGAGG	GENOMAD.142039.PC	1.811e-133	422	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00411	Protein-disulfide isomerase
k121_380516_1	3	1358	1356	1	0.410	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_380516_2	1300	1905	606	1	0.398	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1330098_1	249	578	330	1	0.600	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1330098_2	575	1102	528	1	0.545	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1330098_3	1054	1881	828	1	0.599	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1330098_4	1936	2226	291	1	0.581	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1330098_5	2443	3423	981	-1	0.602	11	GGAG/GAGG	GENOMAD.168412.PC	1.37e-37	147	0	0	0	1	NA	NA	NA	PF13011;COG2963;K07499;TIGR02844	leucine-zipper of insertion element IS481
k121_1330098_6	3420	3794	375	-1	0.613	11	AGGA	GENOMAD.168336.PC	3.978e-32	122	0	0	0	1	NA	NA	NA	PF06627;COG2963	Transposase and inactivated derivatives
k121_1330098_7	3858	4184	327	-1	0.630	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
