seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1999454	3521	DTR	6	11	0.9987	0.0013	1	2.8835	MOBV	NA
k121_1172729	4156	No terminal repeats	4	11	0.9985	0.0014	4	4.8849	T_virB8;T_virB5;T_virB6;virb4	NA
k121_1260887	2077	No terminal repeats	4	11	0.9985	0.0014	1	3.4366	T_virB2	NA
k121_606353	3097	No terminal repeats	2	11	0.9983	0.0015	1	2.3136	C_alr7207;virb4	NA
k121_705077	109005	No terminal repeats	109	11	0.9983	0.0015	9	24.8337	T_virB11;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9;T_virB10	NA
k121_1364085	2076	No terminal repeats	2	11	0.9978	0.0016	1	2.3688	NA	NA
k121_133582	1396	No terminal repeats	4	11	0.9978	0.0017	1	3.2865	NA	NA
k121_53023	5923	No terminal repeats	10	11	0.9975	0.0018	2	7.2116	MOBP1	NA
k121_1753504	1053	No terminal repeats	2	11	0.9972	0.0019	1	2.2459	F_traV	NA
k121_1090181	16589	ITR	22	11	0.9965	0.0021	1	1.7183	NA	NA
k121_1547566	2374	No terminal repeats	3	11	0.9964	0.0022	1	2.2753	NA	NA
k121_78197	2080	No terminal repeats	3	11	0.9942	0.0025	1	2.3719	NA	NA
k121_122308	1235	No terminal repeats	1	11	0.9896	0.0031	1	1.5023	NA	NA
k121_1923168	2375	No terminal repeats	4	11	0.9710	0.0050	2	2.8371	T_virB3	NA
k121_1128430	1883	No terminal repeats	2	11	0.9674	0.0068	2	2.1742	virb4;T_virB6	NA
k121_1454090	2049	No terminal repeats	2	11	0.9601	0.0089	1	2.3161	virb4;C_alr7207	NA
k121_1840197	2208	No terminal repeats	2	11	0.9517	0.0112	2	2.1742	virb4;T_virB6	NA
k121_359879	1379	No terminal repeats	2	11	0.9279	0.0146	2	2.2057	T_virB9;T_virB6	NA
k121_759996	6160	No terminal repeats	4	11	0.9222	0.0179	1	2.2965	virb4	NA
k121_23278	4233	No terminal repeats	4	11	0.9021	0.0219	1	1.5486	NA	NA
k121_710758	1288	No terminal repeats	3	11	0.9016	0.0256	1	2.2640	C_alr7209;C_alr7209	NA
k121_1444508	1166	No terminal repeats	2	11	0.9008	0.0289	1	2.1501	C_alr7205;virb4	NA
k121_864826	1518	No terminal repeats	3	11	0.8865	0.0326	1	2.5926	C_alr7209;C_alr7208	NA
k121_84019	3669	No terminal repeats	4	11	0.8825	0.0361	1	3.3889	NA	NA
k121_1408259	1124	No terminal repeats	2	11	0.8458	0.0408	2	2.0382	T_virB6;T_virB9	NA
k121_711339	3121	No terminal repeats	3	11	0.8324	0.0457	1	2.0818	T_virB9	NA
