gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_40537_1	73	414	342	1	0.316	11	None	GENOMAD.000638.PP	4.725e-09	55	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
k121_40537_2	411	1484	1074	1	0.377	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_438731_1	1	198	198	-1	0.394	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_438731_2	203	517	315	-1	0.375	11	AAA	GENOMAD.212727.PC	4.92e-05	43	0	0	0	1	NA	NA	NA	NA	NA
k121_438731_3	652	1512	861	-1	0.384	11	None	GENOMAD.121777.PV	1.888e-38	148	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_521608_1	3	167	165	1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_521608_2	260	1267	1008	1	0.500	11	GGA/GAG/AGG	GENOMAD.107250.PP	1.469e-68	238	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
k121_442978_1	1	1017	1017	1	0.559	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_442978_2	1010	2083	1074	1	0.568	11	AGGAG	GENOMAD.086833.PP	0.000339	45	0	1	0	1	NA	NA	NA	PF02195;TIGR04285;COG1475;K03497	nucleoid occlusion protein
k121_442978_3	2100	2423	324	-1	0.549	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_485149_1	462	851	390	1	0.531	11	AGGAG	GENOMAD.000638.PP	0.0002311	42	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
k121_485149_2	848	2209	1362	1	0.527	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_409709_1	480	869	390	1	0.521	11	AGGA	GENOMAD.000638.PP	9.999e-06	46	0	1	0	1	NA	NA	NA	PF07328	T-DNA border endonuclease VirD1
k121_409709_2	866	1414	549	1	0.532	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1045978_1	267	1262	996	-1	0.663	11	GGA/GAG/AGG	GENOMAD.142527.CP	1.899e-28	120	0	0	0	1	NA	NA	NA	PF12625;PF01710;K13631;COG2207	Arabinose-binding domain of AraC transcription regulator, N-term; Transposase
k121_1045978_2	1375	2352	978	1	0.661	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1045978_3	2349	3197	849	1	0.631	11	None	GENOMAD.179226.PC	5.503e-29	120	0	0	0	1	NA	NA	NA	PF06821;K07002;COG3545;TIGR02240	Serine hydrolase
k121_1045978_4	3213	4265	1053	1	0.630	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1045978_5	4262	4813	552	1	0.665	11	None	GENOMAD.179226.PC	2.117e-83	273	0	0	0	1	NA	NA	NA	PF06821;K07002;COG3545;TIGR02240	Serine hydrolase
