ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_150918	6672	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_740969	6324	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_267059	5915	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_741076	5906	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_280880	5722	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_24787	5512	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_741072	3698	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_344788	3586	NA	3	0.0	yes	0	0	1	0	0	0	0	0
k121_19753	3447	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_152725	3379	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_100738	3287	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_741266	2997	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_145270	2991	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_741301	2941	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_23408	2922	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_247272	2882	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_513034	2794	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_741132	2559	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_493814	2463	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_742050	2302	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_415170	2184	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_455773	2014	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_742345	1969	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_554590	1951	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_496912	1933	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741959	1810	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741392	1798	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_162158	1738	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_741331	1724	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_742834	1645	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_490826	1627	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741428	1623	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_743077	1592	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_742136	1562	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_448162	1504	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741073	1394	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_239089	1335	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_741989	1318	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_613564	1312	NA	1	1.4	no	0	0	0	0	0	0	0	1
k121_741302	1269	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741136	1216	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_741203	1177	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741395	1177	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_693823	1166	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_77019	1159	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741219	1159	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_742181	1138	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_743593	1132	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_197797	1123	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_741336	1119	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741157	1117	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_743588	1075	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_212025	1073	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_741070	1048	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741151	1042	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_741356	1036	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_131264	1021	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_731524	1021	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_741026	1006	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_741576	1003	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_551256	1002	NA	1	0.4	no	0	0	0	0	0	0	0	1
