gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_138772_1	3	350	348	-1	0.655	11	GGAG/GAGG	GENOMAD.160674.PC	2.665e-48	168	0	0	0	1	NA	G_tfc22	NA	NA	NA
k121_138772_2	361	1305	945	-1	0.677	11	GGAG/GAGG	GENOMAD.160936.PC	2.424e-198	612	0	1	0	1	NA	G_tfc23	NA	PF06834;TIGR03756	integrating conjugative element protein, PFL_4710 family
k121_138772_3	1302	1745	444	-1	0.696	11	AGGA	GENOMAD.160308.PC	3.426e-27	109	0	1	0	1	NA	G_tfc24	NA	PF07511;TIGR03757	integrating conjugative element protein, PFL_4709 family
k121_138772_4	1889	2230	342	-1	0.591	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_231045_1	40	1917	1878	1	0.659	11	GGAG/GAGG	GENOMAD.010350.PP	2.623e-42	169	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Relaxase/Mobilisation nuclease domain
k121_231045_2	1928	3781	1854	1	0.626	11	GGAG/GAGG	GENOMAD.063351.PP	5.512e-06	52	0	0	0	1	NA	NA	NA	NA	NA
k121_231045_3	3846	4820	975	-1	0.631	11	GGA/GAG/AGG	GENOMAD.005978.CC	5.514e-16	82	0	0	0	1	NA	T_virB11	NA	PF00437;PF05810;K07332;TIGR03819;COG4962	helicase/secretion neighborhood ATPase
k121_231045_4	4820	5494	675	-1	0.653	11	None	GENOMAD.107266.PC	6.094e-56	196	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_554216_1	2	391	390	1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_554216_2	394	1302	909	1	0.648	11	AGGAG	GENOMAD.136538.PC	3.435e-50	183	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_554216_3	1299	1964	666	1	0.638	11	GGA/GAG/AGG	GENOMAD.092186.PP	3.578e-147	459	0	0	0	1	NA	NA	NA	PF06527	TniQ
k121_1476521_1	3	1787	1785	-1	0.652	11	GGAG/GAGG	GENOMAD.108687.PC	4.213e-44	174	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
