gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_25439_1	2	1054	1053	1	0.616	11	None	GENOMAD.183012.PC	2.54e-172	539	0	0	0	1	NA	NA	NA	PF04733;COG4715	Uncharacterized conserved protein, contains Zn finger domain
k121_25439_2	1213	1398	186	1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_25439_3	1477	1857	381	-1	0.580	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_25439_4	1991	2320	330	-1	0.655	11	None	GENOMAD.196233.PC	9.953e-48	166	0	1	0	1	NA	NA	NA	PF05016;K19093;COG3668	Plasmid stabilization system protein ParE
k121_25439_5	2317	2568	252	-1	0.647	11	None	GENOMAD.160466.PC	7.374e-16	73	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_25439_6	2636	2770	135	1	0.600	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_25439_7	2936	3337	402	1	0.600	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_25439_8	3318	3476	159	-1	0.560	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_25439_9	3556	4806	1251	1	0.605	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_303761_1	497	715	219	-1	0.342	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_303761_2	712	945	234	-1	0.350	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_303761_3	1035	2045	1011	-1	0.398	11	AAAAA	GENOMAD.060735.PP	1.752e-05	49	0	1	0	1	NA	NA	NA	PF01446	NA
k121_303761_4	2050	2442	393	-1	0.392	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_212237_1	2	295	294	1	0.473	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_212237_2	387	866	480	1	0.465	11	GGAG/GAGG	GENOMAD.043254.PP	2.137e-05	46	0	0	0	1	NA	NA	NA	NA	NA
k121_212237_3	851	1015	165	1	0.436	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_212237_4	1091	1909	819	-1	0.484	11	None	GENOMAD.152191.PV	4.155e-29	120	0	1	0	1	NA	NA	NA	PF01051;COG5527	Initiator Replication protein
k121_993249_1	14	391	378	1	0.368	11	TAA	GENOMAD.073215.PP	4.04e-06	47	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_993249_2	388	1479	1092	1	0.397	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870535_1	1	396	396	-1	0.652	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870535_2	943	1431	489	1	0.497	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870535_3	1669	1914	246	1	0.508	11	GGA/GAG/AGG	GENOMAD.160466.PC	5.397e-18	79	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_870535_4	1917	2237	321	1	0.498	11	None	GENOMAD.196233.PC	4.31e-39	141	0	1	0	1	NA	NA	NA	PF05016;K19093;COG3668	Plasmid stabilization system protein ParE
k121_870535_5	2446	2976	531	1	0.475	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870535_6	3003	4958	1956	-1	0.551	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870535_7	4970	5566	597	-1	0.595	11	None	GENOMAD.215254.VP	5.092e-26	108	0	0	0	2561	Caudoviricetes	NA	NA	PF10263;COG3091	Predicted Zn-dependent metalloprotease, SprT family
k121_870535_8	5650	5970	321	1	0.573	11	GGA/GAG/AGG	GENOMAD.214208.CP	1.956e-31	119	0	0	0	1	NA	NA	NA	NA	NA
k121_295854_1	1	234	234	1	0.581	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_295854_2	224	583	360	1	0.628	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_295854_3	884	1168	285	1	0.568	11	GGAG/GAGG	GENOMAD.138269.PC	1.084e-16	76	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_295854_4	1170	1478	309	1	0.553	11	3Base/5BMM	GENOMAD.142672.PC	3.911e-46	161	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_346919_1	2	334	333	1	0.492	11	None	GENOMAD.014851.PP	3.507e-11	61	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_346919_2	306	1157	852	1	0.461	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
