gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1593894_1	2	199	198	1	0.636	11	None	GENOMAD.109592.PC	1.215e-32	120	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_1593894_2	196	1521	1326	1	0.661	11	GGA/GAG/AGG	GENOMAD.107266.PC	7.751e-75	261	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_1992484_1	2	946	945	-1	0.476	11	GGAG/GAGG	GENOMAD.100869.PC	2.648e-30	125	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_1992484_2	957	1079	123	-1	0.512	11	None	GENOMAD.050602.PP	1.38e-19	81	0	1	0	1	NA	F_traV	NA	TIGR02747;COG5633	type IV conjugative transfer system lipoprotein TraV
k121_455935_1	1	435	435	-1	0.331	11	AGGAG	GENOMAD.142910.CP	1.499e-05	46	0	0	0	1	NA	NA	NA	PF01724	NA
k121_455935_2	453	1274	822	-1	0.358	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_455935_3	2050	3060	1011	-1	0.382	11	None	GENOMAD.099011.PC	8.267e-20	94	0	1	0	1	NA	T_virB6	NA	PF04610;K03201;COG3704;TIGR02783	Type IV secretory pathway, VirB6 components
k121_455935_4	3081	3353	273	-1	0.344	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_455935_5	3359	4084	726	-1	0.394	11	AGGA	GENOMAD.082443.PC	9.673e-08	55	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	Type IV secretion system proteins
k121_455935_6	4198	4545	348	-1	0.241	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_455935_7	4802	5365	564	1	0.255	11	AGGA	GENOMAD.093714.PC	3.775e-06	49	0	1	0	1	NA	NA	NA	PF19514;PF16777;COG4453	MobC-like protein; Transcriptional regulator, RHH-like, CopG
k121_455935_8	5370	5600	231	1	0.303	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_455935_9	5604	5717	114	1	0.211	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1651845_1	1	465	465	1	0.690	11	None	GENOMAD.147132.PC	1.802e-07	52	0	1	0	1	NA	NA	NA	PF10502;K12062;COG4959;TIGR02771	Type IV secretory pathway, protease TraF
k121_1651845_2	476	826	351	1	0.692	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1651845_3	828	1253	426	1	0.674	11	GGA/GAG/AGG	GENOMAD.092544.PC	1.711e-14	72	0	1	0	1	NA	F_traW	NA	K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1881146_1	1	198	198	1	0.631	11	None	GENOMAD.081364.PP	5.258e-05	41	0	0	0	1	NA	NA	NA	NA	NA
k121_1881146_2	195	662	468	1	0.669	11	GGAG/GAGG	GENOMAD.034319.PP	1.08e-16	79	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	Type-F conjugative transfer system protein (TrbI_Ftype)
k121_1881146_3	652	1215	564	1	0.665	11	GGxGG	GENOMAD.147132.PC	1.516e-14	74	0	1	0	1	NA	NA	NA	PF10502;K12062;COG4959;TIGR02771	Type IV secretory pathway, protease TraF
k121_459256_1	3	1214	1212	1	0.661	11	None	GENOMAD.010350.PP	9.468e-35	141	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Relaxase/Mobilisation nuclease domain
