ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2185677	40448	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_2185716	34411	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_666053	33450	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_2185770	31778	NA	38	0.0	yes	0	0	0	0	0	0	0	0
k121_535379	20692	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_1855585	15131	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_2186126	9654	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_2187207	9522	NA	19	0.0	yes	0	0	0	0	0	0	0	0
k121_2187064	8595	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2007988	8143	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1267818	8019	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_721095	7792	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2186043	7491	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_223715	7330	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2185787	7071	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2187035	6987	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_803916	6924	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_1120423	6098	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1184282	5900	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_239968	5741	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_199818	5260	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1988615	5208	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2186787	5149	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2185935	5037	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1740708	4926	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_737089	4917	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1271026	4890	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2173478	4886	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_85340	4869	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1708902	4865	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2185732	4813	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2187419	4781	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_675670	4749	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2186558	4714	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2186262	4705	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_12270	4585	NA	4	0.0	no	0	0	1	0	0	0	0	0
