,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
6,k121_1830442,16694,,17,0.0,no,0,1,0,0,0,0,0,0
7,k121_1516884,14528,,14,-0.0,no,0,1,0,0,0,0,0,0
8,k121_694044,14172,,17,-0.1,no,0,0,1,0,0,0,0,0
9,k121_1851295,13241,,17,0.0,no,0,0,1,0,0,0,0,0
12,k121_547652,8810,,11,0.0,no,0,0,1,0,0,0,0,0
13,k121_1592421,7613,,10,0.0,no,0,0,1,0,0,0,0,0
14,k121_384563,7276,,9,0.0,no,0,0,1,0,0,0,0,0
15,k121_81892,6961,,10,0.0,no,0,0,1,0,0,0,0,0
16,k121_478817,6843,,5,0.0,no,0,0,1,0,0,0,0,0
17,k121_1131927,6244,,3,0.0,no,0,1,0,0,0,0,0,0
19,k121_588323,5949,,9,0.0,no,0,0,1,0,0,0,0,0
21,k121_1572724,5452,,4,0.0,no,0,0,1,0,0,0,0,0
26,k121_132971,4728,,7,0.0,no,0,0,1,0,0,0,0,0
31,k121_959390,4010,,4,0.0,no,0,0,1,0,0,0,0,0
33,k121_2155914,3808,,4,0.0,yes,0,0,1,0,0,0,0,0
36,k121_32764,3717,,2,0.0,no,0,0,1,0,0,0,0,0
37,k121_407034,3585,,4,-0.5,no,0,1,0,0,0,0,0,0
39,k121_1051858,3554,,6,0.0,no,0,1,0,0,0,0,0,0
41,k121_57058,3460,,2,0.9,no,0,0,0,0,0,0,0,1
42,k121_1369044,3436,,4,-0.2,no,0,1,0,0,0,0,0,0
43,k121_545623,3402,,4,1.0,no,0,0,0,0,0,0,0,0
44,k121_384032,3371,,3,0.0,no,0,0,1,0,0,0,0,0
54,k121_2156173,2582,,3,0.0,yes,0,0,1,0,0,0,0,0
62,k121_128286,2235,,3,17.7,no,0,0,0,0,0,0,0,0
72,k121_1887062,1874,,2,0.0,no,0,1,0,0,0,0,0,0
74,k121_1731001,1831,,2,0.0,no,0,1,0,0,0,0,0,0
101,k121_763782,1474,,1,0.1,no,0,0,0,0,0,0,0,1
102,k121_1698853,1474,,2,0.0,no,0,0,1,0,0,0,0,0
108,k121_1737288,1422,,2,0.6,no,0,0,0,0,0,0,0,1
123,k121_154354,1256,,2,0.0,no,0,1,0,0,0,0,0,0
130,k121_83636,1183,,1,1.1,no,0,0,0,0,0,0,0,1
140,k121_2146846,1138,,1,0.1,no,0,0,0,0,0,0,0,1
142,k121_580680,1126,,1,0.4,no,0,0,0,0,0,0,0,1
