,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
1,k121_1301669,93983,,99,0.0,no,0,0,1,0,7,0,0,0
3,k121_2261621,86521,,66,0.0,no,0,0,1,0,3,0,0,0
36,k121_985337,22066,,21,0.2,no,0,0,0,0,0,0,0,1
42,k121_166787,15833,,14,0.0,no,0,0,1,0,1,0,0,0
47,k121_743991,14544,,17,0.0,no,0,0,1,0,0,0,0,0
49,k121_829223,13699,,13,0.0,no,0,1,0,0,0,0,0,0
52,k121_764341,10307,,12,-0.0,no,0,1,0,0,0,0,0,0
57,k121_1877855,8753,,11,0.4,no,0,0,0,0,0,0,0,1
65,k121_636829,6772,,6,0.2,no,0,0,0,0,0,0,0,1
70,k121_2489620,6209,,7,0.0,no,0,1,0,0,0,0,0,0
75,k121_412493,6103,,9,0.0,yes,0,0,1,0,0,0,0,0
94,k121_2175154,4862,,5,0.3,no,0,0,0,0,0,0,0,1
105,k121_2408449,4296,,4,0.2,no,0,0,0,0,0,0,0,1
115,k121_238536,4011,,5,0.0,yes,0,0,1,0,0,0,0,0
118,k121_71971,3829,,3,0.1,no,0,0,0,0,0,0,0,1
120,k121_508481,3789,,3,0.1,no,0,0,0,0,0,0,0,1
124,k121_2492613,3690,,4,0.1,no,0,0,0,0,0,0,0,1
137,k121_2008009,3293,,3,0.1,no,0,0,1,0,0,0,0,1
142,k121_1755289,3190,,1,0.9,no,0,0,0,0,0,0,0,1
144,k121_779563,3113,,2,0.1,no,0,0,0,0,0,0,0,1
145,k121_2531312,3113,,3,0.0,yes,0,1,0,0,0,0,0,0
149,k121_158676,2944,,1,0.1,no,0,0,0,0,0,0,0,1
155,k121_1658307,2762,,3,0.0,no,0,0,1,0,1,0,0,0
157,k121_273059,2711,,4,0.0,no,0,1,0,0,0,0,0,0
158,k121_2315221,2677,,6,0.1,no,0,0,0,0,0,0,0,1
159,k121_2336166,2659,,3,0.5,no,0,0,0,0,0,0,0,1
161,k121_1503400,2645,,4,0.0,no,0,1,0,0,0,0,0,0
