,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_1109538,21487,,16,0.0,no,0,1,0,0,0,0,0,0
1,k121_851201,14181,,20,0.0,no,0,0,1,0,0,0,0,0
10,k121_1016963,4701,,8,0.2,yes,0,0,1,0,0,0,0,0
16,k121_115076,3298,,5,0.0,no,0,1,0,0,0,0,0,0
18,k121_455308,3190,,5,0.0,no,0,1,0,0,0,0,0,0
19,k121_256502,2994,,2,0.1,no,0,0,0,0,0,0,0,1
20,k121_829053,2870,,2,0.6,no,0,0,0,0,0,0,0,1
24,k121_603150,2507,,1,0.0,no,0,0,1,0,0,0,0,0
25,k121_516119,2437,,5,0.0,no,0,0,1,0,0,0,0,0
31,k121_947987,2134,,4,0.0,no,0,0,1,0,0,0,0,0
35,k121_489508,1860,,2,0.0,no,0,1,0,0,0,0,0,0
38,k121_990934,1769,,3,0.0,no,0,0,1,0,0,0,0,0
39,k121_956471,1744,,1,1.5,no,0,0,0,0,0,0,0,1
40,k121_942439,1699,,2,0.0,no,0,0,1,0,0,0,0,0
49,k121_1121898,1413,,2,0.0,no,0,0,1,0,0,0,0,0
55,k121_104651,1274,,1,0.0,no,0,0,1,0,0,0,0,0
63,k121_492974,1190,,2,2.8,no,0,0,0,0,0,0,0,1
