gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_421725_1	3	395	393	1	0.595	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_421725_2	409	699	291	-1	0.526	11	None	GENOMAD.142672.PC	2.544e-24	98	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_421725_3	696	998	303	-1	0.564	11	GGAG/GAGG	GENOMAD.138269.PC	1.269e-17	79	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_421725_4	1206	1328	123	1	0.472	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_900701_1	1	612	612	-1	0.493	11	GGAG/GAGG	GENOMAD.094117.PC	8.801e-60	206	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_900701_2	609	1151	543	-1	0.519	11	None	GENOMAD.084811.PC	4.18e-20	90	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_1341791_1	1	147	147	-1	0.367	11	TAA	GENOMAD.004909.PP	7.857e-08	48	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_1341791_2	455	1438	984	1	0.436	11	AAAAAA	GENOMAD.065561.PP	1.358e-38	150	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_1341791_3	1439	1795	357	1	0.392	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_576234_1	3	422	420	-1	0.429	11	None	GENOMAD.092693.PC	1.594e-14	72	0	1	0	1	NA	F_traW	NA	PF09673;K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_576234_2	409	945	537	-1	0.467	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_576234_3	938	1267	330	-1	0.497	11	GGAGG	GENOMAD.067702.PP	2.277e-15	73	0	1	0	1	NA	NA	NA	PF09677;TIGR02744;COG3763	type-F conjugative transfer system protein TrbI
k121_576234_4	1257	2171	915	-1	0.467	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_768354_1	1	231	231	-1	0.532	11	GGxGG	GENOMAD.100869.PC	4.767e-17	76	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_768354_2	215	397	183	-1	0.530	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_768354_3	489	809	321	-1	0.570	11	GGA/GAG/AGG	GENOMAD.104248.PC	1.34e-19	85	0	1	0	1	NA	NA	NA	PF04956;K12069;COG3838	NA
k121_768354_4	893	1222	330	-1	0.591	11	None	GENOMAD.087731.PC	1.864e-17	79	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747;COG3895	type IV conjugative transfer system lipoprotein TraV
k121_251400_1	1	1485	1485	1	0.400	11	None	GENOMAD.002761.PP	1.404e-12	73	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;K18434	MobA/MobL family
k121_251400_2	1542	2099	558	-1	0.434	11	TAA	GENOMAD.077164.PP	2.219e-75	250	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_174717_1	94	510	417	1	0.703	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_174717_2	542	841	300	1	0.683	11	AGGAG	GENOMAD.034210.PP	1.117e-57	194	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	TraL protein
k121_174717_3	858	1055	198	1	0.672	11	GGA/GAG/AGG	GENOMAD.092876.PC	9.169e-07	46	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_711957_1	5	1561	1557	-1	0.511	11	AGxAGG/AGGxGG	GENOMAD.064916.PP	3.551e-05	49	0	1	0	1	NA	MOBP1	NA	PF03432;PF18821	Relaxase/Mobilisation nuclease domain; Large polyvalent protein-associated domain 7
k121_711957_2	1558	1953	396	-1	0.480	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_711957_3	2246	2761	516	-1	0.450	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_711957_4	2774	2929	156	-1	0.481	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1191089_1	3	905	903	1	0.463	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1191089_2	1085	1282	198	-1	0.348	11	TAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1191089_3	1373	2005	633	-1	0.488	11	None	GENOMAD.075270.PP	2.855e-110	352	0	1	0	1	NA	NA	NA	PF14348;TIGR03747	integrating conjugative element membrane protein, PFL_4697 family
k121_425121_1	668	1093	426	1	0.237	11	None	GENOMAD.206271.PC	7.17e-25	102	0	0	0	1	NA	NA	NA	PF17255	EbsA-like protein
k121_425121_2	1111	1527	417	-1	0.345	11	None	GENOMAD.004909.PP	3.469e-48	169	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_425121_3	1962	2891	930	1	0.437	11	TAAA	GENOMAD.065561.PP	3.155e-42	160	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_425121_4	2888	3388	501	1	0.389	11	TAA	GENOMAD.020995.PP	3.05e-96	309	0	0	0	1	NA	NA	NA	NA	NA
k121_425121_5	3532	3825	294	1	0.378	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_425121_6	3818	4099	282	1	0.379	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_425121_7	4157	4972	816	1	0.330	11	TAA	GENOMAD.068896.PP	7.506e-147	461	0	0	0	1	NA	NA	NA	NA	NA
k121_425121_8	5166	5240	75	-1	0.347	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_138043_1	3	134	132	-1	0.409	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_138043_2	949	2451	1503	-1	0.399	11	None	GENOMAD.002761.PP	7.078e-13	74	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;K18434	MobA/MobL family
k121_138043_3	2638	2886	249	1	0.361	11	TAAA	GENOMAD.048732.PP	3.482e-30	114	0	1	0	1	NA	NA	NA	PF12958	NA
k121_1383353_1	2	553	552	-1	0.380	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1383353_2	1044	2429	1386	-1	0.383	11	None	GENOMAD.065561.PP	6.331e-35	143	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_1383353_3	2606	3394	789	1	0.332	11	None	GENOMAD.017061.PP	8.845e-20	92	0	0	0	1	NA	NA	NA	NA	NA
k121_1383353_4	3403	3594	192	-1	0.292	11	TAAA	GENOMAD.075967.PP	8.408e-28	106	0	0	0	1	NA	NA	NA	NA	NA
k121_1383353_5	3691	4014	324	-1	0.358	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_770792_1	473	997	525	1	0.505	11	GGA/GAG/AGG	GENOMAD.105498.PC	4.183e-17	81	0	1	0	1	NA	NA	NA	PF19456	MobI protein
k121_770792_2	990	2063	1074	1	0.512	11	GGAGG	GENOMAD.108229.PC	8.968e-51	187	0	1	0	1	NA	MOBH	NA	PF07514;K12070;TIGR03760	Putative helicase
k121_196287_1	2	400	399	1	0.419	11	None	GENOMAD.094265.PC	4.678e-07	50	0	1	0	1	NA	T_virB8	NA	PF04335;K12081;COG3736;TIGR03781	VirB8 protein
k121_196287_2	412	1305	894	1	0.377	11	TAA	GENOMAD.110958.PC	1.227e-51	187	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_196287_3	1305	1748	444	1	0.374	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_618273_1	1	357	357	-1	0.373	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_618273_2	1122	1526	405	-1	0.422	11	None	GENOMAD.004909.PP	2.006e-27	109	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_886486_1	191	1144	954	1	0.435	11	GGA/GAG/AGG	GENOMAD.002761.PP	7.669e-12	69	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;K18434	MobA/MobL family
k121_886486_2	1141	1401	261	1	0.387	11	GGA/GAG/AGG	GENOMAD.011614.PP	2.708e-42	149	0	0	0	1	NA	NA	NA	NA	NA
k121_388616_1	1	333	333	1	0.390	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_388616_2	528	869	342	1	0.374	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_388616_3	876	1877	1002	1	0.403	11	None	GENOMAD.099181.PC	1.105e-13	75	0	1	0	1	NA	T_virB6	NA	COG3704;K03201	Type IV secretory pathway, VirB6 components
