seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_781208	2180	No terminal repeats	4	11	0.9987	0.0013	1	5.1548	NA	NA
k121_27666	2978	No terminal repeats	3	11	0.9986	0.0014	2	3.2146	MOBP1	NA
k121_1624280	5835	No terminal repeats	7	11	0.9985	0.0014	4	4.8084	T_virB6;T_virB8;T_virB9;T_virB10;T_virB11	NA
k121_1079929	26096	No terminal repeats	32	11	0.9985	0.0014	3	15.7264	MOBQ	NF000272
k121_989877	91924	No terminal repeats	89	11	0.9985	0.0014	15	27.9253	F_traG;F_traH;F_traF;F_traN;F_trbC;F_traU;F_traW;F_traV;F_traK;F_traE;F_traL	NA
k121_1140711	5667	No terminal repeats	8	11	0.9982	0.0015	1	4.5044	NA	NA
k121_2086503	3902	No terminal repeats	4	11	0.9979	0.0016	4	5.0113	T_virB3;virb4;T_virB6	NA
k121_1209460	1166	No terminal repeats	2	11	0.9968	0.0018	2	2.7797	T_virB6;T_virB5	NA
k121_322876	1701	No terminal repeats	3	11	0.9953	0.0021	1	1.7183	NA	NA
k121_1183305	2835	No terminal repeats	3	11	0.9866	0.0032	2	2.0145	T_virB9	NA
k121_1364428	4874	No terminal repeats	5	11	0.9858	0.0042	1	2.2348	T_virB10	NA
k121_618149	15678	No terminal repeats	20	11	0.9836	0.0052	1	2.4435	NA	NA
k121_2141053	1453	No terminal repeats	2	11	0.9829	0.0062	1	1.6987	NA	NA
k121_1789945	1297	No terminal repeats	3	11	0.9782	0.0073	2	2.8405	T_virB3	NA
k121_234434	1033	No terminal repeats	3	11	0.9714	0.0087	1	2.2753	NA	NA
k121_267584	53385	No terminal repeats	51	11	0.9671	0.0102	7	3.9238	T_virB11;T_virB9;T_virB8;T_virB6;virb4;T_virB3	NF012174;NF012174;NF033145
k121_650657	2654	No terminal repeats	5	11	0.9555	0.0122	1	3.4300	NA	NA
k121_1989509	4148	No terminal repeats	6	11	0.9261	0.0157	3	3.0259	virb4;T_virB6	NA
k121_412475	1267	No terminal repeats	2	11	0.9221	0.0189	2	2.1742	T_virB6;virb4	NA
k121_1976438	1027	No terminal repeats	2	11	0.9191	0.0220	1	2.2753	NA	NA
k121_956116	2051	No terminal repeats	3	11	0.9147	0.0250	2	2.1742	T_virB6;virb4	NA
k121_1523658	1262	No terminal repeats	2	11	0.9083	0.0281	2	2.1710	virb4;T_virB3	NA
k121_2091655	1747	No terminal repeats	3	11	0.9044	0.0310	1	1.7894	NA	NA
k121_1175738	1076	No terminal repeats	1	11	0.8780	0.0348	1	1.5023	NA	NA
k121_489575	1137	No terminal repeats	2	11	0.8593	0.0390	1	1.5585	NA	NA
k121_1048522	1162	No terminal repeats	3	11	0.8312	0.0440	1	2.0040	NA	NA
k121_1014311	13006	No terminal repeats	10	11	0.8258	0.0489	5	3.9127	virb4;T_virB6;T_virB9;T_virB11	NA
