ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2496753	87148	NA	120	0.0	yes	0	0	0	0	0	0	0	0
k121_2496705	38749	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_402847	21318	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1724029	16709	NA	12	-0.9	yes	0	0	0	0	0	0	0	0
k121_1071739	12686	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_163097	11772	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_720094	11315	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2028792	9931	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1820404	8328	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1054690	8238	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_1097353	8159	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2017906	8099	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1630661	7446	NA	6	0.3	no	0	0	0	0	0	0	0	1
k121_1849111	7422	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1101820	7334	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1389687	7305	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2134332	6789	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_168091	6721	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2259368	6644	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_896945	6458	NA	5	0.4	no	0	2	0	0	0	0	0	1
k121_142000	6344	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2497146	6177	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1942103	6049	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1126384	5872	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1756115	5770	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_329330	5729	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2496805	5554	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1067502	5478	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_308500	5464	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2496736	5437	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1766239	5418	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2497208	5406	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1051916	5359	NA	9	0.0	yes	0	0	0	0	0	0	0	0
