gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_715351_1	15	905	891	-1	0.605	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_715351_2	908	1531	624	-1	0.604	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_715351_3	1742	2008	267	1	0.521	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_715351_4	1998	2390	393	1	0.603	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_715351_5	2533	2976	444	-1	0.538	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_715351_6	3042	3314	273	-1	0.564	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677681_1	295	507	213	-1	0.329	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677681_2	749	982	234	-1	0.333	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677681_3	2019	2249	231	-1	0.372	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677681_4	2263	2415	153	-1	0.294	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677681_5	2422	2748	327	-1	0.300	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677681_6	3018	3440	423	-1	0.556	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1167225_1	2	211	210	1	0.433	11	None	GENOMAD.171807.PC	9.576e-15	69	0	0	0	1	NA	NA	NA	PF02535;COG0428;TIGR00820;K16267	Zinc transporter ZupT
k121_1167225_2	417	749	333	1	0.414	11	None	GENOMAD.095306.PP	6.43e-13	66	0	0	0	1	NA	NA	NA	NA	NA
k121_1167225_3	855	2159	1305	1	0.457	11	GGAG/GAGG	GENOMAD.145263.CP	8.747e-38	151	0	0	0	1	NA	NA	NA	PF02321;K15725;TIGR01845;COG1538	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
k121_1167225_4	2152	2940	789	1	0.463	11	AGGAG	GENOMAD.118636.CP	1.471e-09	61	0	0	0	1	NA	NA	NF000272	PF12700;K15727;TIGR01730;COG0845	RND family efflux transporter, MFP subunit
k121_489779_1	1	153	153	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_2	475	951	477	1	0.669	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_3	941	1399	459	-1	0.658	11	GGAGG	GENOMAD.208844.PC	2.114e-43	156	0	0	0	1	NA	NA	NA	PF18726;COG1895	SAV_6107-like HEPN
k121_489779_4	1393	1953	561	-1	0.645	11	GGA/GAG/AGG	GENOMAD.182700.CP	8.668e-34	130	0	0	0	1	NA	NA	NA	PF01909;COG1669	Predicted nucleotidyltransferase
k121_489779_5	2223	3020	798	-1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_6	3020	4225	1206	-1	0.665	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_7	4260	4475	216	-1	0.574	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_8	4638	5339	702	-1	0.557	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_9	5505	5840	336	-1	0.580	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_489779_10	5828	5992	165	-1	0.624	11	GGA/GAG/AGG	GENOMAD.129597.PC	6.501e-12	60	0	0	0	1	NA	NA	NA	PF11455	Antitoxin MazE-like
k121_489779_11	6064	7401	1338	-1	0.658	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_38195_1	2	649	648	1	0.627	11	None	GENOMAD.126782.PC	1.287e-18	87	0	1	0	1	NA	NA	NA	PF14319;COG5655	Transposase zinc-binding domain
k121_38195_2	703	1470	768	1	0.607	11	None	GENOMAD.147014.PC	9.265e-34	133	0	0	0	1	NA	NA	NA	PF13546;COG5659	SRSO17 transposase
k121_1318114_1	2	250	249	-1	0.293	11	GGA/GAG/AGG	GENOMAD.182350.PV	7.867e-15	70	0	0	0	1	NA	NA	NA	PF19157	NA
k121_1318114_2	214	1170	957	-1	0.345	11	AGGAG	GENOMAD.121777.PV	4.582e-40	154	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_1318114_3	1448	2485	1038	-1	0.319	11	None	GENOMAD.196722.PV	7.25e-16	82	0	0	0	2561	Caudoviricetes	MOBV	NA	PF01076	Plasmid recombination enzyme
k121_151553_1	3	149	147	1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_151553_2	192	872	681	1	0.674	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_151553_3	869	994	126	1	0.619	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_151553_4	1887	2633	747	-1	0.518	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_640976_1	484	1233	750	1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_640976_2	1318	2568	1251	1	0.643	11	None	GENOMAD.134205.PV	4.611e-13	74	0	0	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_829136_1	3	551	549	-1	0.437	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_829136_2	778	1974	1197	1	0.430	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_829136_3	2142	2510	369	-1	0.409	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_829136_4	2540	3454	915	-1	0.379	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_866881_1	2	1318	1317	-1	0.676	11	GGA/GAG/AGG	GENOMAD.169710.PC	4.383e-23	106	0	0	0	1	NA	NA	NA	PF08521	Two-component sensor kinase N-terminal
k121_866881_2	1284	1973	690	-1	0.664	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_866881_3	2066	3064	999	1	0.631	11	AGGAG	GENOMAD.129311.CP	9.927e-13	72	0	0	0	1	NA	NA	NA	PF03401;K07795;COG3181;TIGR02122	Tripartite tricarboxylate transporter family receptor
k121_866881_4	3061	3363	303	-1	0.673	11	GGA/GAG/AGG	GENOMAD.136445.PV	3.932e-45	158	0	0	0	1	NA	NA	NA	TIGR00673;COG3620	NA
k121_866881_5	3367	3846	480	-1	0.619	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_189451_1	27	263	237	-1	0.405	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_189451_2	711	1349	639	1	0.341	11	AAAAA	GENOMAD.179882.VP	1.351e-14	75	0	0	0	1	NA	NA	NA	PF05732	Firmicute plasmid replication protein (RepL)
k121_189451_3	1327	1557	231	1	0.368	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_189451_4	1469	3175	1707	-1	0.451	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_189451_5	3385	3639	255	-1	0.392	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1318736_1	1	1176	1176	1	0.685	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1318736_2	1310	2101	792	1	0.615	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1318736_3	2389	3495	1107	1	0.726	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_1	1	1089	1089	1	0.498	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_2	1108	2496	1389	1	0.503	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_3	2641	3267	627	1	0.514	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_4	3264	3557	294	1	0.408	11	GGAG/GAGG	GENOMAD.039412.PP	1.374e-15	73	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_5	4474	5439	966	-1	0.480	11	AGGAG	GENOMAD.031536.PP	0.0001378	46	0	1	0	1	NA	NA	NA	PF06504;COG5534	Replication protein C (RepC)
k121_264865_6	5634	5921	288	1	0.514	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1448_1	2	106	105	1	0.610	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1448_2	106	1059	954	1	0.657	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1448_3	1100	2053	954	-1	0.644	11	None	GENOMAD.171760.PV	0.0001347	46	0	0	0	1	NA	NA	NA	PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_1448_4	2053	2658	606	-1	0.571	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
