,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_1091797,22611,,22,0.0,no,0,1,0,0,0,0,0,0
3,k121_812632,5630,,4,0.0,no,0,0,1,0,1,0,0,0
4,k121_1145379,5487,,6,0.0,yes,0,0,1,0,0,0,0,0
5,k121_1319790,5038,,5,0.0,no,0,0,1,0,0,0,0,0
12,k121_1499296,3547,,4,0.0,no,0,0,1,0,0,0,0,0
22,k121_869981,2987,,3,0.0,yes,0,1,0,0,0,0,0,0
28,k121_1568447,2574,,3,0.0,yes,0,0,1,0,0,0,0,0
29,k121_447966,2561,,3,0.0,no,0,0,1,0,0,0,0,0
32,k121_1045852,2440,,1,15.0,no,0,0,1,0,0,0,0,0
47,k121_1241743,1908,,2,0.2,no,0,0,0,0,0,0,0,1
58,k121_975146,1685,,2,1.3,no,0,0,0,0,0,0,0,1
67,k121_1167669,1531,,2,0.0,no,0,0,1,0,0,0,0,0
70,k121_553675,1505,,1,0.0,no,0,0,1,0,0,0,0,0
94,k121_892398,1302,,2,6.2,no,0,0,0,0,0,0,0,0
106,k121_625267,1238,,2,0.0,no,0,0,1,0,0,0,0,0
115,k121_1281369,1218,,1,0.0,no,0,1,0,0,0,0,0,0
136,k121_13412,1108,,1,18.8,no,0,0,0,0,0,0,0,1
139,k121_1998,1099,,1,0.1,no,0,0,0,0,0,0,0,1
154,k121_589444,1066,,1,0.0,no,0,0,1,0,0,0,0,0
