gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_436017_1	2	1075	1074	-1	0.418	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_436017_2	1221	2012	792	-1	0.348	11	GGA/GAG/AGG	GENOMAD.121283.PC	8.357e-40	151	0	1	0	1	NA	I_traI	NA	PF16932;K12204	Type IV secretory system, conjugal DNA-protein transfer
k121_436017_3	2018	2521	504	-1	0.347	11	None	GENOMAD.124389.PC	9.876e-12	65	0	0	0	1	NA	NA	NA	PF16816;K12205	DotD protein
k121_436017_4	2677	2979	303	1	0.343	11	AGGA/GGAG/GAGG	GENOMAD.212169.CP	6.807e-24	97	0	0	0	1	NA	NA	NA	K12221	NA
k121_220024_1	258	1676	1419	-1	0.645	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_2	2010	2336	327	1	0.615	11	GGAGG	GENOMAD.181916.PC	1.598e-26	105	0	0	0	1	NA	NA	NA	PF09448;TIGR02118;COG5470	Methylmuconolactone methyl-isomerase
k121_220024_3	2434	3594	1161	-1	0.630	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_4	3840	6485	2646	1	0.616	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_5	6487	7878	1392	1	0.631	11	GGAGG	GENOMAD.126423.CP	1.221e-12	73	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_6	7937	8920	984	1	0.606	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_7	8938	9903	966	1	0.633	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_8	10149	11207	1059	1	0.630	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_9	11667	12644	978	-1	0.615	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_10	12743	13576	834	1	0.603	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_11	13606	14154	549	1	0.601	11	GGAG/GAGG	GENOMAD.196227.PC	1.072e-38	144	0	0	0	1	NA	NA	NA	PF14499;K05913;COG3450	ChrR Cupin-like domain
k121_220024_12	14159	15214	1056	1	0.605	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_13	15218	16099	882	1	0.618	11	None	GENOMAD.168424.CP	1.328e-05	49	0	0	0	1	NA	NA	NA	PF03096;TIGR02427;K15357;COG2267	3-oxoadipate enol-lactonase
k121_220024_14	16096	16902	807	-1	0.601	11	None	GENOMAD.168424.CP	9.605e-05	46	0	0	0	1	NA	NA	NA	PF03096;TIGR02427;K15357;COG2267	3-oxoadipate enol-lactonase
k121_220024_15	16899	18455	1557	-1	0.620	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_16	18576	20738	2163	1	0.605	11	GGAGG	GENOMAD.126135.CP	9.942e-15	81	0	0	0	2561	Caudoviricetes	NA	NA	PF11854;PF07715;K16090;COG4774;TIGR01782	Outer membrane receptor for monomeric catechols
k121_220024_17	20790	21434	645	-1	0.586	11	GGA/GAG/AGG	GENOMAD.153424.CP	2.835e-17	83	0	0	0	1	NA	NA	NA	PF17933;PF00440;TIGR03613;K22295;COG3226	pyrimidine utilization regulatory protein R
k121_220024_18	21594	22799	1206	1	0.617	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_19	22799	23620	822	1	0.630	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_20	23622	24089	468	1	0.594	11	GGA/GAG/AGG	GENOMAD.159571.CP	2.532e-25	104	0	0	0	1	NA	NA	NA	PF01575;COG2030;K18290	MaoC like domain
k121_220024_21	24102	25028	927	1	0.635	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_22	25025	26458	1434	1	0.619	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_23	26985	28376	1392	1	0.621	11	GGA/GAG/AGG	GENOMAD.140495.CP	2.493e-64	231	0	0	0	1	NA	NA	NA	PF03841;K01042;TIGR00474;COG1921	L-seryl-tRNA(Sec) selenium transferase
k121_220024_24	28373	30310	1938	1	0.623	11	None	GENOMAD.137546.CP	4.806e-05	49	0	0	0	1	NA	NA	NA	PF09107	Elongation factor SelB, winged helix
k121_220024_25	30598	32187	1590	1	0.598	11	GGAGG	GENOMAD.179266.CP	7.658e-155	498	0	0	0	1	NA	NA	NA	PF00085;TIGR01295;COG0450	bacteriocin transport accessory protein, putative
k121_220024_26	32212	32493	282	1	0.560	11	AGGAG	GENOMAD.169979.CP	8.817e-11	59	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_27	32515	32733	219	1	0.648	11	None	GENOMAD.043507.CC	9.865e-16	72	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_28	32914	34800	1887	1	0.645	11	GGA/GAG/AGG	GENOMAD.142795.CP	1.085e-12	74	0	0	0	1	NA	NA	NA	PF05960;COG4805	Bacterial protein of unknown function (DUF885)
k121_220024_29	34810	35796	987	-1	0.638	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_30	35801	36802	1002	-1	0.635	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_31	36799	38298	1500	-1	0.651	11	GGA/GAG/AGG	GENOMAD.160871.PC	6.531e-66	237	0	0	0	1	NA	NA	NA	PF07364;PF07171;COG5476;K19048	Microcystin degradation protein MlrC, contains DUF1485 domain
k121_220024_32	38295	39446	1152	-1	0.662	11	GGAGG	GENOMAD.191973.CP	4.512e-05	48	0	0	0	1	NA	NA	NA	PF03096;TIGR02427;K19311;COG3545	3-oxoadipate enol-lactonase
k121_220024_33	39443	40777	1335	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_34	40774	42396	1623	-1	0.644	11	GGAG/GAGG	GENOMAD.166182.PC	3.768e-05	49	0	0	0	1	NA	NA	NA	PF00496;TIGR04028;COG4166;K13889	ABC transporter substrate binding protein, KPN_01854 family
k121_220024_35	42494	44008	1515	1	0.659	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_36	44001	45011	1011	1	0.639	11	GGA/GAG/AGG	GENOMAD.121868.CP	9.952e-07	53	0	0	0	1	NA	NA	NA	PF00528;K15581;TIGR02789;COG0601	nickel ABC transporter, permease subunit NikB
k121_220024_37	45008	45850	843	1	0.651	11	GGxGG	GENOMAD.147246.CP	1.2e-05	49	0	0	0	1	NA	NA	NA	PF00528;COG4239;K15582	ABC-type microcin C transport system, permease component YejE
k121_220024_38	45847	46671	825	1	0.655	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_39	46668	47471	804	1	0.637	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_40	47468	48097	630	1	0.627	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_41	48112	49953	1842	-1	0.639	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_42	49950	51752	1803	-1	0.641	11	GGA/GAG/AGG	GENOMAD.170815.CP	2.946e-14	79	0	0	0	1	NA	NA	NA	PF01738;PF08530;TIGR00976;COG2936;K06978	putative hydrolase, CocE/NonD family
k121_220024_43	51864	52025	162	1	0.605	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_44	52009	52209	201	-1	0.562	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_45	52756	53319	564	1	0.617	11	GGA/GAG/AGG	GENOMAD.127449.CP	2.39e-20	91	0	0	0	1	NA	NA	NA	PF07638;TIGR02999;COG1595;K24073	RNA polymerase sigma factor, TIGR02999 family
k121_220024_46	53316	55751	2436	1	0.658	11	None	GENOMAD.134115.CP	8.862e-10	65	0	0	0	1	NA	NA	NA	PF07714;PF01841;K08884;TIGR03903;COG0515	TOMM system kinase/cyclase fusion protein
k121_220024_47	55714	58635	2922	-1	0.649	11	GGAGG	GENOMAD.142325.CP	4.226e-12	73	0	0	0	1	NA	NA	NA	PF14583;K03641;COG1770;TIGR03866	Oligogalacturonate lyase
k121_220024_48	58926	59414	489	1	0.638	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_49	59542	60156	615	1	0.574	11	GGAG/GAGG	GENOMAD.222739.VP	8.473e-21	93	0	0	0	2561	Caudoviricetes	NA	NA	PF05118;TIGR04531;COG3555	Aspartyl/Asparaginyl beta-hydroxylase
k121_220024_50	60260	60499	240	1	0.608	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_220024_51	60563	61795	1233	1	0.656	11	AGGA	GENOMAD.180777.CP	6.604e-107	353	0	0	0	1	NA	NA	NA	PF15892;COG4692	Predicted neuraminidase (sialidase)
k121_220024_52	61792	62310	519	1	0.640	11	None	GENOMAD.142989.CP	6.052e-06	48	0	0	0	1	NA	NA	NA	PF08534;TIGR01626;COG0386	conserved hypothetical protein YtfJ-family, TIGR01626
k121_220024_53	62316	63698	1383	-1	0.638	11	AGGAG	GENOMAD.154339.CP	8.014e-71	250	0	0	0	1	NA	NA	NA	PF03929;COG3182;K03863	PepSY-associated TM region
