gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2197011_1	3	653	651	-1	0.433	11	TAAA	GENOMAD.077969.PP	5.641e-05	46	0	1	0	1	NA	NA	NA	PF02195;TIGR03764;COG1475;K03497	integrating conjugative element, PFGI_1 class, ParB family protein
k121_2197011_2	643	1458	816	-1	0.408	11	AAAAA	GENOMAD.046829.PP	2.303e-05	48	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_2197011_3	1578	2822	1245	1	0.414	11	TAAA	GENOMAD.035156.VV	0.0001041	47	0	0	0	2561	Caudoviricetes	NA	NA	PF14582;TIGR00619;COG0420;K03547	exonuclease SbcD
k121_2197011_4	3044	3856	813	1	0.396	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2333993_1	757	939	183	1	0.268	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2333993_2	1600	2451	852	1	0.299	11	None	GENOMAD.015439.PP	1.559e-07	55	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_2403008_1	2	823	822	1	0.426	11	None	GENOMAD.082259.PC	1.105e-22	101	0	1	0	1	NA	F_traN	NA	PF06986;PF09673;TIGR02750;K12058	type-F conjugative transfer system mating-pair stabilization protein TraN
k121_2403008_2	833	1657	825	1	0.418	11	AGGAG/GGAGG	GENOMAD.000735.PP	6.172e-07	53	0	1	0	1	NA	NA	NA	PF14595;TIGR02738;COG2143	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
k121_2403008_3	1654	2295	642	1	0.449	11	None	GENOMAD.092909.PC	1.738e-26	110	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_1476078_1	2	346	345	1	0.620	11	None	GENOMAD.183012.PC	6.256e-39	141	0	0	0	1	NA	NA	NA	PF04733;COG4715	Uncharacterized conserved protein, contains Zn finger domain
k121_1476078_2	505	690	186	1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1476078_3	769	1149	381	-1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1476078_4	1283	1612	330	-1	0.648	11	None	GENOMAD.196233.PC	1.1e-46	163	0	1	0	1	NA	NA	NA	PF05016;K19093;COG3668	Plasmid stabilization system protein ParE
k121_1476078_5	1609	1860	252	-1	0.647	11	None	GENOMAD.160466.PC	7.374e-16	73	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_1476078_6	1928	2062	135	1	0.600	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1476078_7	2228	2629	402	1	0.595	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1476078_8	2610	2768	159	-1	0.560	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1476078_9	2848	3042	195	1	0.590	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_217947_1	133	309	177	1	0.322	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_217947_2	388	1011	624	1	0.301	11	None	GENOMAD.015439.PP	2.368e-05	47	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_1942592_1	2	1021	1020	1	0.430	11	None	GENOMAD.093442.PC	4.846e-105	344	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1942592_2	1616	3328	1713	1	0.403	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1942592_3	3306	3899	594	1	0.379	11	GGAG/GAGG	GENOMAD.116679.PC	4.711e-08	55	0	1	0	1	NA	F_trbC	NA	PF09673	Type-F conjugative transfer system pilin assembly protein
k121_620064_1	43	690	648	-1	0.463	11	None	GENOMAD.092909.PC	7.916e-28	114	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_620064_2	687	1058	372	-1	0.430	11	None	GENOMAD.000735.PP	1.603e-07	51	0	1	0	1	NA	NA	NA	PF14595;TIGR02738;COG2143	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
k121_888172_1	3	353	351	1	0.416	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_888172_2	346	1230	885	1	0.441	11	GGAG/GAGG	GENOMAD.135971.PC	1.766e-19	92	0	1	0	1	NA	T_virB9	NA	PF03524;K12049;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_888172_3	1227	2204	978	1	0.447	11	3Base/5BMM	GENOMAD.111514.PC	6.877e-20	94	0	0	0	1	NA	T_virB10	NA	K12048	NA
k121_888172_4	2185	2388	204	1	0.368	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2481985_1	3	134	132	1	0.508	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2481985_2	227	661	435	-1	0.554	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2481985_3	691	999	309	-1	0.576	11	None	GENOMAD.142672.PC	2.378e-43	153	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_2481985_4	1001	1285	285	-1	0.568	11	None	GENOMAD.138269.PC	1.084e-16	76	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_2481985_5	1407	1697	291	-1	0.674	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1753645_1	1	849	849	1	0.371	11	None	GENOMAD.093643.PC	8.11e-61	213	0	1	0	1	NA	NA	NA	K12065	NA
k121_1753645_2	849	1247	399	1	0.308	11	GGAG/GAGG	GENOMAD.078165.PC	2.26e-06	48	0	1	0	1	NA	F_traV	NA	PF20205;TIGR02747;K12064;COG5510	type IV conjugative transfer system lipoprotein TraV
k121_1753645_3	1240	1656	417	1	0.329	11	GGA/GAG/AGG	GENOMAD.100869.PC	2.427e-18	83	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_1754191_1	69	983	915	1	0.430	11	None	GENOMAD.060735.PP	0.0001244	46	0	1	0	1	NA	NA	NA	PF01446	NA
k121_1754191_2	1045	1398	354	1	0.395	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_896097_1	1	75	75	1	0.400	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_896097_2	338	1039	702	1	0.322	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_896097_3	1109	2215	1107	1	0.441	11	GGAG/GAGG	GENOMAD.093442.PC	3.803e-103	340	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_896097_4	2185	3015	831	1	0.401	11	GGxGG	GENOMAD.084811.PC	6.989e-08	56	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_896097_5	3012	4466	1455	1	0.421	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_896097_6	4530	7262	2733	1	0.428	11	None	GENOMAD.089796.PC	1.532e-32	140	0	1	0	1	NA	F_traG	NA	TIGR03782	Bacteroides conjugative transposon TraJ protein
k121_1362796_1	2	346	345	-1	0.516	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1362796_2	350	640	291	-1	0.567	11	GGAG/GAGG	GENOMAD.136795.PP	0.000184	41	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_1362796_3	640	945	306	-1	0.513	11	GGAG/GAGG	GENOMAD.117152.PC	7.897e-23	94	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_1362796_4	945	1127	183	-1	0.514	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1628393_1	3	872	870	1	0.498	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1628393_2	917	1630	714	1	0.504	11	None	GENOMAD.109739.PC	6.891e-41	153	0	1	0	1	NA	T_virB5	NA	COG5314;K20266	Conjugal transfer/entry exclusion protein
k121_1628393_3	1694	1900	207	1	0.444	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1628393_4	1933	3213	1281	1	0.495	11	ATA	GENOMAD.108501.PC	5.279e-09	61	0	1	0	1	NA	NA	NA	PF08808;COG5654;TIGR02783	Uncharacterized conserved protein, contains RES domain
k121_1628393_5	3214	3891	678	1	0.463	11	ATA	GENOMAD.123484.PC	7.485e-20	91	0	1	0	2561	Caudoviricetes	T_virB8	NA	PF04335;K20531;COG3701;TIGR03781	Type IV secretory pathway, TrbF components
k121_1628393_6	3945	4811	867	1	0.506	11	ATA	GENOMAD.109949.PC	2.884e-14	76	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_1628393_7	4804	5226	423	1	0.527	11	None	GENOMAD.028310.PP	2.953e-05	45	0	1	0	1	NA	NA	NA	PF07283;PF16408;K20267	Conjugal transfer protein TrbH
k121_1628393_8	5272	5400	129	1	0.488	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1100910_1	3	1340	1338	1	0.715	11	None	GENOMAD.085141.PP	0.0009691	44	0	1	0	1	NA	NA	NA	PF19514;COG4453	MobC-like protein
k121_1100910_2	1461	1691	231	1	0.688	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_303729_1	1	393	393	1	0.336	11	None	GENOMAD.109975.PC	6.07e-22	93	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_303729_2	377	802	426	1	0.338	11	TAA	GENOMAD.112644.PC	5.432e-28	111	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_303729_3	805	2256	1452	1	0.400	11	AAAAAA	GENOMAD.111231.PC	4.309e-35	144	0	1	0	1	NA	NA	NA	PF03743;PF06667	Bacterial conjugation TrbI-like protein; Phage shock protein B
k121_303729_4	2253	2642	390	1	0.395	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2426757_1	3	239	237	-1	0.371	11	AAA	GENOMAD.004757.CC	3.262e-07	48	0	0	0	1	NA	NA	NA	PF18935	NA
k121_2426757_2	239	1156	918	-1	0.408	11	AACAA	GENOMAD.077969.PP	3.416e-06	51	0	1	0	1	NA	NA	NA	PF02195;TIGR03764;COG1475;K03497	integrating conjugative element, PFGI_1 class, ParB family protein
k121_2426757_3	1149	1961	813	-1	0.412	11	AAAAA	GENOMAD.046829.PP	9.762e-05	46	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_2426757_4	2070	2156	87	1	0.333	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1372051_1	260	493	234	1	0.295	11	GGA/GAG/AGG	GENOMAD.195537.PV	6.998e-07	47	0	0	0	1	NA	NA	NA	PF20038	NA
k121_1372051_2	537	896	360	-1	0.333	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1372051_3	881	1150	270	-1	0.326	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1372051_4	1422	1604	183	1	0.311	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1372051_5	1670	2680	1011	-1	0.312	11	None	GENOMAD.015439.PP	1.752e-05	49	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_1372051_6	3222	3548	327	-1	0.349	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2304724_1	3	509	507	-1	0.400	11	TAA	GENOMAD.093442.PC	1.892e-43	157	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_2304724_2	506	1198	693	-1	0.405	11	None	GENOMAD.092544.PC	1.949e-33	131	0	1	0	1	NA	F_traW	NA	K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_2304724_3	1198	3678	2481	-1	0.394	11	TAAAA	GENOMAD.100869.PC	2.75e-18	93	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_2304724_4	3668	3916	249	-1	0.317	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2304724_5	3950	5257	1308	-1	0.389	11	TAA	GENOMAD.094143.PC	3.477e-21	100	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_2304724_6	5287	5502	216	-1	0.389	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1778233_1	3	554	552	-1	0.415	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1778233_2	653	1480	828	1	0.429	11	AAA	GENOMAD.046829.PP	0.0001015	46	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_1778233_3	1458	2375	918	1	0.454	11	AAA	GENOMAD.077969.PP	6.101e-05	47	0	1	0	1	NA	NA	NA	PF02195;TIGR03764;COG1475;K03497	integrating conjugative element, PFGI_1 class, ParB family protein
k121_849628_1	1	1254	1254	-1	0.390	11	TAA	GENOMAD.092909.PC	1.125e-49	186	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_849628_2	1254	2066	813	-1	0.364	11	TAA	GENOMAD.084811.PC	3.947e-11	66	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_1911773_1	3	167	165	1	0.491	11	None	GENOMAD.117152.PC	8.298e-10	54	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_1911773_2	167	457	291	1	0.543	11	None	GENOMAD.136795.PP	8.269e-05	42	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_1911773_3	461	2884	2424	1	0.500	11	None	GENOMAD.142319.PC	6.407e-05	49	0	1	0	1	NA	virb4	NA	PF19044;PF11130;PF19357;TIGR03744;K12063;COG3451	conjugative transfer ATPase, PFL_4706 family
k121_1911773_4	2881	3651	771	1	0.480	11	None	GENOMAD.109739.PC	1.18e-42	159	0	1	0	1	NA	T_virB5	NA	COG5314;K20266	Conjugal transfer/entry exclusion protein
k121_1911773_5	3626	3832	207	1	0.386	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1911773_6	3925	5190	1266	1	0.494	11	ATA	GENOMAD.108501.PC	2.141e-08	59	0	1	0	1	NA	NA	NA	PF08808;COG5654;TIGR02783	Uncharacterized conserved protein, contains RES domain
k121_1914858_1	2	772	771	-1	0.463	11	GGA/GAG/AGG	GENOMAD.085298.PC	3.592e-19	90	0	1	0	1	NA	F_traG	NA	PF07916;TIGR03782	Bacteroides conjugative transposon TraJ protein
k121_1914858_2	788	1639	852	-1	0.457	11	None	GENOMAD.092909.PC	5.441e-45	167	0	1	0	1	NA	F_traH	NA	K12072	NA
