ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_878643	75289	NA	117	0.0	yes	0	0	0	0	0	0	0	0
k121_314857	41862	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_166857	39302	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_1639223	37131	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_1639314	28367	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_1215108	21465	NA	23	0.0	yes	0	0	0	0	0	0	0	0
k121_180871	10573	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_685655	9807	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1587509	8915	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_245959	8707	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_1229639	8677	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1344863	7574	NA	7	2.7	no	0	0	0	0	0	0	0	0
k121_1639242	6977	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_67677	6445	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_518153	6087	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1639264	5639	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1167569	5617	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1323876	4886	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_887699	4880	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_129744	4591	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_700082	4086	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1639352	3950	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1639258	3618	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_495947	3480	NA	1	1.7	no	0	0	0	0	0	0	0	1
k121_1371858	3117	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1640540	2956	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_334330	2839	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1538954	2653	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1360990	2647	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_276443	2531	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1639319	2507	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_614813	2497	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1639564	2416	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1187746	2365	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_639229	2327	NA	4	0.9	no	0	0	0	0	0	0	0	0
k121_22626	2326	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1605201	2259	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_894210	2230	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_346559	2158	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1235560	2148	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1550542	2068	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1639845	2027	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1579229	2003	NA	2	0.0	yes	0	0	0	0	0	0	0	0
