,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
4,k121_2282556,6205,,7,0.0,no,0,0,1,0,0,0,0,0
19,k121_2307127,3199,,6,0.0,no,0,0,1,0,0,0,0,0
20,k121_447352,3191,,3,0.0,no,0,0,1,0,0,0,0,0
25,k121_2458565,2939,,2,0.0,no,0,0,1,0,0,0,0,0
26,k121_642487,2890,,2,0.9,no,0,0,0,0,0,0,0,1
28,k121_239755,2815,,5,0.0,no,0,0,1,0,0,0,0,0
31,k121_2680206,2719,,2,2.1,yes,1,0,0,0,0,0,0,0
32,k121_1043161,2689,,3,0.0,no,0,0,1,0,0,0,0,0
33,k121_213832,2512,,3,0.0,no,0,1,0,0,0,0,0,0
37,k121_1404184,2349,,1,0.0,no,0,0,1,0,0,0,0,0
41,k121_2552811,2217,,1,0.1,no,0,0,0,0,0,0,0,1
57,k121_96450,1758,,3,0.4,no,0,0,0,0,0,0,0,1
59,k121_1707818,1746,,2,0.0,no,0,0,1,0,0,0,0,0
71,k121_1302403,1621,,1,0.7,no,0,0,0,0,0,0,0,1
74,k121_1754898,1604,,2,9.4,no,0,0,0,0,0,0,0,1
79,k121_24841,1545,,3,1.7,no,0,0,0,0,0,0,0,1
136,k121_832037,1154,,1,0.0,no,0,1,0,0,0,0,0,0
139,k121_2275918,1137,,2,0.2,no,0,0,0,0,0,0,0,1
140,k121_38817,1136,,1,4.7,no,0,0,0,0,0,0,0,1
147,k121_1201565,1103,,1,1.4,no,0,0,0,0,0,0,0,1
156,k121_2412936,1081,,1,0.6,no,0,0,0,0,0,0,0,1
158,k121_950753,1079,,1,0.1,no,0,0,0,0,0,0,0,1
164,k121_2188410,1053,,1,0.0,no,0,0,1,0,0,0,0,0
173,k121_180586,1030,,1,0.0,no,0,0,1,0,0,0,0,0
189,k121_813034,1001,,1,0.1,no,0,0,0,0,0,0,0,1
