ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1856329	37939	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1926050	18496	NA	17	0.0	no	0	0	1	0	1	0	0	0
k121_484762	14495	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_1311383	13492	NA	14	-1.3	no	0	1	0	0	0	0	0	0
k121_2519952	7346	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1332376	5376	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1063573	5166	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1238017	4990	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1278882	4843	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1365663	4805	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2520603	4722	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1876235	4306	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2521098	4208	NA	2	0.0	yes	0	0	0	1	0	0	0	0
k121_1152379	4027	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_2520126	3780	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2361625	3466	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1476986	3258	NA	6	0.0	yes	0	0	1	0	0	0	0	0
k121_2521257	3252	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2520485	3250	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2520401	3206	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2522264	3145	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_268070	3043	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1997993	2988	NA	4	0.0	no	0	1	0	0	0	0	0	0
k121_2522577	2699	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_848650	2677	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_731513	2659	NA	2	0.2	no	0	0	0	0	0	0	0	1
k121_2520597	2640	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1356050	2570	NA	3	1.4	no	1	0	0	0	0	0	0	0
k121_1338520	2485	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2520194	2431	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2523333	2281	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2522092	2215	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2520361	2179	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2296217	2160	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_929667	2153	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1650061	2138	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_472227	2131	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1132584	2131	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_2520730	2028	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_288134	2027	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_2521167	2019	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_456855	2003	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_2522192	1959	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2522940	1949	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2337332	1931	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2520828	1916	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_749076	1866	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2521182	1865	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2521284	1852	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_701274	1838	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2521792	1808	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1060486	1805	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2521388	1757	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_2521180	1731	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_428814	1723	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_540099	1720	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_257310	1689	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1687834	1687	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2521010	1677	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2522148	1658	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_434526	1640	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_331126	1633	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2520732	1623	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1144955	1591	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2019543	1573	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2111069	1557	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1298763	1531	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_621248	1523	NA	3	-1.6	yes	0	0	0	0	0	0	0	0
k121_663498	1517	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_140307	1516	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_672032	1488	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2520524	1462	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1134462	1459	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_2365597	1458	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2520070	1456	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2521240	1444	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_214816	1437	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2247839	1435	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_465691	1426	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_2520399	1420	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_317166	1393	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2523165	1374	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2524074	1351	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_84866	1335	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_970445	1294	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1960017	1291	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_813795	1290	NA	1	0.4	no	0	0	0	0	0	0	0	1
k121_2523647	1288	NA	3	0.0	yes	0	0	0	0	0	0	0	0
