gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_280438_1	1	192	192	-1	0.615	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_280438_2	189	401	213	-1	0.615	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_280438_3	698	1000	303	-1	0.561	11	None	GENOMAD.142672.PC	4.167e-21	89	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_280438_4	1004	1318	315	-1	0.587	11	GGAG/GAGG	GENOMAD.138269.PC	3.064e-10	58	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_1334198_1	278	1501	1224	-1	0.326	11	GGA/GAG/AGG	GENOMAD.092186.PP	1.918e-48	182	0	0	0	1	NA	NA	NA	PF06527	TniQ
k121_1334198_2	1501	2421	921	-1	0.363	11	None	GENOMAD.136538.PC	6.627e-41	156	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_1334198_3	2425	4095	1671	-1	0.363	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1334198_4	4279	4848	570	1	0.351	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1334198_5	5041	5568	528	1	0.362	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1334198_6	5933	6529	597	1	0.302	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1334198_7	6526	6921	396	1	0.265	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1334198_8	7074	7691	618	-1	0.343	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_913619_1	1	564	564	1	0.376	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_913619_2	569	3379	2811	1	0.401	11	None	GENOMAD.085298.PC	1.129e-23	111	0	1	0	1	NA	F_traG	NA	PF07916;TIGR03782	Bacteroides conjugative transposon TraJ protein
k121_913619_3	3382	3993	612	1	0.342	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_913619_4	4024	4566	543	1	0.361	11	None	GENOMAD.151605.PC	9.21e-20	89	0	0	0	1	NA	T_virB1	NA	PF06871;COG4764	TraH_2
k121_913619_5	4588	4941	354	1	0.342	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_913619_6	4970	6166	1197	1	0.363	11	None	GENOMAD.210486.PC	9.777e-05	47	0	0	0	1	NA	NA	NA	PF19044;K19172;COG1618;TIGR02322	TraG P-loop domain
k121_1334627_1	2	811	810	-1	0.649	11	None	GENOMAD.121777.PV	2.077e-24	106	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_1334627_2	1301	2332	1032	-1	0.645	11	None	GENOMAD.121777.PV	1.048e-22	103	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_216624_1	3	1061	1059	-1	0.602	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_2	1141	1299	159	1	0.560	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_3	1280	1681	402	-1	0.600	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_4	1847	1981	135	-1	0.600	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_5	2049	2300	252	1	0.643	11	None	GENOMAD.160466.PC	7.374e-16	73	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_216624_6	2297	2626	330	1	0.655	11	None	GENOMAD.196233.PC	9.953e-48	166	0	1	0	1	NA	NA	NA	PF05016;K19093;COG3668	Plasmid stabilization system protein ParE
k121_216624_7	2760	3140	381	1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_8	3219	3404	186	-1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_9	3563	4777	1215	-1	0.610	11	None	GENOMAD.183012.PC	1.362e-197	615	0	0	0	1	NA	NA	NA	PF04733;COG4715	Uncharacterized conserved protein, contains Zn finger domain
k121_216624_10	4795	5181	387	-1	0.625	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_11	5178	5504	327	-1	0.566	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_12	5702	5992	291	1	0.595	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_13	5989	6447	459	-1	0.510	11	None	GENOMAD.168615.CP	1.637e-08	55	0	0	0	1	NA	NA	NA	PF14696;K08234;TIGR03645;COG3324	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal
k121_216624_14	6585	6794	210	1	0.581	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_216624_15	6917	7591	675	-1	0.495	11	None	GENOMAD.198080.PC	3.059e-22	98	0	0	0	1	NA	NA	NA	PF14114	NA
k121_216624_16	7607	7948	342	-1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_155601_1	1	255	255	1	0.569	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_155601_2	269	559	291	-1	0.522	11	None	GENOMAD.142672.PC	5.113e-25	100	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_155601_3	556	858	303	-1	0.561	11	GGAG/GAGG	GENOMAD.138269.PC	2.831e-17	78	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_155601_4	934	1317	384	-1	0.555	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1067668_1	218	520	303	-1	0.551	11	GGA/GAG/AGG	GENOMAD.224100.VP	4.99e-27	106	0	0	0	1	NA	NA	NA	NA	NA
k121_1067668_2	754	1455	702	-1	0.614	11	None	GENOMAD.168104.PC	6.915e-68	231	0	0	0	1	NA	NA	NA	PF08808;COG5654	RES domain
k121_1067668_3	1455	1829	375	-1	0.659	11	AGGAG	GENOMAD.178786.PC	4.842e-30	116	0	0	0	1	NA	NA	NA	PF09722;PF08535;COG5642;TIGR02293;K22299	Uncharacterized conserved protein, DUF2384 family
