ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1116865	53177	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_1222835	49250	NA	48	0.0	no	0	0	1	0	0	0	0	0
k121_510389	45176	NA	47	0.0	no	0	0	1	0	0	0	0	0
k121_1014718	43173	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_2769617	13310	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_2769877	13254	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_2589799	11731	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1393108	11680	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_912157	10301	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2083244	9917	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1646534	9508	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_2770150	8672	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_564394	8527	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_911421	8261	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_265768	8145	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2300494	8092	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_23185	8052	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_287128	7414	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1429536	7353	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_778895	7345	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_502660	7200	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2772203	7191	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_2602625	6931	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_2255387	6929	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2770477	6910	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_702624	6909	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1591670	6881	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2770383	6852	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_1340410	6709	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_1320034	6654	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1604447	6636	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_243442	6549	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_70914	6541	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_776326	6428	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2770148	6411	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2770036	6400	NA	9	0.0	yes	0	0	1	0	0	0	0	0
k121_772530	6370	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2582873	6245	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1261692	6219	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2612309	6135	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2169584	6108	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2769684	6023	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_795633	5938	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_221088	5914	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2082383	5880	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_433297	5875	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_711453	5715	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_431339	5695	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2769976	5683	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1118954	5642	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2770943	5636	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_774534	5575	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1188155	5527	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1617120	5433	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2770620	5430	NA	4	0.0	yes	0	0	1	0	0	0	0	0
k121_2318027	5405	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2736512	5372	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2360747	5357	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1401251	5319	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1078636	5278	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1240794	5262	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_975569	5261	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1615521	5251	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2769806	5243	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2769566	5104	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_911982	5073	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_769448	5034	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1831021	5033	NA	3	0.0	no	0	0	1	0	1	0	0	0
k121_1846211	4982	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1305270	4965	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2769537	4945	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_789796	4935	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_286321	4921	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_217885	4910	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_291697	4831	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2770589	4802	NA	6	0.0	yes	0	0	1	0	0	0	0	0
k121_2771371	4797	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1606327	4720	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_701371	4697	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2392844	4652	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2303322	4584	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1679388	4565	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2455428	4492	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1601838	4343	NA	4	0.0	yes	0	0	0	0	0	0	0	0
