ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1222529	8852	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_215556	7397	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441088	5504	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1441026	5441	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_406745	5381	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1398000	4013	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441233	3589	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1440646	3482	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1440665	3450	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_927664	3218	NA	3	-2.5	no	0	0	1	0	0	0	0	0
k121_1441100	3147	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1442737	3004	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_801141	2973	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_632791	2964	NA	3	0.3	no	0	0	0	0	0	0	0	1
k121_1441225	2680	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1442018	2590	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1378280	2555	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_155005	2481	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1440956	2426	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1394783	2393	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_721608	2387	NA	3	0.0	yes	0	0	1	0	0	0	0	0
k121_1440904	2334	NA	3	0.0	yes	0	0	1	0	0	0	0	0
k121_1440685	2312	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1442814	2297	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1441516	2283	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1443863	2179	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1441724	2140	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_502684	2115	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1441461	2064	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_631447	2056	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1018917	2010	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_834617	1981	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1383544	1975	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441054	1972	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441176	1868	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1440757	1818	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1441717	1772	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1440694	1764	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1442193	1708	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441179	1633	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1443011	1583	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1441313	1564	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1240096	1561	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1442958	1480	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1444151	1478	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1187897	1432	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1443840	1419	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_909342	1414	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1440723	1405	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1078016	1402	NA	1	0.4	no	0	0	0	0	0	0	0	1
k121_1441090	1391	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_808417	1390	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441443	1360	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_834319	1350	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1444568	1339	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1442733	1301	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441084	1291	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1441343	1273	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1441808	1253	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1446706	1242	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1442119	1212	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1442444	1197	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1446908	1178	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1443245	1177	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1440863	1176	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1442257	1175	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_477027	1170	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_971842	1159	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1440756	1156	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_471056	1155	NA	0	0.0	yes	0	0	0	0	0	0	0	0
