seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_251400	2748	No terminal repeats	2	11	0.9988	0.0012	2	3.3824	MOBQ	NA
k121_36969	5700	No terminal repeats	5	11	0.9988	0.0012	1	5.4488	NA	NA
k121_435694	2752	No terminal repeats	5	11	0.9988	0.0012	2	6.6443	MOBQ	NA
k121_475134	4917	No terminal repeats	7	11	0.9988	0.0012	2	7.5238	MOBQ	NA
k121_425121	5241	DTR	8	11	0.9988	0.0012	2	7.1864	MOBQ	NA
k121_775606	2024	No terminal repeats	4	11	0.9988	0.0012	2	4.5896	MOBQ	NA
k121_201792	1643	No terminal repeats	2	11	0.9988	0.0012	1	3.4103	MOBQ	NA
k121_1383353	4015	No terminal repeats	5	11	0.9988	0.0012	1	4.9260	MOBQ	NA
k121_138043	2887	No terminal repeats	3	11	0.9988	0.0012	2	3.2373	MOBQ	NA
k121_886486	1401	No terminal repeats	2	11	0.9988	0.0012	1	3.4103	MOBQ	NA
k121_207986	2609	No terminal repeats	3	4	0.9988	0.0012	2	3.4103	MOBQ	NA
k121_351146	1457	No terminal repeats	4	11	0.9987	0.0012	1	2.8010	NA	NA
k121_618273	1527	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	NA	NA
k121_1375713	1276	No terminal repeats	2	11	0.9987	0.0012	1	2.7761	NA	NA
k121_1341791	1797	No terminal repeats	3	11	0.9987	0.0012	2	3.2077	MOBQ	NA
k121_315017	1897	No terminal repeats	5	11	0.9987	0.0012	1	1.7183	NA	NA
k121_64312	4045	No terminal repeats	5	11	0.9987	0.0012	2	1.9770	MOBQ	NA
k121_780493	4203	DTR	5	11	0.9987	0.0012	1	2.0440	NA	NA
k121_332689	3854	No terminal repeats	5	11	0.9987	0.0012	1	2.3216	NA	NA
k121_639603	1111	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	NA	NA
k121_619755	5649	No terminal repeats	7	11	0.9987	0.0013	1	2.5088	MOBQ	NA
k121_196287	1750	No terminal repeats	3	11	0.9985	0.0013	2	2.3083	T_virB8;T_virB9	NA
k121_1051785	1221	No terminal repeats	2	11	0.9983	0.0013	2	3.1823	MOBP1	NA
k121_1357651	1268	No terminal repeats	2	11	0.9980	0.0013	1	1.6987	NA	NA
k121_1067883	5360	No terminal repeats	6	11	0.9972	0.0014	2	4.3118	MOBP1	NA
k121_433924	1788	No terminal repeats	3	11	0.9967	0.0014	2	2.6477	T_virB5;T_virB6	NA
k121_794498	1555	No terminal repeats	2	4	0.9965	0.0015	1	2.7146	NA	NA
k121_174717	1056	No terminal repeats	3	11	0.9964	0.0016	2	2.9420	F_traL;F_traE	NA
k121_770792	2065	No terminal repeats	2	11	0.9960	0.0017	2	2.7175	MOBH	NA
k121_1452473	1072	No terminal repeats	1	11	0.9932	0.0018	1	1.7183	NA	NA
k121_1260644	1073	No terminal repeats	2	11	0.9905	0.0021	2	2.7528	MOBH	NA
k121_533746	1050	No terminal repeats	2	11	0.9897	0.0024	2	3.0204	F_traK;F_traE	NA
k121_711957	2929	No terminal repeats	4	11	0.9872	0.0027	1	1.5959	MOBP1	NA
k121_338409	1096	No terminal repeats	2	11	0.9853	0.0030	1	1.7183	NA	NA
k121_421725	1328	No terminal repeats	4	11	0.9771	0.0036	1	2.2753	NA	NA
k121_576234	2171	No terminal repeats	4	11	0.9743	0.0042	2	2.7643	F_traW	NA
k121_388616	4215	No terminal repeats	6	11	0.9664	0.0050	4	4.4049	T_virB6;T_virB8;T_virB9;T_virB10	NA
k121_355755	6141	No terminal repeats	9	11	0.9652	0.0058	1	2.6884	NA	NA
k121_1191089	2007	No terminal repeats	3	11	0.9616	0.0066	1	1.5489	NA	NA
k121_900701	1151	No terminal repeats	2	11	0.9589	0.0075	2	2.4250	F_traH;F_traF	NA
k121_504167	18597	No terminal repeats	20	11	0.9566	0.0084	9	13.0296	F_traB;F_traK;F_traE;F_traL;t4cp1;MOBH;F_traG;F_traH	NF033117
k121_101246	3705	No terminal repeats	4	11	0.9491	0.0094	3	3.8669	F_traF;F_traH	NA
k121_768354	1224	No terminal repeats	4	11	0.9365	0.0106	3	3.9491	virb4;F_traV	NA
k121_1355176	2029	No terminal repeats	3	11	0.8630	0.0135	1	2.5651	NA	NA
k121_1435478	1098	No terminal repeats	3	11	0.8279	0.0170	1	1.5097	F_traE	NA
k121_1518999	2944	No terminal repeats	4	11	0.8193	0.0206	3	3.9491	virb4;F_traV	NA
