,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
3,k121_705077,109005,,109,0.0,no,0,0,1,0,8,0,0,0
30,k121_1167588,15142,,14,0.0,no,0,0,1,0,1,0,0,0
47,k121_53023,5923,,9,0.0,no,0,0,1,0,0,0,0,0
61,k121_441294,4663,,3,0.0,no,0,1,0,0,0,0,0,0
63,k121_974162,4594,,3,0.0,no,0,0,1,0,0,0,0,0
87,k121_864871,3920,,7,0.0,no,0,0,1,0,0,0,0,0
93,k121_1999454,3521,,5,0.0,yes,0,0,1,0,0,0,0,0
120,k121_2001155,2510,,2,0.0,yes,0,0,1,0,0,0,0,0
171,k121_1370846,1846,,1,0.1,no,0,0,0,0,0,0,0,1
276,k121_625959,1092,,1,1.6,no,0,0,0,0,0,0,0,0
