seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1687130	1213	No terminal repeats	1	11	0.9989	0.0011	1	1.7183	NA	NA
k121_2036726	1822	No terminal repeats	1	11	0.9989	0.0011	1	1.7183	NA	NA
k121_2366794	4270	No terminal repeats	5	11	0.9989	0.0011	2	4.3485	MOBP1	NA
k121_1980264	4239	DTR	6	11	0.9989	0.0011	2	5.5885	NA	NA
k121_1601358	5267	No terminal repeats	7	11	0.9989	0.0011	4	6.1272	virb4;T_virB2	NA
k121_1271930	1711	No terminal repeats	2	11	0.9989	0.0011	2	3.0347	MOBQ	NA
k121_1271774	2791	No terminal repeats	4	11	0.9989	0.0011	1	2.4914	MOBP1	NA
k121_2104136	1022	No terminal repeats	2	11	0.9989	0.0011	2	2.8392	MOBQ	NA
k121_2532559	2834	No terminal repeats	4	11	0.9989	0.0011	1	1.8392	NA	NA
k121_2282556	6205	No terminal repeats	9	11	0.9988	0.0011	2	5.8887	MOBQ	NA
k121_1711805	2129	No terminal repeats	3	11	0.9988	0.0011	2	3.2117	F_traK	NA
k121_1707818	1746	No terminal repeats	3	11	0.9987	0.0011	2	3.3668	MOBP1	NA
k121_204060	1282	No terminal repeats	2	11	0.9986	0.0011	1	1.7183	NA	NA
k121_1031422	3591	No terminal repeats	4	11	0.9983	0.0012	3	3.1781	virb4;T_virB6;T_virB9	NA
k121_319059	1350	No terminal repeats	2	11	0.9983	0.0012	1	1.7183	T_virB6	NA
k121_1891691	1623	No terminal repeats	4	11	0.9983	0.0013	1	2.9203	T_virB3	NA
k121_1203780	1370	No terminal repeats	3	11	0.9982	0.0013	2	2.3251	T_virB9;T_virB8	NA
k121_298423	1255	No terminal repeats	3	11	0.9980	0.0013	1	1.7183	NA	NA
k121_1164409	1040	No terminal repeats	2	11	0.9979	0.0014	1	1.7183	B_traI	NA
k121_2496745	2755	No terminal repeats	4	11	0.9975	0.0014	2	2.2876	T_virB10;T_virB9	NA
k121_622976	2545	No terminal repeats	3	11	0.9968	0.0015	1	1.5023	NA	NA
k121_2650369	1310	No terminal repeats	2	11	0.9964	0.0016	1	1.5002	NA	NA
k121_2348604	1249	No terminal repeats	2	11	0.9956	0.0017	1	1.7183	MOBQ	NA
k121_190030	1849	No terminal repeats	3	11	0.9945	0.0019	1	2.0215	NA	NA
k121_19225	1469	No terminal repeats	3	11	0.9942	0.0020	2	2.3861	T_virB8;T_virB6	NA
k121_872005	4214	No terminal repeats	3	11	0.9912	0.0023	1	2.7017	NA	NA
k121_367084	1396	No terminal repeats	4	11	0.9899	0.0026	2	2.2801	T_virB2;T_virB3	NA
k121_1481338	1039	No terminal repeats	2	11	0.9893	0.0029	2	2.5463	F_traU;F_trbC	NA
k121_2544781	1823	No terminal repeats	3	11	0.9881	0.0032	1	1.7183	B_traI	NA
k121_44068	1290	No terminal repeats	3	11	0.9876	0.0035	3	3.7334	T_virB9;T_virB8;T_virB5	NA
k121_2067706	1015	No terminal repeats	4	11	0.9867	0.0038	2	2.2801	T_virB3;T_virB2	NA
k121_748386	2309	No terminal repeats	4	11	0.9851	0.0042	3	4.3174	virb4;T_virB3;T_virB2	NA
k121_2126985	1204	No terminal repeats	1	11	0.9764	0.0047	1	1.7134	NA	NA
k121_1510820	1057	No terminal repeats	3	11	0.9751	0.0053	1	2.3538	NA	NA
k121_1405375	2278	No terminal repeats	3	11	0.9749	0.0059	2	2.5463	F_traU;F_trbC	NA
k121_1346786	2459	No terminal repeats	3	11	0.9717	0.0065	2	2.3736	T_virB6;T_virB5	NA
k121_1340930	1324	No terminal repeats	2	11	0.9550	0.0076	2	1.9813	T_virB9;T_virB8	NA
k121_1940085	2161	No terminal repeats	4	11	0.9461	0.0088	1	1.9773	NA	NA
k121_950753	1079	No terminal repeats	2	11	0.9199	0.0106	1	1.7125	NA	NA
k121_43315	1078	No terminal repeats	2	11	0.9066	0.0127	1	1.5477	T_virB5	NA
k121_218929	2776	No terminal repeats	3	11	0.9053	0.0147	3	3.1837	T_virB8;T_virB9	NA
k121_2516402	1554	No terminal repeats	4	11	0.9023	0.0167	1	2.2531	NA	NA
k121_1267075	2794	No terminal repeats	4	11	0.8368	0.0201	1	1.7894	NA	NA
