,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
5,k121_640929,23027,,23,0.0,no,0,1,0,0,0,0,0,0
6,k121_1186649,17180,,20,0.0,no,0,0,1,0,0,0,0,0
13,k121_1470879,11768,,14,0.0,yes,0,0,1,0,0,0,0,0
14,k121_1407696,11616,,6,0.0,no,0,0,1,0,0,0,0,0
16,k121_737850,8322,,7,0.0,no,0,0,1,0,1,0,0,0
17,k121_845471,8274,,6,0.0,no,0,0,1,0,0,0,0,0
19,k121_1021466,7294,,6,0.0,no,0,0,1,0,0,0,0,0
30,k121_1597301,5885,,6,0.0,no,0,0,1,0,0,0,0,0
34,k121_2075891,5481,,5,0.0,yes,0,0,1,0,0,0,0,0
43,k121_1712777,4711,,6,0.0,no,0,0,1,0,0,0,0,0
51,k121_2075707,4510,,8,0.0,yes,0,0,1,0,0,0,0,0
52,k121_1039870,4478,,4,0.0,no,0,0,2,0,0,0,0,0
56,k121_2075495,4251,,7,0.0,yes,0,0,1,0,0,0,0,0
58,k121_946372,4191,,7,0.0,no,0,0,1,0,0,0,0,0
60,k121_1083317,4137,,2,0.0,no,0,1,0,0,0,0,0,0
67,k121_523174,3644,,8,0.0,no,0,0,1,0,0,0,0,0
68,k121_1691867,3616,,4,0.0,no,0,1,0,0,0,0,0,0
74,k121_82158,3141,,4,0.0,no,0,0,1,0,0,0,0,0
75,k121_1140449,3137,,2,0.0,no,0,0,1,0,0,0,0,0
77,k121_207091,3079,,2,0.0,no,0,0,1,0,0,0,0,0
87,k121_1795474,2718,,3,0.0,no,0,0,1,0,0,0,0,0
88,k121_754195,2718,,2,0.0,no,0,0,1,0,0,0,0,0
91,k121_541729,2625,,2,0.0,no,0,1,0,0,0,0,0,0
101,k121_1796340,2328,,2,2.4,no,0,0,0,0,0,0,0,0
102,k121_1219153,2323,,2,0.0,no,0,1,0,0,0,0,0,0
104,k121_1961801,2278,,2,0.0,no,0,0,1,0,0,0,0,0
106,k121_302150,2229,,2,0.0,no,0,0,1,0,0,0,0,0
108,k121_504825,2219,,1,0.0,no,0,0,1,0,0,0,0,0
118,k121_882608,1993,,3,0.0,no,0,0,1,0,0,0,0,0
121,k121_314139,1957,,1,0.0,no,0,0,1,0,0,0,0,0
126,k121_162637,1873,,1,0.9,no,0,0,0,0,0,0,0,1
135,k121_204846,1780,,1,3.3,no,0,0,0,0,0,0,0,0
141,k121_2074687,1727,,2,0.0,no,0,0,1,0,0,0,0,0
143,k121_850101,1713,,3,0.1,no,0,1,0,0,0,0,0,1
145,k121_296371,1666,,1,0.0,no,0,0,1,0,0,0,0,0
146,k121_1430470,1663,,1,0.0,no,0,0,1,0,0,0,0,0
158,k121_1190130,1536,,1,0.0,no,0,1,0,0,0,0,0,0
159,k121_308041,1535,,1,0.0,no,0,0,1,0,0,0,0,0
160,k121_52345,1531,,1,0.1,no,0,0,0,0,0,0,0,1
178,k121_1320096,1401,,1,0.0,no,0,0,1,0,0,0,0,0
180,k121_993714,1396,,1,0.0,no,0,0,1,0,0,0,0,0
181,k121_74391,1394,,1,0.2,no,0,0,0,0,0,0,0,1
183,k121_1348585,1379,,1,0.0,no,0,1,0,0,0,0,0,0
184,k121_250423,1375,,2,1.8,no,0,0,0,0,0,0,0,1
191,k121_1291033,1348,,1,0.0,no,0,0,1,0,0,0,0,0
195,k121_253318,1328,,1,0.0,no,0,1,0,0,0,0,0,0
198,k121_1568391,1315,,1,0.7,no,0,0,0,0,0,0,0,1
199,k121_1903843,1315,,2,0.0,no,0,0,1,0,0,0,0,0
200,k121_1026659,1313,,1,0.0,no,0,0,1,0,0,0,0,0
204,k121_1973295,1299,,1,0.1,no,0,0,0,0,0,0,0,1
206,k121_995009,1296,,2,0.0,no,0,1,0,0,0,0,0,0
207,k121_1216625,1295,,1,0.1,no,0,0,0,0,0,0,0,1
208,k121_638827,1292,,1,1.1,no,0,0,0,0,0,0,0,0
212,k121_1600785,1266,,2,0.0,no,0,0,1,0,0,0,0,0
217,k121_322620,1246,,2,0.0,no,0,0,1,0,0,0,0,0
223,k121_1720926,1211,,1,0.0,no,0,1,0,0,0,0,0,0
227,k121_963801,1201,,1,0.0,no,0,0,1,0,0,0,0,1
234,k121_1154131,1166,,1,0.1,no,0,0,0,0,0,0,0,1
254,k121_230166,1085,,1,1.4,no,0,0,0,0,0,0,0,1
291,k121_1216945,1011,,1,0.1,no,0,0,0,0,0,0,0,1
