,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
1,k121_1222835,49250,,48,0.0,no,0,0,1,0,0,0,0,0
2,k121_510389,45176,,47,0.0,no,0,0,1,0,0,0,0,0
18,k121_1429536,7353,,7,0.0,no,0,0,1,0,0,0,0,0
22,k121_2602625,6931,,6,0.0,no,0,0,1,0,0,0,0,0
28,k121_1340410,6709,,5,0.0,no,0,0,1,0,0,0,0,0
35,k121_2770036,6400,,9,0.0,yes,0,0,1,0,0,0,0,0
54,k121_2770620,5430,,4,0.0,yes,0,0,1,0,0,0,0,0
67,k121_1831021,5033,,3,0.0,no,0,0,1,0,1,0,0,0
75,k121_2770589,4802,,6,0.0,yes,0,0,1,0,0,0,0,0
94,k121_1508676,3855,,7,0.0,no,0,0,1,0,0,0,0,0
98,k121_1235142,3758,,5,0.0,no,0,0,1,0,0,0,0,0
104,k121_1549252,3651,,4,0.0,yes,0,1,0,0,0,0,0,0
107,k121_2453266,3597,,4,0.0,no,0,0,1,0,0,0,0,0
108,k121_1082905,3571,,4,0.0,yes,0,1,0,0,0,0,0,0
109,k121_1977589,3569,,5,0.0,no,0,0,1,0,0,0,0,0
110,k121_2234592,3553,,3,0.0,no,0,0,1,0,0,0,0,0
116,k121_1224416,3508,,4,18.4,no,0,0,0,0,0,0,0,0
119,k121_1909546,3428,,4,0.0,no,0,0,1,0,0,0,0,0
120,k121_2332127,3426,,6,0.0,no,0,0,1,0,0,0,0,0
121,k121_225950,3419,,3,0.0,no,0,0,1,0,0,0,0,0
126,k121_718890,3273,,1,0.4,no,0,0,0,0,0,0,0,1
135,k121_2627591,3114,,2,0.0,no,0,0,1,0,0,0,0,0
136,k121_1448554,3070,,2,0.0,no,0,0,1,0,0,0,0,0
141,k121_2265475,2945,,4,0.0,no,0,0,1,0,0,0,0,0
143,k121_1609388,2890,,2,0.0,no,0,0,1,0,1,0,0,0
144,k121_115356,2865,,2,0.4,no,0,0,0,0,0,0,0,1
145,k121_2667687,2836,,2,19.5,no,0,0,0,0,0,1,0,0
159,k121_733504,2673,,2,0.0,no,0,0,1,0,0,0,0,0
168,k121_110091,2565,,5,0.0,no,0,0,1,0,0,0,0,0
178,k121_990818,2502,,5,0.0,no,0,0,1,0,0,0,0,0
191,k121_2772436,2433,,3,0.0,yes,0,0,1,0,0,0,0,0
206,k121_372503,2277,,2,0.0,no,0,0,1,0,0,0,0,0
208,k121_2772233,2275,,2,0.0,yes,0,0,1,0,0,0,0,0
225,k121_1395010,2148,,3,0.1,no,0,0,0,0,0,0,0,1
226,k121_1242048,2132,,3,0.0,no,0,0,1,0,0,0,0,0
233,k121_1525525,2081,,2,0.0,no,0,0,1,0,0,0,0,0
235,k121_2585870,2074,,1,0.1,no,0,0,0,0,0,0,0,1
260,k121_2478667,1890,,1,0.0,no,0,1,0,0,0,0,0,0
262,k121_18854,1877,,2,0.0,no,0,0,1,0,0,0,0,0
267,k121_2539580,1862,,1,0.0,no,0,1,0,0,0,0,0,0
276,k121_139392,1764,,1,0.1,no,0,0,0,0,0,0,0,1
280,k121_1733177,1736,,1,0.0,no,0,1,0,0,0,0,0,0
284,k121_348461,1710,,1,0.1,no,0,0,0,0,0,0,0,1
286,k121_1985726,1707,,2,0.0,no,0,0,1,0,0,0,0,0
324,k121_2171939,1538,,1,0.0,no,0,1,0,0,0,0,0,0
333,k121_2361151,1495,,3,0.4,no,0,0,0,0,0,0,0,1
336,k121_2013682,1483,,1,0.1,no,0,0,0,0,0,0,0,1
342,k121_729421,1466,,2,0.1,no,0,0,0,0,0,0,0,1
357,k121_606736,1400,,1,0.0,no,0,0,1,0,0,0,0,0
359,k121_2434997,1389,,2,38.5,no,0,0,0,0,0,0,0,1
361,k121_1540504,1382,,1,0.1,no,0,0,0,0,0,0,0,1
364,k121_2074354,1378,,2,0.1,no,0,0,0,0,0,0,0,1
367,k121_1335525,1364,,2,0.0,no,0,0,1,0,0,0,0,0
376,k121_465245,1352,,1,0.8,no,0,0,0,0,0,0,0,1
378,k121_2379731,1348,,2,0.0,no,0,0,1,0,0,0,0,0
379,k121_79791,1347,,1,0.1,no,0,0,0,0,0,0,0,1
382,k121_2477943,1341,,1,0.1,no,0,0,0,0,0,0,0,1
414,k121_2024537,1268,,1,0.0,no,0,0,1,0,0,0,0,0
415,k121_775432,1267,,1,0.0,no,0,1,0,0,0,0,0,0
419,k121_763860,1263,,1,0.1,no,0,0,0,0,0,0,0,1
428,k121_664914,1246,,2,0.0,no,0,0,1,0,0,0,0,0
438,k121_2257655,1230,,1,0.1,no,0,0,0,0,0,0,0,1
447,k121_2028134,1216,,1,4.7,no,0,0,0,0,0,0,0,0
451,k121_1343838,1207,,1,0.9,no,0,0,0,0,0,0,0,1
473,k121_2300380,1166,,2,0.2,no,0,0,0,0,0,0,0,1
489,k121_108143,1143,,1,0.0,no,0,0,1,0,0,0,0,0
504,k121_215753,1127,,2,0.0,no,0,0,1,0,0,0,0,0
517,k121_910570,1108,,1,0.1,no,0,0,0,0,0,0,0,1
539,k121_1705178,1073,,1,0.4,no,0,0,0,0,0,0,0,1
545,k121_2366655,1058,,1,0.0,no,0,1,0,0,0,0,0,0
566,k121_2636751,1038,,1,0.0,no,0,1,0,0,0,0,0,0
601,k121_285475,1001,,1,0.4,no,0,0,0,0,0,0,0,1
