gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_817039_1	1	102	102	-1	0.559	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_817039_2	146	1312	1167	-1	0.753	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_817039_3	1442	2314	873	1	0.769	11	GGAG/GAGG	GENOMAD.101048.PP	5.686e-34	135	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_817039_4	2560	2850	291	1	0.674	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_817039_5	2847	3209	363	1	0.661	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_817039_6	3101	4225	1125	-1	0.658	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_817039_7	4278	4502	225	1	0.667	11	AGGA	GENOMAD.177401.PC	1.377e-06	46	0	0	0	1	NA	NA	NA	PF15937;COG2002;TIGR02609	Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module
k121_817039_8	4518	4943	426	1	0.702	11	None	GENOMAD.159515.PC	2.718e-18	83	0	0	0	1	NA	NA	NA	PF16289;COG5611;TIGR00028;K07065	PIN domain
k121_654003_1	3	398	396	1	0.629	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_654003_2	395	1066	672	1	0.595	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_654003_3	1058	1279	222	-1	0.608	11	GGA/GAG/AGG	GENOMAD.092984.PC	1.005e-30	115	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_654003_4	1317	1622	306	-1	0.562	11	AGGAG	GENOMAD.078663.PP	3.836e-30	115	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_342498_1	2	166	165	-1	0.521	11	GGA/GAG/AGG	GENOMAD.160367.PV	1.214e-06	45	0	0	0	1	NA	NA	NA	NA	NA
k121_342498_2	169	507	339	-1	0.466	11	GGA/GAG/AGG	GENOMAD.027929.PP	4.703e-17	78	0	0	0	1	NA	NA	NA	NA	NA
k121_342498_3	702	1949	1248	-1	0.557	11	None	GENOMAD.121652.PV	0.0001045	47	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Plasmid rolling circle replication initiator protein REP and truncated derivatives
k121_521118_1	564	1034	471	-1	0.395	11	None	GENOMAD.076024.PP	2.632e-25	104	0	0	0	1	NA	NA	NA	NA	NA
k121_521118_2	1074	1829	756	-1	0.455	11	None	GENOMAD.065561.PP	1.261e-09	61	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_254642_1	277	1050	774	-1	0.791	11	None	GENOMAD.101048.PP	3.172e-25	108	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_626398_1	1	216	216	1	0.708	11	None	GENOMAD.026273.PP	1.343e-19	83	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
k121_626398_2	213	1250	1038	1	0.644	11	GGAGG	GENOMAD.087802.PC	4.262e-19	92	0	1	0	1	NA	MOBP1	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_791360_1	1	285	285	1	0.691	11	None	GENOMAD.026273.PP	1.04e-24	99	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
k121_791360_2	282	1151	870	1	0.663	11	None	GENOMAD.087802.PC	3.459e-23	103	0	1	0	1	NA	MOBP1	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_390543_1	2	688	687	-1	0.495	11	AGGAG	GENOMAD.069718.PP	8.727e-10	61	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	P-type DNA transfer protein VirB5
k121_390543_2	705	1394	690	-1	0.475	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_494856_1	16	423	408	-1	0.642	11	None	GENOMAD.136866.PC	2.162e-35	132	0	1	0	1	NA	NA	NA	PF10134;COG5534	Plasmid replication initiator protein
k121_494856_2	420	953	534	-1	0.657	11	GGA/GAG/AGG	GENOMAD.214848.PC	4.552e-28	113	0	0	0	1	NA	NA	NA	NA	NA
k121_494856_3	976	1383	408	-1	0.566	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1014989_1	306	785	480	1	0.717	11	AGGA	GENOMAD.026273.PP	1.223e-26	108	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
k121_1014989_2	782	1414	633	1	0.652	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_525044_1	1	441	441	-1	0.519	11	None	GENOMAD.113335.PC	2.865e-09	57	0	1	0	1	NA	T_virB9	NA	K03204;COG3504	Type IV secretory pathway, VirB9 components
k121_525044_2	438	1154	717	-1	0.476	11	None	GENOMAD.102021.PC	1.11e-17	85	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_525044_3	1156	1332	177	-1	0.492	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_525044_4	1351	2316	966	-1	0.464	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_109084_1	2	331	330	1	0.512	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_109084_2	620	1141	522	1	0.485	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_109084_3	1099	1533	435	1	0.485	11	AGxAGG/AGGxGG	GENOMAD.036540.PP	5.578e-10	59	0	0	0	1	NA	NA	NA	PF18495	Antitoxin VbhA
k121_109084_4	1703	1930	228	1	0.447	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_109084_5	1914	2183	270	1	0.489	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_109084_6	2180	3019	840	1	0.483	11	None	GENOMAD.034566.PP	1.974e-10	64	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_703484_1	3	917	915	-1	0.496	11	TAAA	GENOMAD.100869.PC	4.547e-29	121	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_703484_2	963	1223	261	-1	0.494	11	None	GENOMAD.113435.PC	6.55e-11	59	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_258436_1	13	339	327	1	0.694	11	GGAG/GAGG	GENOMAD.026273.PP	7.171e-27	106	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
k121_258436_2	336	1292	957	1	0.674	11	GGAG/GAGG	GENOMAD.087802.PC	3.03e-23	104	0	1	0	1	NA	MOBP1	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_837650_1	3	461	459	1	0.630	11	None	GENOMAD.117317.PC	8.497e-28	111	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_837650_2	458	790	333	1	0.553	11	AGGA	GENOMAD.116393.PC	1.59e-19	85	0	0	0	1	NA	NA	NA	PF05284;COG5489	Uncharacterized conserved protein, DUF736 family
k121_837650_3	787	1047	261	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_956664_1	137	403	267	1	0.532	11	GGA/GAG/AGG	GENOMAD.133860.PC	4.949e-07	48	0	0	0	1	NA	NA	NA	NA	NA
k121_956664_2	814	1365	552	1	0.641	11	GGAG/GAGG	GENOMAD.117306.PV	1.571e-52	184	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_1016190_1	1	753	753	1	0.631	11	None	GENOMAD.104710.PC	1.247e-49	179	0	1	0	1	NA	T_virB9	NA	PF03524;TIGR02781;K03204;COG3504	P-type conjugative transfer protein VirB9
k121_1016190_2	764	1138	375	1	0.720	11	AGGAG	GENOMAD.107942.PC	1.417e-09	57	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_674693_1	1	522	522	-1	0.515	11	GGA/GAG/AGG	GENOMAD.065561.PP	1.33e-06	50	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;COG0507	MobA/MobL family
k121_674693_2	793	1041	249	1	0.414	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_674693_3	1034	1282	249	1	0.369	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
