gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1364428_1	3	1232	1230	1	0.551	11	None	GENOMAD.129297.CP	1.217e-05	50	0	0	0	2561	Caudoviricetes	NA	NA	K15721;COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
k121_1364428_2	1426	2814	1389	1	0.623	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1364428_3	2857	3750	894	1	0.606	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1364428_4	3738	3965	228	-1	0.671	11	GGAGG	GENOMAD.176855.PC	1.308e-21	89	0	0	0	1	NA	NA	NA	PF10038;COG5639	NA
k121_1364428_5	3962	4822	861	-1	0.653	11	None	GENOMAD.111807.PC	2.739e-45	168	0	1	0	1	NA	T_virB10	NA	PF03743;COG2948	Type IV secretory pathway, VirB10 components
k121_1079929_1	1	66	66	-1	0.561	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_2	452	1618	1167	1	0.621	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_3	1593	1772	180	-1	0.622	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_4	1769	1975	207	-1	0.580	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_5	2874	3062	189	1	0.582	11	AGGA	GENOMAD.174354.VV	4.828e-18	78	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_6	3073	3993	921	-1	0.637	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_7	4007	7249	3243	-1	0.629	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_8	7251	8435	1185	-1	0.656	11	AGGA	GENOMAD.123500.CP	7.032e-29	123	0	0	0	1	NA	NA	NF000272	PF12700;K15727;TIGR01730;COG0845	RND family efflux transporter, MFP subunit
k121_1079929_9	8447	9655	1209	-1	0.691	11	AGGAG	GENOMAD.140523.CP	1.624e-90	305	0	0	0	1	NA	NA	NA	PF02321;K15725;TIGR01844;COG1538	type I secretion outer membrane protein, TolC family
k121_1079929_10	9715	10083	369	-1	0.610	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_11	10092	10448	357	-1	0.625	11	GGA/GAG/AGG	GENOMAD.180505.PC	6.785e-32	121	0	0	0	1	NA	NA	NA	PF12487	NA
k121_1079929_12	10451	11020	570	-1	0.607	11	None	GENOMAD.146265.CP	3.355e-15	76	0	0	0	1	NA	NA	NA	PF02544;COG2020;TIGR04571;K21310	Protein-S-isoprenylcysteine O-methyltransferase Ste14
k121_1079929_13	11025	11663	639	-1	0.667	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_14	11735	12124	390	1	0.618	11	GGA/GAG/AGG	GENOMAD.141168.PC	7.589e-10	58	0	0	0	1	NA	NA	NA	PF13171;K21744;TIGR02044;COG0789	Cu(I)-responsive transcriptional regulator
k121_1079929_15	12130	12564	435	-1	0.625	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_16	12561	13280	720	-1	0.581	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_17	13281	13529	249	-1	0.562	11	AGGAG	GENOMAD.104097.PP	1.728e-07	49	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_18	13600	13803	204	-1	0.554	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_19	14162	14881	720	-1	0.610	11	None	GENOMAD.182467.PC	2.025e-37	143	0	0	0	1	NA	NA	NA	K00351;COG3182	Uncharacterized membrane protein YkoI
k121_1079929_20	14881	15945	1065	-1	0.617	11	AGGAG	GENOMAD.145955.PC	5.18e-82	278	0	0	0	1	NA	NA	NA	PF05275;COG3667;K07233	Uncharacterized protein involved in copper resistance
k121_1079929_21	15942	17681	1740	-1	0.599	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1079929_22	17749	18315	567	-1	0.633	11	None	GENOMAD.062486.PP	3.844e-06	49	0	0	0	1	NA	NA	NA	PF07638;K24073;TIGR02989;COG1595	RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family
