,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_1770332,36185,,33,0.0,no,0,1,0,0,0,0,0,0
2,k121_1527877,22100,,19,0.0,no,0,1,0,0,0,0,0,0
3,k121_619055,15739,,19,0.0,no,0,0,1,0,0,0,0,0
4,k121_1532788,12267,,11,0.0,no,0,0,1,0,0,0,0,0
7,k121_1368649,8115,,10,-0.1,no,0,0,1,0,0,0,0,0
8,k121_1529952,7817,,8,0.0,no,0,0,1,0,0,0,0,0
16,k121_1616338,6454,,6,0.0,no,0,0,1,0,1,0,0,0
38,k121_828916,5299,,4,0.0,no,0,1,0,0,0,0,0,0
39,k121_1571520,5193,,5,0.0,no,0,0,1,0,0,0,0,0
44,k121_142600,4940,,3,0.0,no,0,0,1,0,0,0,0,0
49,k121_217934,4483,,4,0.0,no,0,0,1,0,0,0,0,0
50,k121_1895994,4456,,8,0.3,yes,0,0,1,0,0,0,0,0
51,k121_473358,4304,,6,0.0,no,0,0,1,0,0,0,0,0
52,k121_368950,4260,,6,0.0,no,0,0,1,0,0,0,0,0
56,k121_1539831,3888,,4,0.0,no,0,0,1,0,0,0,0,0
58,k121_1896373,3651,,4,0.0,yes,0,0,1,0,1,0,0,0
60,k121_141776,3535,,5,0.0,no,0,1,0,0,0,0,0,0
67,k121_64963,3124,,2,0.2,no,0,0,0,0,0,0,0,1
80,k121_1270853,2569,,1,0.0,no,0,1,0,0,0,0,0,0
89,k121_1895943,2302,,2,0.0,yes,0,0,1,0,0,0,0,0
91,k121_1863752,2246,,1,0.0,no,0,0,1,0,0,0,0,0
100,k121_1118890,2136,,1,7.1,no,0,0,0,0,0,0,0,1
102,k121_819363,2104,,1,0.1,no,0,0,0,0,0,0,0,1
109,k121_1178864,2019,,1,0.0,no,0,1,0,0,0,0,0,0
116,k121_670542,1923,,2,0.0,no,0,0,1,0,0,0,0,0
117,k121_524720,1908,,2,0.0,no,0,0,1,0,0,0,0,0
124,k121_226127,1830,,2,0.0,no,0,0,1,0,0,0,0,0
133,k121_1265541,1736,,2,0.0,no,0,1,0,0,0,0,0,0
139,k121_1194775,1684,,1,0.1,no,0,0,0,0,0,0,0,1
150,k121_1413331,1611,,2,0.0,no,0,0,1,0,0,0,0,0
156,k121_1852808,1594,,2,0.1,no,0,1,0,0,0,0,0,0
165,k121_1714519,1529,,1,19.2,no,0,0,0,0,0,0,0,0
172,k121_1344162,1443,,1,0.0,no,0,1,0,0,0,0,0,0
176,k121_1203346,1407,,1,0.0,no,0,0,1,0,0,0,0,0
215,k121_1304125,1198,,2,0.2,no,0,0,0,0,0,0,0,1
223,k121_445437,1153,,1,0.1,no,0,0,0,0,0,0,0,1
236,k121_1299844,1112,,2,1.9,no,0,0,0,0,0,0,0,1
256,k121_1301562,1068,,1,0.1,no,0,0,0,0,0,0,0,1
260,k121_1719789,1063,,2,0.0,no,0,0,1,0,0,0,0,0
298,k121_1682965,1009,,2,0.2,no,0,0,0,0,0,0,0,1
