gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_333320_1	3	305	303	1	0.554	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_333320_2	504	1451	948	1	0.575	11	None	GENOMAD.168353.PC	6.796e-11	66	0	0	0	1	NA	NA	NA	PF20229	Protein ChrB, N-terminal
k121_333320_3	1448	2674	1227	1	0.567	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_333320_4	2674	3129	456	1	0.546	11	GGA/GAG/AGG	GENOMAD.160782.CP	5.723e-23	97	0	0	0	1	NA	NA	NA	COG3909;K15536	Cytochrome c556
k121_333320_5	3132	3515	384	1	0.534	11	AGGA	GENOMAD.090960.PP	3.469e-09	56	0	0	0	1	NA	NA	NA	PF06191	NA
k121_333320_6	3548	4000	453	1	0.514	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_333320_7	4007	5047	1041	1	0.554	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_333320_8	5231	5365	135	-1	0.504	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_452360_1	2	1042	1041	-1	0.570	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_452360_2	1238	1513	276	1	0.605	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_452360_3	1935	2426	492	1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_452360_4	2892	2981	90	1	0.556	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_1	1	384	384	-1	0.628	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_2	381	776	396	-1	0.598	11	GGA/GAG/AGG	GENOMAD.147633.PC	7.647e-53	182	0	0	0	1	NA	NA	NA	PF13115	YtkA-like
k121_642833_3	872	1195	324	-1	0.614	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_4	1264	1599	336	-1	0.655	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_5	1596	2036	441	-1	0.615	11	GGA/GAG/AGG	GENOMAD.153467.PC	3.028e-08	54	0	0	0	1	NA	NA	NA	PF13171;K08365;TIGR02044;COG0789	Cu(I)-responsive transcriptional regulator
k121_642833_6	2126	4438	2313	1	0.653	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_7	4443	5066	624	1	0.641	11	GGA/GAG/AGG	GENOMAD.146265.CP	6.825e-37	140	0	0	0	1	NA	NA	NA	PF02544;COG2020;TIGR04571;K21310	Protein-S-isoprenylcysteine O-methyltransferase Ste14
k121_642833_8	5063	5548	486	1	0.619	11	GGA/GAG/AGG	GENOMAD.128855.CP	1.847e-22	96	0	0	0	1	NA	NA	NA	PF01252;COG0597;TIGR00077;K03101	Lipoprotein signal peptidase
k121_642833_9	5535	5972	438	1	0.651	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_10	5969	6628	660	1	0.627	11	AGGA	GENOMAD.136170.CP	1.325e-05	48	0	0	0	1	NA	NA	NA	PF13462;COG1651;K03673;TIGR02183	Thioredoxin
k121_642833_11	6635	7090	456	-1	0.645	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_12	7206	8531	1326	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_13	8617	9210	594	-1	0.589	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_642833_14	9547	10158	612	1	0.603	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_23894_1	3	356	354	1	0.537	11	None	GENOMAD.079238.VV	3.144e-15	73	0	0	0	2561	Caudoviricetes	NA	NA	PF14582;TIGR03729;COG1768;K07099	putative phosphoesterase
k121_23894_2	481	708	228	1	0.478	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_23894_3	667	1911	1245	-1	0.528	11	GGA/GAG/AGG	GENOMAD.215005.PC	6.107e-06	51	0	0	0	1	NA	NA	NA	PF14355	Abortive infection C-terminus
k121_23894_4	2205	5822	3618	-1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_23894_5	5826	6776	951	-1	0.537	11	AGGA/GGAG/GAGG	GENOMAD.118867.PP	4.328e-158	496	0	0	0	1	NA	NA	NA	NA	NA
k121_23894_6	6894	7268	375	-1	0.557	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
