seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1876235	4306	DTR	6	11	0.9989	0.0011	2	5.5885	NA	NA
k121_945659	4754	No terminal repeats	5	11	0.9989	0.0011	3	4.4089	virb4;T_virB2	NA
k121_1752527	1711	No terminal repeats	2	11	0.9989	0.0011	2	3.0347	MOBQ	NA
k121_1926050	18496	No terminal repeats	17	11	0.9989	0.0011	1	14.6311	T_virB11;MOBC	NA
k121_1752403	2791	No terminal repeats	4	11	0.9989	0.0011	1	2.4914	MOBP1	NA
k121_724534	1850	No terminal repeats	2	11	0.9989	0.0011	1	1.7183	NA	NA
k121_1152379	4027	No terminal repeats	7	11	0.9988	0.0011	2	2.6458	MOBQ	NA
k121_2250441	1439	No terminal repeats	1	11	0.9988	0.0011	1	1.6920	MOBQ	NA
k121_2520603	4722	DTR	8	11	0.9988	0.0011	4	5.2952	T_virB6	NA
k121_214989	1343	No terminal repeats	5	11	0.9988	0.0011	2	3.4366	NA	NA
k121_1658764	16523	No terminal repeats	18	11	0.9988	0.0011	9	17.8768	F_traW;F_traU;F_trbC;F_traF;F_traH;F_traG	NA
k121_327557	1304	No terminal repeats	2	11	0.9988	0.0011	2	2.8392	MOBQ	NA
k121_844341	3341	No terminal repeats	6	11	0.9988	0.0012	3	5.7617	T_virB6;T_virB8;T_virB9	NA
k121_1682176	1567	No terminal repeats	3	11	0.9988	0.0012	2	3.8509	NA	NA
k121_2206782	1282	No terminal repeats	2	11	0.9988	0.0012	2	3.3668	MOBP1	NA
k121_2260621	2261	No terminal repeats	3	11	0.9988	0.0012	1	3.6678	NA	NA
k121_1752939	2573	No terminal repeats	5	11	0.9988	0.0012	2	3.4366	NA	NA
k121_1559374	1374	No terminal repeats	2	11	0.9988	0.0012	1	1.8307	NA	NA
k121_392987	1440	No terminal repeats	3	11	0.9987	0.0012	1	1.7183	NA	NA
k121_1476986	3258	DTR	7	11	0.9987	0.0012	1	1.6243	MOBV	NA
k121_1588268	1496	No terminal repeats	3	11	0.9987	0.0012	3	3.8128	T_virB3;virb4	NA
k121_1274957	5690	No terminal repeats	7	11	0.9987	0.0012	5	8.1405	F_traL;F_traE;F_traK	NA
k121_833875	3141	No terminal repeats	4	11	0.9987	0.0012	4	4.7352	T_virB1;T_virB2;T_virB3;virb4	NA
k121_1315785	2143	No terminal repeats	3	11	0.9987	0.0012	1	1.7183	NA	NA
k121_653785	1124	No terminal repeats	1	11	0.9987	0.0012	1	1.6920	MOBQ	NA
k121_663173	3683	No terminal repeats	3	11	0.9986	0.0012	3	3.6934	F_traF;F_traH;F_traG	NA
k121_118985	1070	No terminal repeats	2	11	0.9986	0.0012	1	1.7183	NA	NA
k121_1126827	4532	No terminal repeats	8	11	0.9985	0.0012	1	1.7183	NA	NA
k121_2513979	1922	No terminal repeats	4	11	0.9985	0.0012	2	3.1658	NA	NA
k121_2231408	1462	No terminal repeats	3	11	0.9985	0.0012	2	2.6892	NA	NA
k121_1115928	1000	No terminal repeats	2	11	0.9985	0.0013	2	2.6841	F_traK	NA
k121_1326612	1367	No terminal repeats	1	11	0.9983	0.0013	1	1.6808	MOBQ	NA
k121_2467740	35492	No terminal repeats	35	11	0.9982	0.0013	7	17.7090	I_traE;T_virB10;T_virB9;T_virB8;T_virB6;T_virB5;T_virB2	NA
k121_1874435	1232	No terminal repeats	3	11	0.9982	0.0013	1	1.7183	NA	NA
k121_472227	2131	No terminal repeats	4	11	0.9981	0.0013	1	1.6920	MOBQ	NA
k121_1751815	4709	No terminal repeats	5	11	0.9980	0.0013	3	4.3297	T_virB8;T_virB9;T_virB10	NA
k121_1711935	2553	No terminal repeats	5	11	0.9978	0.0014	3	2.5102	F_traL;F_traE;F_traK	NA
k121_986266	2267	No terminal repeats	2	11	0.9977	0.0014	2	2.1791	T_virB5;virb4	NA
k121_2140295	1443	No terminal repeats	3	11	0.9975	0.0014	2	3.1823	MOBP1	NA
k121_2040365	1566	No terminal repeats	2	11	0.9973	0.0014	1	1.6920	MOBQ	NA
k121_502301	1778	No terminal repeats	3	11	0.9969	0.0015	2	2.7581	T_virB5;T_virB6	NA
k121_667516	1478	No terminal repeats	2	11	0.9968	0.0015	1	1.5023	NA	NA
k121_1850877	1108	No terminal repeats	3	11	0.9966	0.0016	1	3.2865	NA	NA
k121_2113615	1011	No terminal repeats	2	11	0.9960	0.0016	1	1.6659	NA	NA
k121_940036	1162	No terminal repeats	2	11	0.9958	0.0017	1	1.7183	F_traV	NA
k121_84643	5600	No terminal repeats	5	11	0.9956	0.0017	1	2.1799	NA	NA
k121_433524	1036	No terminal repeats	1	11	0.9953	0.0018	1	1.7137	NA	NA
k121_689619	2595	No terminal repeats	5	11	0.9953	0.0019	1	3.5867	NA	NA
k121_1777596	1590	No terminal repeats	2	11	0.9908	0.0020	2	2.4284	F_traF;F_traH	NA
k121_281207	1027	No terminal repeats	3	11	0.9906	0.0022	2	2.2801	T_virB2;T_virB3	NA
k121_1850254	1035	No terminal repeats	2	11	0.9904	0.0023	1	2.3538	NA	NA
k121_320597	3685	No terminal repeats	3	11	0.9882	0.0025	1	2.0215	NA	NA
k121_1961987	2839	No terminal repeats	3	11	0.9877	0.0027	2	3.0558	F_traK;F_traB	NA
k121_477292	6156	No terminal repeats	7	11	0.9858	0.0029	2	1.6313	T_virB11;T_virB2;T_virB3	NA
k121_638901	1361	No terminal repeats	3	11	0.9809	0.0032	2	2.8371	T_virB3	NA
k121_2286333	1889	No terminal repeats	4	11	0.9809	0.0035	1	1.7701	NA	NF000496
k121_1885187	1177	No terminal repeats	2	11	0.9755	0.0038	1	1.9862	T_virB10	NA
k121_1454257	2079	No terminal repeats	4	11	0.9744	0.0042	2	2.2801	T_virB2;T_virB3	NA
k121_401547	2336	No terminal repeats	2	11	0.9714	0.0046	2	2.4245	virb4;F_traV	NA
k121_1157191	1602	No terminal repeats	3	11	0.9699	0.0051	2	2.3538	T_virB6;T_virB5	NA
k121_2179944	2169	No terminal repeats	3	11	0.9694	0.0055	2	2.0145	T_virB9	NA
k121_252949	2562	No terminal repeats	2	11	0.9641	0.0060	1	2.7829	MOBH	NA
k121_1778006	1091	No terminal repeats	2	11	0.9608	0.0065	1	2.2085	NA	NA
k121_2184886	1238	No terminal repeats	3	11	0.9541	0.0071	1	1.6827	NA	NA
k121_1689790	2352	No terminal repeats	5	11	0.9417	0.0079	1	3.4152	NA	NA
k121_1205232	1191	No terminal repeats	3	11	0.9407	0.0087	1	1.5023	NA	NA
k121_1905768	2517	No terminal repeats	3	11	0.9403	0.0094	1	1.5023	NA	NA
k121_1323208	1201	No terminal repeats	3	11	0.9356	0.0102	1	1.9820	T_virB10	NA
k121_674213	1463	No terminal repeats	3	11	0.9328	0.0111	1	2.7159	T_virB10	NA
k121_199955	1270	No terminal repeats	4	11	0.9326	0.0119	1	2.1806	NA	NA
k121_2045103	1232	No terminal repeats	3	11	0.9276	0.0127	2	2.4827	F_traK;F_traE	NA
k121_56482	1037	No terminal repeats	3	11	0.9261	0.0136	1	2.7416	NA	NA
k121_202120	1955	No terminal repeats	3	11	0.9187	0.0145	2	2.7853	t4cp1	NA
k121_678763	1731	No terminal repeats	3	11	0.9149	0.0155	1	1.6894	NA	NA
k121_2185601	1156	No terminal repeats	1	11	0.9027	0.0165	1	1.5023	NA	NA
k121_343613	1413	No terminal repeats	4	11	0.8934	0.0177	1	2.2164	NA	NA
k121_1457879	5317	No terminal repeats	6	11	0.8934	0.0189	4	4.7539	F_traW;F_traU;F_trbC;F_traN	NA
k121_2326576	1072	No terminal repeats	2	11	0.8903	0.0201	2	2.1659	T_virB8;T_virB6	NA
k121_1406005	1617	No terminal repeats	2	11	0.8796	0.0213	2	2.1791	virb4;T_virB5	NA
k121_1967554	1977	No terminal repeats	4	11	0.8796	0.0226	2	2.3192	T_virB3	NA
k121_1383724	1031	No terminal repeats	2	11	0.8485	0.0242	1	1.9862	T_virB10	NA
