gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_367822_1	1	411	411	-1	0.613	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_367822_2	423	704	282	-1	0.649	11	None	GENOMAD.127310.PC	2.853e-37	135	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_367822_3	704	1036	333	-1	0.589	11	AGGAG	GENOMAD.116477.PC	9.442e-49	169	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_367822_4	1033	2028	996	-1	0.621	11	GGAG/GAGG	GENOMAD.005978.CC	1.685e-20	96	0	0	0	1	NA	T_virB11	NA	PF00437;PF05810;K07332;TIGR03819;COG4962	helicase/secretion neighborhood ATPase
k121_367822_5	2214	2633	420	-1	0.607	11	GGAG/GAGG	GENOMAD.176716.PC	1.35e-16	78	0	0	0	1	NA	NA	NA	PF09957;TIGR04563;COG4877;K07722	MXAN_4361/MXAN_4362 family small protein
k121_367822_6	2636	3310	675	-1	0.575	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_6705_1	3	239	237	1	0.633	11	None	GENOMAD.076695.PP	8.41e-20	84	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Type IV secretory pathway, VirD2 components (relaxase)
k121_6705_2	706	1620	915	-1	0.570	11	GGA/GAG/AGG	GENOMAD.169967.CP	6.981e-06	50	0	0	0	1	NA	NA	NA	PF05721;TIGR04436;K10674;COG5285	putative 2OG-Fe(II) oxygenase
k121_6705_3	1670	2629	960	-1	0.601	11	GGAGG	GENOMAD.169145.PC	1.084e-15	81	0	0	0	1	NA	NA	NA	PF14506;PF12681;TIGR03211;K10621;COG2514	catechol 2,3 dioxygenase
k121_6705_4	2663	2971	309	-1	0.615	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_6705_5	2973	4592	1620	-1	0.626	11	None	GENOMAD.123243.CP	5.498e-07	55	1	0	0	1	NA	NA	NF033476	PF04820;K21401;COG0644;TIGR02028	Dehydrogenase (flavoprotein)
k121_6705_6	4592	5719	1128	-1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_6705_7	5719	5988	270	-1	0.581	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_189578_1	2	445	444	1	0.649	11	None	GENOMAD.093643.PC	3.238e-86	279	0	1	0	1	NA	NA	NA	K12065	NA
k121_189578_2	442	729	288	1	0.698	11	GGAG/GAGG	GENOMAD.145481.PC	3.57e-28	109	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR01126	Protein-disulfide isomerase
k121_189578_3	757	1335	579	1	0.658	11	GGA/GAG/AGG	GENOMAD.145481.PC	2.52e-94	305	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR01126	Protein-disulfide isomerase
k121_189578_4	1341	1964	624	1	0.686	11	AGGA	GENOMAD.035215.PP	1.237e-48	174	0	1	0	1	NA	F_traV	NA	PF09676;K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_192136_1	1	354	354	-1	0.410	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_192136_2	411	1076	666	-1	0.399	11	None	GENOMAD.067441.PP	0.0001259	45	0	1	0	1	NA	NA	NA	PF13814	Replication-relaxation
k121_13450_1	3	341	339	1	0.611	11	None	GENOMAD.107942.PC	3.127e-13	67	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_13450_2	338	586	249	1	0.558	11	GGAGG	GENOMAD.176855.PC	3.661e-22	91	0	0	0	1	NA	NA	NA	PF10038;COG5639	NA
k121_13450_3	701	1096	396	-1	0.563	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_159500_1	2	244	243	1	0.683	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_159500_2	255	1277	1023	1	0.603	11	AGGAG	GENOMAD.116928.PC	2.486e-13	74	0	1	0	1	NA	T_virB6	NA	COG3846;K07344	Type IV secretory pathway, TrbL components
k121_159500_3	1274	1582	309	1	0.650	11	GGA/GAG/AGG	GENOMAD.123484.PC	7.63e-16	74	0	1	0	2561	Caudoviricetes	T_virB8	NA	PF04335;K20531;COG3701;TIGR03781	Type IV secretory pathway, TrbF components
k121_848656_1	130	645	516	-1	0.506	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_848656_2	1090	1503	414	-1	0.616	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_848656_3	1522	2688	1167	-1	0.470	11	AGGA	GENOMAD.030508.PP	4.218e-21	99	0	1	0	1	NA	MOBC	NA	PF13814;TIGR04472;COG1510	Replication-relaxation
k121_848656_4	3046	3612	567	-1	0.429	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
