,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
6,k121_777639,43612,,52,-0.4,no,0,0,1,0,0,0,0,0
23,k121_317840,13741,,15,0.0,no,0,0,1,0,0,0,0,0
24,k121_172362,12027,,15,0.8,no,0,0,0,0,0,0,0,0
26,k121_16285,7839,,7,0.7,no,0,0,0,0,0,0,0,1
28,k121_175530,5696,,8,0.0,yes,0,1,0,0,0,0,0,0
31,k121_75346,5125,,5,0.0,no,0,0,1,0,0,0,0,0
44,k121_851379,4339,,4,0.0,no,0,2,0,0,0,0,0,0
46,k121_442421,4233,,2,0.9,no,0,0,0,0,0,0,0,0
49,k121_231897,3909,,4,0.0,no,0,0,1,0,0,0,0,0
50,k121_780798,3758,,7,1.5,no,0,0,0,0,0,5,0,1
60,k121_804873,2707,,3,0.0,no,0,0,1,0,0,0,0,0
72,k121_587513,2347,,3,0.0,no,0,0,1,0,0,0,0,0
77,k121_568454,2223,,1,0.0,yes,0,0,1,0,0,0,0,0
79,k121_615753,2207,,3,0.1,no,0,0,1,0,0,0,0,0
85,k121_400324,2084,,2,0.5,no,0,0,0,0,0,0,0,1
90,k121_465665,1994,,4,0.2,no,0,0,0,0,0,0,0,1
104,k121_759355,1843,,3,0.0,no,0,0,1,0,0,0,0,0
110,k121_149553,1793,,2,1.4,no,0,0,0,0,0,0,0,0
115,k121_204322,1735,,2,0.1,no,0,1,0,0,0,0,0,1
126,k121_235807,1670,,2,0.0,no,0,0,1,0,0,0,0,0
158,k121_500275,1471,,2,0.3,no,0,0,0,0,0,0,0,1
190,k121_374882,1258,,1,0.0,no,1,0,0,0,0,0,0,1
193,k121_30559,1249,,1,0.1,no,0,0,0,0,0,0,0,1
202,k121_957456,1177,,1,0.0,no,0,0,1,0,0,0,0,0
206,k121_181561,1161,,1,0.1,no,2,0,0,0,0,0,0,0
215,k121_126823,1135,,1,0.1,no,0,0,0,0,0,0,0,1
224,k121_214686,1110,,1,0.0,no,0,0,1,0,0,0,0,0
229,k121_794671,1073,,1,0.6,no,0,0,0,0,0,0,0,1
